,source,target,weight
0,Abbes_Voyage,[temps paraître encore],0.0823871366229129
1,Abbes_Voyage,art,0.1568691184782435
2,Anonym_Suzon,[temps paraître encore],0.1073547606214011
3,Anonym_Suzon,nuit,0.0903219724823215
4,Anonyme_Etourdi,[temps paraître encore],0.0844982421853196
5,Anonyme_Etourdi,amour_sentiment ,0.0854482672880691
6,Anonyme_Etourdi,attraction_personnalité ,0.1213060456631587
7,Anonyme_Zoloe,relation amoureuse,0.1447089541936753
8,Anonyme_Zoloe,locus amoenus_pastorale en littérature ,0.0707815324271712
9,Anonyme_Zoloe,mort,0.0999129947347187
10,Arnaud_Epoux,interaction,0.0865571767431761
11,Arnaud_Epoux,deuil,0.0770855043894043
12,Arnaud_Epoux,censure_religion ,0.4455077505936411
13,Arnaud_Sentiment,amour_sentiment ,0.1605984902244427
14,Arnaud_Sentiment,crime,0.1162842656066277
15,Arnaud_Sentiment,deuil,0.1909406313517948
16,Beauharnais_Lettres,[temps paraître encore],0.0827425561380363
17,Beauharnais_Lettres,amour_sentiment ,0.2275236139781128
18,Beauharnais_Lettres,interaction,0.0731778141675511
19,Beauharnais_Lettres,deuil,0.0951343772929813
20,Beauharnais_Lettres,bonheur,0.0880923406709309
21,Beaumont_Clarice,[temps paraître encore],0.0931741900904448
22,Beaumont_Clarice,bonheur,0.0928771227268157
23,Beaumont_Clarice,famille,0.1305535378758288
24,Beckford_Vathek,nature,0.1847413241070491
25,Beckford_Vathek,mort,0.1433926859102348
26,Benoist_Elisabeth3,[temps paraître encore],0.0935540596535705
27,Benoist_Elisabeth3,amour_sentiment ,0.1138504549293084
28,Benoist_Elisabeth3,correspondance,0.1280631786028227
29,Benoist_Elisabeth3,interaction,0.1053967536374022
30,Benouville_Pensees,[temps paraître encore],0.0762546199997674
31,Benouville_Pensees,[voir croire là],0.1602006451770118
32,Benouville_Pensees,attraction_personnalité ,0.0732043489546532
33,Benouville_Pensees,[point voir moins],0.0737541848892607
34,Bernardin_Paul,nature,0.2269349440073029
35,Bernardin_Paul,bonheur,0.0731796348240238
36,Berquin_Enfants,[voir croire là],0.1893390379538575
37,Berquin_Enfants,alimentation_sociabilité ,0.1380702098581726
38,Berquin_Enfants,famille,0.1098967238931084
39,Berquin_Enfants,nuit,0.1142753303062688
40,Cazotte_Diable,migration_voyage ,0.0702357652012889
41,Cazotte_Diable,mort,0.0932061332191016
42,Cazotte_Diable,nuit,0.1036354466764814
43,Charriere_Femmes,[voir croire là],0.1358710963630435
44,Charriere_Femmes,nuit,0.0757714418734645
45,Charriere_Lausanne,[voir croire là],0.161778646054122
46,Charriere_Lausanne,attraction_personnalité ,0.0921554115275796
47,Charriere_Lausanne,famille,0.0771559617068447
48,Charriere_Lausanne,nuit,0.0835145512245616
