	id	author	decade	gender	narration	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
0	Abbes_Voyage	Abbes	1750s	M	autodiegetic	0.003797006435191817	0.05847946481074648	0.013463729117043584	0.002428379104737433	0.0772737018273551	0.032873112448413934	0.014716490472006035	0.00015398460145231668	0.0229239995840856	0.01424778504892	0.18677462955540736	0.016189812189526084	0.01617894754777248	0.012496667886650053	0.008119318007227483	0.04872255047869704	0.004347494768126166	0.025236742812847716	0.0035204942450779	0.036958756382037876	0.0229061631943232	0.0043622648767928	0.003011966837772716	0.060579911833539994	0.0016986814318769	0.03348884746568862	0.026941488553743103	0.013094977379315732	0.03872763130227947	0.04640060992018508	0.07531234152493742	0.007406612965040551	0.05331616667255665	0.0033190278883478835	0.010530240830275749
1	AndreSerieys_Comte	AndreSerieys	1800s	M	autodiegetic	0.011266547968344308	0.025451674468253926	0.018367667696196254	0.006974726795462576	0.038037802174577265	0.07183049167484402	0.025348844875321217	0.0029004628472282822	0.052663665683889124	0.020360914818605937	0.020184329287668303	0.034954790467462096	0.019998980801031928	0.0202700494724868	0.013428006156717777	0.05708595094586946	0.02082529779644369	0.03569913095311068	0.0028238988821710645	0.017517706502732266	0.08079092772084444	0.015590409234146112	0.01958418257025686	0.025269959052921804	0.0027056132693053033	0.020168770430008472	0.045888420081962894	0.034271218039855784	0.023734758400326433	0.024497335982609385	0.02680153377959113	0.08288382193184764	0.06130958139777219	0.00514101939163554	0.015371508448497481
2	Anonym_Enfant	Anonym	1800s	U	autodiegetic	0.024091093630579187	0.022336853184977547	0.020361727144857053	0.0038576939983511324	0.026510887923883363	0.09491302957872767	0.0033861893061154164	0.07380032061406475	0.01736904848708593	0.01859527261968256	0.006177471428634929	0.019996104137171292	0.027724199529888725	0.012878839502925583	0.03759665253459826	0.0415688755345566	0.02768363408391739	0.11743956928525312	0.0028994397381483738	0.010554008993506881	0.04516122937484856	0.006514886175465661	0.00374782338551832	0.015159449413982435	0.003735535415787906	0.06074855744375117	0.042904485278681535	0.04767961967911512	0.01765655927005235	0.011688116242156503	0.08162290582335076	0.012409124736524904	0.017241189387739008	0.007166507892583162	0.016823099223515253
3	Anonym_Histoire	Anonym	1750s	U	heterodiegetic	0.005577299719088034	0.04456801853005644	0.02824783714551146	0.008265595177753809	0.028605555995233886	0.02381638032972044	0.02131644187841307	0.00033694618049823417	0.026205516800062247	0.010368591429178635	0.005355239482928996	0.019526862228695468	0.013122181263582637	0.021078559804217488	0.0035174149024019136	0.03806702469955822	0.02673041119783861	0.017093740629862783	0.010851678679595675	0.0123940890777946	0.08806994120547453	0.09312668921017671	0.02263315087982271	0.027776117463176365	0.04942903990563361	0.00862844190164794	0.02029291130056968	0.013388639671326396	0.0467595028331395	0.1260055139946756	0.009554527382267017	0.017583261946337157	0.06913895819631834	0.01773855544945796	0.024829363507982313
4	Anonym_Suzon	Anonym	1770s	U	autodiegetic	0.004666913071647794	0.05441450488360237	0.033754383721438325	0.01092580723298019	0.027729867140884806	0.06927902672649991	0.005195561224654147	0.04091162605955699	0.047598740746352446	0.011563860093136445	0.0314174101091584	0.015272992070531736	0.031791939894632	0.012863689793103011	0.009502675607834552	0.05370344158799512	0.03176351748778909	0.047666928241565674	0.006573241960691341	0.03385090254171408	0.07607426183676147	0.013969545109110415	0.012971578523177528	0.01371074480568394	0.04376246685236173	0.03362537745609181	0.04272678944056615	0.030163017973897786	0.0455962891104352	0.026409249966559967	0.03272800153282916	0.006791865531046315	0.011859772667538498	0.004819402985935903	0.024344606012234194
5	Anonyme_Venus	Anonyme	1780s	U	autodiegetic	0.005781180622700726	0.04020929020693464	0.01784563884265916	0.006580425956954693	0.037588096653543	0.0765204357754063	0.007709133303198802	0.07050583081968649	0.023367668862175627	0.027440694176166253	0.025106049767705415	0.006767501562327454	0.0430441006005979	0.0052405719139116905	0.08491088891024856	0.026524765634122476	0.008581158697440371	0.0412444482771487	0.004590147097094106	0.03653470842317324	0.04450723863769444	0.0019728645906705714	0.017927167913102733	0.012365983537261123	0.00046572283826990473	0.062157910075582065	0.035145667438993715	0.04305629947927232	0.032308364239550136	0.014062515323285837	0.09163819543796582	0.007434277649173672	0.01503224057892691	0.004004964311309229	0.0218278518457443
6	Anonyme_Zoloe	Anonyme	1800s	U	heterodiegetic	0.009706669101174611	0.009314583794272795	0.012433124453065693	0.02266512129345845	0.042545963822893836	0.030657786670880163	0.025227544718060452	0.005188689056751195	0.029338503648353206	0.00552344123977201	0.03875932588311855	0.060408945585883375	0.027101145712283822	0.03257729533609156	0.10138625879280544	0.010390433172344872	0.008018165991132522	0.03122719109533593	0.003925477854891638	0.02249002493308909	0.03951242257544277	0.006626440143707166	0.013310605997633495	0.025763165660366696	0.00038061556168794437	0.07381471464085346	0.03683972135815785	0.03167819860647596	0.04359314258364977	0.03997566046946883	0.0928221650633825	0.002704049161441317	0.03397703848510807	0.015862616059839855	0.014253751477123572
7	Arnaud_Adelson	Arnaud	1770s	M	heterodiegetic	0.0026581904032274653	0.011701592526078174	0.01635714443361522	0.015241279751929225	0.04473088565961343	0.04028532251653749	0.0049011890124152505	0.0008478562161375346	0.003982122566055623	0.021008286913960846	0.006967566736102836	0.10770516379977225	0.012366859191919531	0.06643000687849962	0.0014783144691455615	0.03649627882758898	0.017667543960173473	0.010602116468346374	0.003190726857012912	0.006862678617733528	0.04932924251065475	0.004716636769985192	0.006257691820707146	0.034314976478716105	0.0013706842367268192	0.03294124698166718	0.0014085071928803155	0.03824055211923741	0.015370365132946416	0.008165284163375891	0.007837422651663727	0.0003785238421767654	0.008797047808719202	0.2783110481498362	0.08107964433483984
8	Arnaud_Anne	Arnaud	1770s	M	heterodiegetic	0.012041501469479415	0.022497515005142927	0.006668073944008184	0.0164210878074167	0.023910694854531053	0.008776715286392036	0.0037388148752428786	0.00014146465024232103	0.018101945606582553	0.013708067009334057	0.007492298443602594	0.12006825914946354	0.009172830163536415	0.05861395193311501	0.0024137675856110525	0.057137105364259005	0.0663788821726872	0.005951187332581479	0.005318881491125173	0.006968134630272247	0.027166314941983582	0.007690173084840749	0.001272007975992595	0.01969715435563306	0.004400944886982857	0.02535346163879453	0.004745030634458885	0.061293310959371454	0.02610235228518736	0.013181036938824865	0.0037621503129134843	0.001035115942029695	0.00752787871644933	0.27773375579250414	0.053518132759405916
9	Arnaud_Bal	Arnaud	1750s	M	homodiegetic	0.005676488055505239	0.006485866253879506	0.011766313311087491	0.006772964712008578	0.04948979116555517	0.03766139106328613	0.008132395661151683	0.00086125048356195	0.013136961415324933	0.02148310304594238	0.007055798415093216	0.0237615848592639	0.010967921508648198	0.018782670739758735	0.013598200836940655	0.025074596272888508	0.010778370626616	0.017664781468313333	0.008364083542864968	0.05099012186093806	0.03374818301466677	0.001306061868335844	0.006776823771368878	0.026058741429919683	0.0647069375160082	0.0772553048152522	0.013128069005571135	0.03874695511468277	0.08255251181196274	0.005792387776473899	0.03775861036126663	0.006800867137703974	0.001462876075326011	0.1316841649171373	0.12371685008569368
