	id	Ranked topics
0	Abbes_Voyage	[(0.1867746295554073, 10), (0.0772737018273551, 4), (0.0753123415249374, 30), (0.0605799118335399, 23), (0.0584794648107464, 1), (0.0533161666725566, 32), (0.048722550478697, 15), (0.046400609920185, 29), (0.0387276313022794, 28), (0.0369587563820378, 19)]
1	AndreSerieys_Comte	[(0.0828838219318476, 31), (0.0807909277208444, 20), (0.071830491674844, 5), (0.0613095813977721, 32), (0.0570859509458694, 15), (0.0526636656838891, 8), (0.0458884200819628, 26), (0.0380378021745772, 4), (0.0356991309531106, 17), (0.034954790467462, 11)]
2	Anonym_Enfant	[(0.1174395692852531, 17), (0.0949130295787276, 5), (0.0816229058233507, 30), (0.0738003206140647, 7), (0.0607485574437511, 25), (0.0476796196791151, 27), (0.0451612293748485, 20), (0.0429044852786815, 26), (0.0415688755345566, 15), (0.0375966525345982, 14)]
3	Anonym_Histoire	[(0.1260055139946756, 29), (0.0931266892101767, 21), (0.0880699412054745, 20), (0.0691389581963183, 32), (0.0494290399056336, 24), (0.0467595028331395, 28), (0.0445680185300564, 1), (0.0380670246995582, 15), (0.0286055559952338, 4), (0.0282478371455114, 2)]
4	Anonym_Suzon	[(0.0760742618367614, 20), (0.0692790267264999, 5), (0.0544145048836023, 1), (0.0537034415879951, 15), (0.0476669282415656, 17), (0.0475987407463524, 8), (0.0455962891104352, 28), (0.0437624668523617, 24), (0.0427267894405661, 26), (0.0409116260595569, 7)]
5	Anonyme_Venus	[(0.0916381954379658, 30), (0.0849108889102485, 14), (0.0765204357754063, 5), (0.0705058308196864, 7), (0.062157910075582, 25), (0.0445072386376944, 20), (0.0430562994792723, 27), (0.0430441006005979, 12), (0.0412444482771487, 17), (0.0402092902069346, 1)]
6	Anonyme_Zoloe	[(0.1013862587928054, 14), (0.0928221650633825, 30), (0.0738147146408534, 25), (0.0604089455858833, 11), (0.0435931425836497, 28), (0.0425459638228938, 4), (0.0399756604694688, 29), (0.0395124225754427, 20), (0.0387593258831185, 10), (0.0368397213581578, 26)]
7	Arnaud_Adelson	[(0.2783110481498362, 33), (0.1077051637997722, 11), (0.0810796443348398, 34), (0.0664300068784996, 13), (0.0493292425106547, 20), (0.0447308856596134, 4), (0.0402853225165374, 5), (0.0382405521192374, 27), (0.0364962788275889, 15), (0.0343149764787161, 23)]
8	Arnaud_Anne	[(0.2777337557925041, 33), (0.1200682591494635, 11), (0.0663788821726872, 16), (0.0612933109593714, 27), (0.058613951933115, 13), (0.057137105364259, 15), (0.0535181327594059, 34), (0.0271663149419835, 20), (0.0261023522851873, 28), (0.0253534616387945, 25)]
9	Arnaud_Bal	[(0.1316841649171373, 33), (0.1237168500856936, 34), (0.0825525118119627, 28), (0.0772553048152522, 25), (0.0647069375160082, 24), (0.050990121860938, 19), (0.0494897911655551, 4), (0.0387469551146827, 27), (0.0377586103612666, 30), (0.0376613910632861, 5)]
10	Arnaud_Batilde	[(0.2874607673351814, 33), (0.1772738464200582, 34), (0.0938559483670041, 6), (0.055676176861254, 11), (0.047836010352732, 27), (0.0439842361133435, 15), (0.0432577126303179, 4), (0.0398877879515999, 20), (0.0285278051133712, 25), (0.0258241951240611, 23)]
11	Arnaud_Clary	[(0.2723278512871069, 33), (0.0823373367011722, 34), (0.068547269113311, 13), (0.0564616502934405, 27), (0.0495823575650469, 11), (0.0401874273910346, 23), (0.0394713273967475, 4), (0.0350618597490119, 28), (0.0344583140638425, 16), (0.0343024584570685, 15)]
12	Arnaud_Epoux	[(0.2770010102971814, 33), (0.1426439863866952, 34), (0.0907628006243634, 11), (0.0501483368135838, 4), (0.045646660453481, 15), (0.0452359238969614, 20), (0.0406285503870238, 13), (0.0384567917423893, 23), (0.0370004604269034, 27), (0.0292839570485722, 16)]
13	Arnaud_Fanny	[(0.2936221728439833, 33), (0.089086855423132, 13), (0.0776191843006291, 27), (0.0666514670679199, 16), (0.0579863057863416, 11), (0.0510484088370504, 34), (0.0442658494677939, 28), (0.0345784735872944, 4), (0.0296380838017403, 5), (0.0287766405488059, 25)]
14	Arnaud_Julie	[(0.2062703142465658, 33), (0.1282197653874146, 28), (0.074827973697774, 11), (0.0602781420891366, 34), (0.0519731695809485, 13), (0.0519369952566095, 16), (0.0467597471012409, 27), (0.045688816814683, 23), (0.0311587142962533, 15), (0.030800621061494, 4)]
15	Arnaud_Lucie	[(0.2716715066708581, 33), (0.2123235752453922, 34), (0.1333748587552784, 11), (0.0555013257182048, 16), (0.0479972858712966, 27), (0.0383358448377629, 15), (0.0355555071456345, 4), (0.02455111711412, 23), (0.0208730829746569, 3), (0.0196220864642607, 14)]
16	Arnaud_Matinees	[(0.3936393273788258, 33), (0.0753835002536256, 20), (0.0695947626688555, 34), (0.0448921068021318, 28), (0.036312747929238, 4), (0.031448056913207, 23), (0.0301433609353197, 11), (0.0271146313631777, 27), (0.025509819042019, 15), (0.0241361925506773, 1)]
17	Arnaud_Nancy	[(0.2132996976984175, 33), (0.0851884704821073, 28), (0.0675411490007441, 20), (0.067099222655461, 34), (0.0670862622934336, 11), (0.0613923225184193, 16), (0.0606075467300794, 27), (0.0563920598521581, 13), (0.0499238531994016, 4), (0.0292428503081389, 15)]
18	Arnaud_Sargines	[(0.2277787727893993, 33), (0.1180083782094037, 22), (0.05270583708584, 23), (0.0508571647381204, 28), (0.0504067880235414, 6), (0.0503596089851169, 34), (0.0390450816298281, 4), (0.0346657247953115, 1), (0.033761964067989, 27), (0.0305466519120665, 30)]
19	Arnaud_Selicourt	[(0.2480426806932581, 34), (0.2044246735652184, 33), (0.0733587027444213, 4), (0.0516177768870976, 11), (0.0494717238261243, 14), (0.0469013342439144, 23), (0.037372828482722, 27), (0.0340207580351116, 15), (0.0323391233326599, 28), (0.0301933313855562, 20)]
20	Arnaud_Sidney	[(0.3022186427059316, 33), (0.089686969660619, 11), (0.0624473910818702, 34), (0.0411047573028653, 27), (0.0401962745219122, 28), (0.0399186123177639, 15), (0.0372613181055121, 16), (0.0332394249172887, 8), (0.0326855154602548, 23), (0.0304012658540697, 13)]
21	Arnaud_Zenothemis	[(0.2713868230310857, 33), (0.0921428344945781, 34), (0.0848896013321424, 13), (0.0588480336869764, 11), (0.0547680274563393, 6), (0.0510447201326555, 28), (0.0455073270242801, 29), (0.0412059018424826, 27), (0.0383822118725748, 20), (0.0302619272570459, 4)]
22	BarbeMarbois_Parisienne	[(0.0989929858499887, 28), (0.0785260834980062, 25), (0.0736642150397323, 14), (0.065865702264274, 30), (0.060790041186613, 20), (0.0521379819848675, 34), (0.0516414785429947, 23), (0.0509100428403766, 19), (0.0456221057833737, 4), (0.0447257660876868, 2)]
23	Barthe_Femme	[(0.0994393681441959, 28), (0.0755896797412905, 34), (0.0690615265379133, 19), (0.0683777850520485, 25), (0.0592102765489512, 14), (0.056670436558932, 30), (0.0560593447575652, 10), (0.0484910822773846, 24), (0.0406597444529294, 4), (0.0335355440117578, 27)]
24	Bastide_Maison	[(0.1788897768924591, 30), (0.106473356205581, 4), (0.1039899245346254, 34), (0.0773717504651025, 17), (0.0561680899448657, 23), (0.0544814013836423, 25), (0.0502924388158013, 32), (0.0381288503368797, 27), (0.0378386010620399, 19), (0.034542123913083, 1)]
25	Beauharnais_Lettres	[(0.3379341191236725, 34), (0.091469827062378, 11), (0.0707095423957557, 20), (0.0530558449351906, 15), (0.0438423689127179, 4), (0.0395932574119858, 3), (0.0313575440302986, 27), (0.0308720402916485, 23), (0.0302242368107799, 13), (0.027444593705657, 9)]
26	Beaumont_Belle	[(0.1258359266561969, 16), (0.0906435938573605, 19), (0.0842474896801117, 26), (0.0767133975127537, 17), (0.0710411650648286, 15), (0.0575296547818875, 5), (0.0559661206621023, 30), (0.0552535081319194, 11), (0.0450280647999554, 3), (0.0448273480592373, 9)]
27	Beaumont_Clarice	[(0.112104996088396, 20), (0.1033395192296268, 8), (0.0678567978857836, 16), (0.0635923624332626, 5), (0.050627027730326, 3), (0.0467090781487223, 1), (0.0405681760898894, 15), (0.0396362617059557, 9), (0.0386846173355349, 19), (0.0369674517918991, 34)]
28	Beaumont_Prince	[(0.0864299647802937, 13), (0.0844086482115442, 19), (0.0805679369577559, 16), (0.0789467001839218, 6), (0.0768543332320175, 26), (0.0588141560629038, 32), (0.0492606171586149, 25), (0.0484295892846327, 20), (0.0466596427854384, 11), (0.0434010230256489, 34)]
29	Beckford_Vathek	[(0.1962412566854275, 32), (0.0923455258570757, 11), (0.0884321662793568, 17), (0.064692530113859, 30), (0.0642539762272579, 26), (0.0510651621526336, 19), (0.0451766084416697, 27), (0.0441999933736643, 4), (0.0431915591590012, 6), (0.0311032271646974, 25)]
30	Bellin_Nuit	[(0.265114755636193, 17), (0.0693133311834963, 32), (0.067783572689067, 11), (0.0644649970996659, 30), (0.0582615819097077, 10), (0.0562577470132591, 4), (0.0492709391808832, 19), (0.0384394294625823, 23), (0.0367030949302295, 27), (0.0231882295755114, 26)]
