	id	Ranked topics
0	Abbes_Voyage	[(0.2001790584376723, 22), (0.0652410727110314, 8), (0.0549433691021058, 27), (0.0517753715822703, 25), (0.0484523564195582, 10), (0.0463268063365227, 19), (0.0453156122855346, 12), (0.0430725427199462, 24), (0.0356965568734803, 2), (0.0351268274957947, 7)]
1	AndreSerieys_Comte	[(0.1366630813123423, 3), (0.06577170695654, 9), (0.0510875506622759, 13), (0.0495530508303355, 23), (0.048186039720721, 2), (0.0479667525397987, 27), (0.0422588019474087, 6), (0.0377320034964932, 16), (0.035803120984132, 7), (0.033023281042811, 8)]
2	Anonym_Enfant	[(0.1037455433131546, 13), (0.1015559555168097, 8), (0.0863241181142185, 11), (0.0689140779402737, 12), (0.0628185219652279, 10), (0.0514440860924125, 9), (0.0452729243967239, 6), (0.0367392809076468, 16), (0.0317396083930221, 2), (0.0314978894637084, 24)]
3	Anonym_Histoire	[(0.1565640498980803, 19), (0.0814849481920525, 9), (0.0697600297009584, 3), (0.0680700941892441, 4), (0.0487243459409733, 27), (0.048536993700142, 26), (0.0402854779170149, 29), (0.0369349840989605, 21), (0.0359254991886538, 0), (0.0314649363470231, 25)]
4	Anonym_Suzon	[(0.0928709442537516, 9), (0.0736051478272883, 13), (0.0555654738808601, 21), (0.0532737956078569, 11), (0.0468280478250073, 10), (0.0463160606891103, 23), (0.0444270110843602, 22), (0.0426492875415487, 2), (0.0390314905274517, 26), (0.0363014970418809, 6)]
5	Anonyme_Venus	[(0.1194721587464917, 10), (0.0880629782222146, 11), (0.0780272417998034, 13), (0.0676568964596138, 12), (0.0538572783322636, 25), (0.0528188762026297, 9), (0.0507968103526747, 8), (0.0353288183655686, 22), (0.0338127000124807, 2), (0.0309372731636387, 14)]
6	Anonyme_Zoloe	[(0.1240340320295583, 10), (0.0927624965325778, 12), (0.0775312157649322, 6), (0.0525246106266863, 22), (0.0413912765150475, 8), (0.0393367391779289, 26), (0.0378940229423579, 19), (0.0373143933990242, 14), (0.0368102301116341, 9), (0.0362245260811503, 27)]
7	Arnaud_Adelson	[(0.1458258353450388, 20), (0.1375465355080239, 7), (0.099975472394344, 0), (0.0929669269183609, 6), (0.0773467062525817, 17), (0.0576624476791447, 16), (0.0508169667230104, 12), (0.0434918751928442, 9), (0.0364788331399582, 29), (0.0345088349706606, 13)]
8	Arnaud_Anne	[(0.2533292942123612, 7), (0.0857142698304789, 20), (0.0820785733963998, 28), (0.0693203281612882, 0), (0.0626376399332365, 17), (0.0620915062552916, 6), (0.0444056149182565, 16), (0.0330964249088281, 26), (0.0330705073065705, 12), (0.0327233003066269, 9)]
9	Arnaud_Bal	[(0.1290686459685926, 0), (0.1219201634365805, 12), (0.0905842158066065, 7), (0.0685909627257198, 26), (0.0655972455529795, 16), (0.0546133510960493, 10), (0.0483744398926354, 13), (0.032627551492258, 9), (0.0302562565233652, 21), (0.0299998040270962, 6)]
10	Arnaud_Batilde	[(0.2138481346681537, 0), (0.1748774149990343, 7), (0.1130190457494775, 15), (0.0807124089540626, 16), (0.0457803646250139, 9), (0.0410140515891202, 20), (0.037008581472499, 29), (0.0364644865957689, 6), (0.0304676736210062, 17), (0.028087389133623, 12)]
11	Arnaud_Clary	[(0.1613131243701361, 7), (0.0933582893642704, 0), (0.0782019393454518, 17), (0.0773667069263918, 20), (0.0605199578203108, 16), (0.0482851554042822, 6), (0.0479401404798959, 28), (0.0440891594726021, 26), (0.0408621428527049, 12), (0.0323542704667429, 19)]
12	Arnaud_Epoux	[(0.2210584229305465, 7), (0.1515310042168345, 0), (0.0606189595853718, 16), (0.0500845803614039, 17), (0.047386058452721, 6), (0.0468677216296417, 29), (0.0453717388972996, 9), (0.0407034098698389, 20), (0.0379059999438551, 12), (0.031323456960835, 28)]
13	Arnaud_Fanny	[(0.1379305364453614, 7), (0.1022917693835618, 20), (0.0919378717987695, 17), (0.0663491493114748, 0), (0.0650916755225173, 28), (0.0631722061660129, 29), (0.0576940716850081, 16), (0.0500707225680227, 26), (0.0470337588154365, 6), (0.0440007332438123, 12)]
14	Arnaud_Julie	[(0.1745002569182604, 7), (0.1188069584464664, 26), (0.0616467925463785, 0), (0.0570544449777185, 17), (0.0526414667636286, 28), (0.0484491206586421, 6), (0.048393879097072, 12), (0.04699451477798, 16), (0.0371792836433724, 29), (0.0358370432336216, 20)]
15	Arnaud_Lucie	[(0.2909688347015483, 7), (0.1819353144689604, 0), (0.0565347912320991, 28), (0.0540670349216755, 16), (0.0481029918912106, 14), (0.0452993075795946, 6), (0.0350559998440356, 9), (0.0317495172519329, 20), (0.0285209936999299, 17), (0.0276426080095255, 29)]
16	Arnaud_Matinees	[(0.2233172698870938, 20), (0.1228021883349152, 7), (0.1119413638582734, 0), (0.0548342795861526, 29), (0.0544330313041009, 9), (0.052786845061718, 16), (0.0397253220242916, 26), (0.0287615262018593, 6), (0.0284267921907335, 12), (0.026991049359847, 18)]
17	Arnaud_Nancy	[(0.1392148335010094, 7), (0.0766427615686982, 26), (0.0736166865358034, 20), (0.0684189628842472, 0), (0.0666712708448866, 29), (0.0655826805480909, 16), (0.0639355964090127, 17), (0.0537596686898417, 6), (0.0523896468004477, 28), (0.0504643375595414, 9)]
18	Arnaud_Sargines	[(0.1275518912692006, 15), (0.0986214018216875, 20), (0.0750716600319219, 0), (0.0701846971512442, 7), (0.0605185336950937, 12), (0.0602793486806493, 16), (0.0410771365950725, 26), (0.0373893474363855, 6), (0.0331355818449876, 1), (0.0322372989393822, 28)]
19	Arnaud_Selicourt	[(0.2323743473604722, 0), (0.1528435654118112, 7), (0.0856536445408488, 14), (0.0823034075410863, 16), (0.0405869171124963, 26), (0.0391510791569206, 20), (0.036674677140572, 9), (0.0361718202302241, 6), (0.0344525125826317, 19), (0.0337266719258893, 18)]
20	Arnaud_Sidney	[(0.2035126506553217, 7), (0.1049241083568222, 0), (0.0578437550611153, 6), (0.0558257011592968, 20), (0.0517345084977284, 28), (0.0410481983595755, 17), (0.0407865680501672, 19), (0.0405832671462932, 26), (0.0394728077822422, 12), (0.0387055561345336, 23)]
21	Arnaud_Zenothemis	[(0.2033872710882213, 7), (0.1062025686202815, 0), (0.1005602250068994, 17), (0.0597397491986226, 19), (0.0582324793126105, 15), (0.0492282080945041, 16), (0.0455266278389022, 26), (0.0400391033537419, 29), (0.0360815444403245, 6), (0.0336856385203686, 20)]
22	BarbeMarbois_Parisienne	[(0.0908470245599193, 12), (0.0811353506520946, 26), (0.0794394922599261, 10), (0.0694217893713209, 21), (0.0611167899319471, 9), (0.054718774318206, 14), (0.0528249365086755, 22), (0.0496532144106849, 16), (0.0466233897625909, 0), (0.0440926833991783, 25)]
23	Barthe_Femme	[(0.091603129662334, 12), (0.0872688278252454, 26), (0.0766139040459141, 10), (0.0737563159047184, 22), (0.0628878275525951, 0), (0.0577068674197924, 14), (0.0560001024503098, 25), (0.0398001355505802, 16), (0.0331314369398452, 19), (0.0326188708476452, 17)]
24	Bastide_Maison	[(0.1942595905180034, 8), (0.0867198150273876, 16), (0.0794383814261282, 12), (0.0742226879312255, 0), (0.0553789635925721, 5), (0.0487234307404776, 9), (0.0485903421212462, 25), (0.0450264192760872, 22), (0.0447753338950307, 26), (0.038788937188545, 7)]
25	Beauharnais_Lettres	[(0.1960391835219557, 7), (0.1926232037252064, 0), (0.0719002246239575, 9), (0.0595577985600339, 18), (0.0505853370804838, 20), (0.0494001119958463, 17), (0.0399474679933798, 16), (0.0348452647378258, 6), (0.0275813868771358, 29), (0.0258363026805452, 26)]
26	Beaumont_Belle	[(0.1027672466805143, 2), (0.1005597240354022, 13), (0.0867664882555814, 28), (0.0698576031448483, 21), (0.0683618692339384, 7), (0.0514336330288612, 29), (0.051057707200879, 10), (0.0495985186713759, 20), (0.0436627549751886, 6), (0.043200987329945, 8)]
27	Beaumont_Clarice	[(0.0885356001586805, 23), (0.0790309699602723, 9), (0.074075413855994, 20), (0.0621184005054904, 29), (0.0477541757269715, 25), (0.0452132226128171, 28), (0.0439374943737079, 13), (0.0437977219181201, 18), (0.037956278408522, 17), (0.0363168862788337, 7)]
28	Beaumont_Prince	[(0.0903406907321441, 2), (0.0818093176190892, 17), (0.0721209115959585, 12), (0.0674848573468618, 15), (0.0567956721597526, 25), (0.0526772281324798, 26), (0.0504087204937165, 29), (0.0470178515082947, 8), (0.0462465237844797, 16), (0.0427485769175067, 13)]
29	Beckford_Vathek	[(0.1444269276401555, 8), (0.1204968919238009, 27), (0.1067998187544625, 6), (0.0691097707745732, 2), (0.0574718160936575, 16), (0.0482335921959388, 15), (0.0400250736615014, 10), (0.0385959991088635, 12), (0.0344706495802713, 3), (0.033706039506475, 25)]
30	Bellin_Nuit	[(0.2477437347981826, 8), (0.114778284260273, 6), (0.0642303730799618, 16), (0.0617632285092945, 22), (0.0543773825908618, 25), (0.0347188034527834, 27), (0.0306238241063737, 4), (0.0285169120065563, 10), (0.0284790232511273, 13), (0.0281798578968914, 2)]
31	Benoist_Elisabeth	[(0.1409618065868145, 0), (0.1065723648667564, 9), (0.0825317685608745, 18), (0.0724551341456829, 7), (0.0453990790170811, 29), (0.0437887887741106, 14), (0.042375978018738, 24), (0.0420890340872379, 21), (0.0397298244361888, 25), (0.0390118514786082, 26)]
32	Benouville_Pensees	[(0.1286264998112972, 25), (0.106085961925707, 19), (0.0761752121774953, 26), (0.0722368742407154, 21), (0.068376462693571, 9), (0.0641560713568381, 5), (0.0548413324063453, 0), (0.0429592120016718, 22), (0.0428589332069693, 7), (0.0321339946702717, 18)]
33	Bernardin_Chaumiere	[(0.1819847248847038, 27), (0.0652927771369057, 4), (0.0642086031884568, 19), (0.0623547497357494, 22), (0.0572353725914169, 8), (0.0553155869766808, 3), (0.0476837531338409, 2), (0.0375928822619872, 6), (0.0375116999355838, 1), (0.0331482200863072, 25)]
34	Bernardin_Paul	[(0.2199219706165429, 27), (0.0724594276065152, 22), (0.0599740258408274, 19), (0.0507598328050769, 7), (0.0456963493027253, 8), (0.0408040674895993, 23), (0.0361290192777419, 3), (0.0358651434335198, 6), (0.0337449669522653, 28), (0.0320108511413424, 12)]
35	Berquin_Enfants	[(0.1333503310569084, 28), (0.1083876747729874, 25), (0.1083720776442957, 2), (0.0734049313448248, 13), (0.0666079669419417, 27), (0.063692628833883, 10), (0.055680478766498, 8), (0.0446214255734598, 21), (0.0339598595531467, 16), (0.0336749136040887, 6)]
36	Blanchard_Philetas	[(0.2017689794029883, 12), (0.1518659790304253, 27), (0.0770059177012992, 7), (0.0750918604710613, 16), (0.0714969506787762, 0), (0.0412768346119524, 6), (0.0402542185592357, 28), (0.0372895514079238, 1), (0.036575869754093, 25), (0.0293754270809697, 21)]
37	Boismortier_Histoire	[(0.3524179899652745, 25), (0.0661133917980424, 10), (0.0483580921620128, 18), (0.041086693760248, 12), (0.0388010456025107, 16), (0.0338853434327254, 3), (0.0333790162270853, 27), (0.0304779765926936, 0), (0.0296325064055054, 28), (0.0279720161097984, 2)]
38	Boufflers_Reine	[(0.0743211721428172, 3), (0.0723163723716626, 23), (0.067994847359189, 15), (0.0604670245657139, 27), (0.0543450131150613, 12), (0.0527296088234232, 13), (0.0483318285726443, 22), (0.045516261779788, 26), (0.0415466538912592, 29), (0.0413962083596558, 28)]
39	Brument_Henriette	[(0.0821594967635823, 13), (0.0721734433374835, 17), (0.0711304774460141, 7), (0.0676580011854767, 6), (0.0658434933160657, 9), (0.0651548084693189, 16), (0.0613414021168986, 0), (0.0536479243936662, 29), (0.0504018021876915, 3), (0.0414915620625888, 12)]
