	id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	Abbes_Voyage	0.0911367172255846	0.005684527889355653	0.07343048076343577	0.19462552525858143	0.04018933567203767	0.04081803349535301	0.0029463584702006823	0.023605451038048276	0.09694947676072796	0.025116117648454294	0.017457712935755588	0.028382489002422216	0.012282523053369201	0.015774147850328088	0.03143115818573328	0.08800179512688018	0.02529526666573599	0.05668681156207172	0.08151915622483367	0.04866691517109076
1	Anonym_Suzon	0.06496864544350174	0.04506526419861456	0.04675502406199663	0.043585669371809334	0.020838288153670233	0.044468802934978326	0.05600328134000222	0.014104631460035698	0.06887750022200764	0.020078758810931917	0.01977376601035749	0.056707287648488515	0.013975770777283349	0.12263488669629756	0.018241556188109385	0.07096730582540728	0.052782186731757746	0.06350429786031024	0.0655801968458537	0.09108687941858648
2	Anonyme_Etourdi	0.031800176670730866	0.0452456053406906	0.06669406477505349	0.03750087281512293	0.007666503052395657	0.08802109648676179	0.004802506071703633	0.03638217470681858	0.10711011039211778	0.010379404441937412	0.01774619188809724	0.040137614879037	0.009054488846860137	0.06076878722889328	0.02327330865649132	0.0632159540998165	0.017999227119554095	0.14087589797430353	0.1364598205527204	0.054866194000893855
3	Anonyme_Zoloe	0.02519542572975241	0.01873158841237805	0.04811853329951706	0.05331838406322746	0.0477924900501808	0.03337242591205964	0.01321316034746521	0.03171613707051777	0.03854916988067269	0.03635975473116721	0.029736121631128314	0.05984348731679009	0.02630734906220927	0.027109153544021318	0.05421636845259032	0.09589777223470088	0.03193854038215274	0.15545135526249576	0.12823401995569156	0.04489876266128139
4	Arnaud_Sentiment	0.02520372262912524	0.07976442915288273	0.2384897969045666	0.014993930379230677	0.008925361394207014	0.15858947752923497	0.0014834740575689006	0.02882308797174965	0.08619184485593849	0.03264727705068097	0.03478003052390826	0.04300662767162322	0.03759200064879722	0.016735328312894506	0.07552786647698363	0.024363981681635772	0.005630732123832177	0.04694303362835586	0.02211676959568781	0.018191227411096293
5	Beauharnais_Lettres	0.0228255698467628	0.04672091325431524	0.22661184425365072	0.007535931596508008	0.003553606628001189	0.26382166235117893	0.0012992744280433863	0.053218396019061594	0.13119873764614234	0.018985212940284046	0.014275361056781457	0.036379249446382565	0.010330597488319024	0.021509564884041255	0.047009589601259456	0.015536944346190445	0.0029865273142346987	0.022318203049763723	0.012819339849379913	0.04106347399969926
6	Beaumont_Clarice	0.0246001072745098	0.1723760570747953	0.05351065615442586	0.03931587339847161	0.03932838843387742	0.05992472285175226	0.013906248151423722	0.006542601974138039	0.042757152907463764	0.07020867739298844	0.04816817886738858	0.10789024774860136	0.018404084720516065	0.09109129275769899	0.02111271650854346	0.022040251192418772	0.031160132417326222	0.07583878431226941	0.021158357902996233	0.04066546795839479
7	Beckford_Vathek	0.019826030881738767	0.026345348339540005	0.08084105723402076	0.011000578948978587	0.28710787376851515	0.02136704887206184	0.005356182932374379	0.008251083698065325	0.025372450996208884	0.06644665643115066	0.016104847823658133	0.008272270702785993	0.020636008873767205	0.03415962866439504	0.04290219610027954	0.11968807192249312	0.06455923107235602	0.050108907422677984	0.056115514347678655	0.035539010967254016
8	Benoist_Elisabeth3	0.04689650250758362	0.044489006585674576	0.11617052668522136	0.03700270611311628	0.0026638770344174514	0.1572912254768734	0.005445067089454461	0.167123698160877	0.11364860433792189	0.007088687247595104	0.02887569279061682	0.017808602093204316	0.010914635189918687	0.040093909060800764	0.024588350080035428	0.02558211798557781	0.006594804092066197	0.028757915203984127	0.03514452598791166	0.08381954627714905
9	Benouville_Pensees	0.12408888630521928	0.028017035624930558	0.05243257848140383	0.03929305318593469	0.012878853296164705	0.12198027957297133	0.0016249507144997142	0.02325585375350766	0.12701509391770258	0.024952422456990756	0.1522824967501519	0.04005961091009181	0.015639426475995668	0.0497728008952164	0.03529295081818755	0.019721998633857596	0.011381486252415047	0.013250826404915098	0.05121974768697929	0.05583964786286459
10	Bernardin_Paul	0.049129192915963446	0.05745269884096046	0.058518309585403355	0.08404273063688743	0.2947012531552814	0.04687244985738979	0.004031522120306648	0.01211130567374513	0.03670602979747241	0.02359572979322364	0.06090447104967439	0.06805522481042847	0.00781649718679231	0.02241626710984733	0.018028565276646587	0.0444417618144397	0.018007682768704063	0.03205093819764037	0.014306230246577435	0.046811139162615596
11	Berquin_Enfants	0.03696322311284821	0.18486041465582917	0.027698145827818335	0.010302741216670422	0.08482221105700904	0.030385528230915348	0.010434798440941745	0.011434052618462873	0.02517121839081693	0.008186841964445555	0.015555099816649504	0.024282244915290043	0.005259982172214348	0.02417115368732347	0.0119036071885049	0.1382750827559352	0.15572228027367688	0.025219718399581745	0.05732589005573863	0.11202576521932767
12	Cazotte_Diable	0.04727505403134099	0.032988832000695016	0.06811554294168218	0.02514058137941718	0.053927576430920394	0.0663095079615059	0.006233928424944226	0.010103984218216101	0.10085013415961773	0.008309928893982554	0.029434278827407435	0.04031171563852857	0.01739378715168476	0.045493561662877643	0.055065509220095794	0.19423153123398124	0.02915309519586412	0.05793849154009216	0.06908844438734908	0.04263451469979694
13	Charriere_Femmes	0.08285057165721857	0.07356330718237009	0.05352151737336752	0.04626542122121475	0.027126171592721977	0.060643820921552426	0.004297021582918671	0.04957143588848728	0.07357909682995323	0.016599020704769575	0.04245565403679032	0.06461371009334549	0.016100783974197848	0.04485820650664012	0.0143709296477078	0.08388087652715628	0.02451166747041749	0.026115908957071193	0.07758847560961143	0.11748640222248793
