	id	Ranked topics
21	Diderot_Supplement[1]	[(0.20039195653623265, 0), (0.12343401015570606, 1), (0.09931212195076704, 10), (0.083289055673186, 4), (0.06866105681503874, 5), (0.05949577731382169, 14), (0.04618138573795853, 18), (0.04304491676609019, 11), (0.03694088998236749, 9), (0.03389821633162484, 13)]
22	Doppet_Memoires	[(0.12503010204165185, 2), (0.11323279546657815, 11), (0.10053979937478946, 5), (0.08272333995804937, 19), (0.08002723860757865, 8), (0.06897871904912094, 10), (0.06199008442626714, 3), (0.05393096368286927, 13), (0.049772179773666034, 0), (0.04804044397691103, 1)]
23	Dorat_Sacrifices	[(0.2876364874362798, 5), (0.14506320000792394, 2), (0.08328857860259645, 8), (0.08248443316026226, 7), (0.06506559228110846, 17), (0.0463135930988158, 18), (0.04555509856911464, 14), (0.03825440809044621, 19), (0.03671276275600812, 10), (0.030277469963466568, 15)]
24	Duclos_Acajou	[(0.2287311322854917, 18), (0.13096769748746512, 8), (0.07988865255454976, 17), (0.07662387346865801, 0), (0.06293722302152284, 12), (0.06083058703415153, 5), (0.04342899366514191, 15), (0.04024956452023207, 3), (0.04006305523108592, 4), (0.03991158783785388, 9)]
25	Ducray_Cinquante1	[(0.1882242688007055, 1), (0.10163837507190701, 19), (0.09670762925802727, 5), (0.08507933632087973, 8), (0.08246784270656897, 2), (0.06980778649157042, 18), (0.06621699049680937, 13), (0.06441309665853254, 11), (0.0460634158457982, 15), (0.03327821257320067, 0)]
26	Dulaurens_Imirce	[(0.2554269651543144, 16), (0.07843662767236897, 1), (0.06722055186982306, 3), (0.06545377751766067, 18), (0.06164118927763439, 17), (0.05625153731261038, 10), (0.05515490723761813, 19), (0.042736118581625994, 15), (0.0402424140798617, 4), (0.038024114597016885, 0)]
27	Duras_Edouard	[(0.15770892042320078, 2), (0.1494691960958958, 19), (0.13686480316342325, 5), (0.10314430339570707, 8), (0.057430923426376006, 15), (0.044154592501298516, 1), (0.04409804472070581, 4), (0.03962631510389957, 0), (0.03693387464014414, 10), (0.03633729357567544, 13)]
28	Duras_Ourika	[(0.1839775819459555, 2), (0.14978001503655802, 8), (0.10863270725879016, 19), (0.10312287172447948, 5), (0.06825556929355753, 10), (0.06743378024327969, 0), (0.061832009254367576, 13), (0.05424837979710501, 1), (0.030305021095730324, 17), (0.028226815895596575, 14)]
29	Fievee_Dot	[(0.14420376995465967, 8), (0.12768001050965008, 5), (0.11645057495106455, 1), (0.10680688074938206, 2), (0.10071203049333036, 11), (0.08758676032002942, 18), (0.057024677267631975, 19), (0.053239991196340736, 15), (0.036689523342356735, 0), (0.03176563218660173, 13)]
30	Florian_Estelle	[(0.1855164797005594, 4), (0.1654209285486453, 2), (0.0954369278415622, 17), (0.0907230001214836, 12), (0.08457920641743433, 5), (0.058565545533804976, 1), (0.052067563481522916, 9), (0.04253496655159874, 3), (0.04082160441516787, 19), (0.03999366928446944, 15)]
31	Florian_Galatee	[(0.21838116476002692, 4), (0.14997270673385954, 2), (0.09983609405979743, 17), (0.07775456801828058, 5), (0.06693292729496597, 3), (0.057088247171527225, 19), (0.05608108345114093, 1), (0.04760017250180708, 15), (0.03932713999872494, 12), (0.029074524727812506, 0)]
32	Fourqueux_Zely	[(0.1877847925943132, 8), (0.1834719377507464, 5), (0.07127989744264428, 19), (0.07032544747816896, 18), (0.06541799603445858, 2), (0.05543407147883762, 14), (0.04978983838887571, 10), (0.04870288289805617, 11), (0.04270387417317529, 0), (0.04131464205191323, 15)]
33	Genlis_Adele	[(0.1906827259842836, 8), (0.08709980864836328, 2), (0.07829281640703127, 5), (0.07342837091031698, 19), (0.06768708445098517, 15), (0.06616708025219584, 7), (0.06483297031483108, 0), (0.05898792267258516, 1), (0.058571449523106785, 3), (0.05264653755991313, 18)]
34	Genlis_Chevaliers	[(0.18152956293672845, 12), (0.1525782014983414, 2), (0.11349802186692536, 15), (0.0992747440389229, 8), (0.09501078210005988, 5), (0.04403939739616236, 9), (0.040218432237984436, 4), (0.038457384655644834, 14), (0.032357379687391885, 17), (0.032158355501461296, 13)]
35	Gorjy_Voyage	[(0.13762622265592825, 18), (0.13760575302373512, 15), (0.095471531014557, 17), (0.0888648262988464, 16), (0.06490791302026602, 8), (0.05838113534555785, 3), (0.058336663109331326, 5), (0.05373395181156529, 0), (0.050904919634933564, 19), (0.04268140177835222, 11)]
36	Gérard_Comte	[(0.3102340535267668, 10), (0.14560611772324414, 5), (0.08949852163503651, 8), (0.08830822972809385, 0), (0.07646802608517213, 2), (0.03552209847412071, 1), (0.033412446041783284, 17), (0.03313677658746258, 3), (0.02673499641328553, 9), (0.026294919924673737, 13)]
37	Jacquant_Lettres	[(0.27426471996810325, 8), (0.1863493985281396, 5), (0.11252637718267176, 17), (0.07978526840833748, 2), (0.052464221422690006, 18), (0.0483073178491309, 19), (0.03626657396213182, 14), (0.03228804115661952, 13), (0.02901676499694521, 10), (0.028722640716690326, 11)]
38	Jacquin_Parisiennes2	[(0.20456998157479736, 8), (0.15114084517730889, 5), (0.07475579291259153, 3), (0.0703224438107544, 2), (0.06820423236530382, 11), (0.06617987986419935, 18), (0.05932843714993294, 0), (0.0506201619830494, 13), (0.043799866001017616, 17), (0.0384266607621673, 19)]
39	Kimber_Thompson1	[(0.16097957002490107, 19), (0.13110163775626044, 8), (0.08871480575946407, 15), (0.08037144361089275, 16), (0.07779201406414593, 11), (0.06703554388419791, 0), (0.05233437946984202, 1), (0.05000550713814176, 5), (0.04570512347406476, 18), (0.043949906208683984, 13)]
40	Kimber_Thompson2	[(0.18452414078666146, 19), (0.15460311144325234, 8), (0.10426042464879157, 2), (0.07131093798963567, 1), (0.06967046592788739, 11), (0.056577982139022515, 5), (0.0560037133957426, 15), (0.044424436498930304, 14), (0.04250223516118977, 13), (0.0307340092464294, 17)]
41	LaPlace_Collection	[(0.16831920163087707, 7), (0.11613069237172033, 8), (0.10708277185574007, 2), (0.1026407726771042, 5), (0.083925240962133, 13), (0.06067788135293405, 19), (0.051958047074734164, 1), (0.04455932806163899, 14), (0.03903143634636847, 15), (0.03879774637415147, 12)]
42	LaPlace_Lydia	[(0.2934332565182365, 8), (0.09262234142111528, 5), (0.06659711242735374, 0), (0.06549728217868106, 19), (0.0654589893276176, 18), (0.0573806110125005, 17), (0.05619200145184368, 15), (0.05607777270073845, 13), (0.0516208659645561, 11), (0.041551438885910265, 3)]
43	Laclos_Liaisons	[(0.19925840794501445, 5), (0.1634528417441278, 7), (0.09366925129414916, 8), (0.0911369587390009, 19), (0.0724204243979065, 13), (0.06641130094132748, 18), (0.061109696700142414, 2), (0.04844782818126775, 15), (0.048044754987909326, 0), (0.031320876938253965, 17)]
44	Lagrave_Sophie1	[(0.14333607490613182, 5), (0.12192996444402301, 2), (0.09816986360340547, 19), (0.0956720851638651, 7), (0.08797916054062672, 1), (0.08508174437418628, 18), (0.08276210213781596, 8), (0.06888898505596186, 17), (0.06530431634430278, 15), (0.031458611706259056, 0)]
45	Lagrave_Zabeth1	[(0.2365951020493361, 1), (0.10553406828504083, 19), (0.10066500629305693, 2), (0.09841709857918134, 8), (0.09274946940599324, 15), (0.0765970133432882, 5), (0.05782151837683429, 18), (0.04032061937870795, 13), (0.02955101764554874, 17), (0.027980692020886037, 11)]
46	Leonard_Lettres1	[(0.20618694946911906, 2), (0.14011306339998994, 5), (0.08579705082211482, 17), (0.07191193807551705, 19), (0.07041710219891616, 1), (0.06822843521491978, 4), (0.054404637160308425, 8), (0.0517932470537157, 10), (0.049346787799163135, 15), (0.037869223437796286, 0)]
47	Lesuire_Aventurier1	[(0.1037515001173374, 14), (0.09149764584967017, 18), (0.0868971766307906, 13), (0.08444982496105694, 12), (0.08309996612666062, 15), (0.0691788100608115, 2), (0.058124074541251736, 17), (0.0543365005854014, 19), (0.052228098282127884, 8), (0.04846256656480639, 5)]
48	Lesuire_Crime1	[(0.1825361473423512, 18), (0.10546971885339483, 1), (0.06813367891022733, 14), (0.06040953753209395, 11), (0.058356997595718135, 13), (0.05499113231938934, 16), (0.05370078851197303, 8), (0.0525408839195668, 3), (0.047778021574673916, 5), (0.04527851264539301, 15)]
49	Loaisel_Comtesse	[(0.31359231802511073, 2), (0.1077180466939407, 17), (0.10352425657807583, 5), (0.09783767022576656, 4), (0.06931514573969623, 14), (0.043820286777284057, 1), (0.035001813895422416, 15), (0.033612801403667264, 10), (0.0311065831206786, 11), (0.03055115518089511, 7)]
50	Loaisel_Lucile	[(0.3183998451243973, 2), (0.1154843957661338, 17), (0.10886134226129007, 5), (0.09077094275627963, 4), (0.07261424801895247, 14), (0.05241872579714532, 1), (0.03756398984655795, 15), (0.029087167936643243, 11), (0.02794497512503593, 7), (0.027153021194502962, 8)]
51	Louvet_Fin	[(0.1816072976539157, 7), (0.10807562221035273, 15), (0.09740481304270536, 18), (0.09429754953494396, 2), (0.08751894487677461, 5), (0.06621930333104313, 19), (0.05304214414587476, 1), (0.04948171967134421, 8), (0.03899413410144175, 14), (0.0384083947620644, 11)]
52	Louvet_Les_Anne	[(0.17377419166228072, 15), (0.14272298481462842, 7), (0.07645831196204292, 18), (0.07075850691284077, 2), (0.06407085588071497, 19), (0.06134027218212367, 1), (0.06029152600557362, 5), (0.05231745683641339, 12), (0.043784803666106216, 14), (0.0385267892322225, 13)]
53	Maistre_Voyage	[(0.13527777840700222, 3), (0.12735160454321245, 15), (0.0913900833282322, 2), (0.08822181947371323, 17), (0.07298605405460408, 4), (0.07145832652204964, 0), (0.0698636167446729, 19), (0.06093890435850032, 10), (0.049637385476086884, 8), (0.04779462289632353, 18)]
54	Meissner_Histoire1	[(0.14430890332259216, 13), (0.12842266847851205, 2), (0.1026976454029379, 17), (0.07710934840114668, 5), (0.05671317720466273, 9), (0.055770479991631684, 8), (0.04932768620310903, 11), (0.047566420036833305, 4), (0.046711063063573706, 15), (0.041651356900990325, 3)]
55	Merard_Bergeries	[(0.4552488197464611, 17), (0.07464305824258563, 5), (0.07347952693980489, 2), (0.06446501033784346, 4), (0.05544120673217669, 8), (0.04102145978272366, 15), (0.037942902797989, 18), (0.02997534065600333, 13), (0.026344418861206226, 1), (0.02501448302607595, 19)]
56	Mercier_An	[(0.1322412139640117, 10), (0.12461559439962745, 9), (0.11785681641235515, 3), (0.07782765009410599, 11), (0.07522570449565087, 0), (0.06897571424030563, 2), (0.058795547014692424, 4), (0.05313119264665345, 15), (0.0473559792094512, 14), (0.03959939682742356, 5)]
