	0	1	2	3	4	5	6	7	8	9
0	ne	ne	ne	dire	ne	dire	île	grand	ne	ne
1	voir	femme	dire	foutre	dire	ne	mer	esprit	homme	même
2	point	bien	bien	con	aller	bien	vaisseau	roi	loi	cœur
3	même	dire	aller	fille	voir	voir	arbre	temps	nature	voir
4	grand	madame	voir	ne	femme	père	montagne	comte	même	bien
5	homme	savoir	point	aller	même	mère	rocher	peuple	point	ami
6	tout	même	don	mettre	bien	cher	terre	homme	bien	dire
7	dire	croire	il	cul	venir	sœur	vent	prince	peuple	croire
8	donner	trouver	prendre	vit	tout	bon	bois	oncle	mal	savoir
9	enfant	là	venir	il	fille	madame	port	intérêt	dire	aimer
10	savoir	encore	bon	décharger	trouver	suivre|être	eau	révolution	comme	amour
11	bien	donc	donner	père	homme	frère	rivage	duchesse	vertu	point
12	petit	tout	répondre	beau	main	fille	bord	personne	seul	jamais
13	toujours	bijou	même	joli	jamais	venir	esclave	monarque	idée	rendre
14	œil	répondre	là	voir	encore	lettre	habitation	jour	devenir	encore
15	beau	parler	homme	mais	jour	savoir	habitant	histoire	chose	moins
16	bon	petit	jour	foi|fois	instant	aller	forêt	général	dieu	sentiment
17	trouver	moins	seigneur	donner	mettre	tout	côte	circonstance	tout	tout
18	lieu	prendre	maître	bien	là	parler	mère	société	nation	suivre|être
19	gens	aller	fort	gros	grand	donner	pied	président	donc	seul
20	maison	donner	mettre	plaisir	prendre	femme	grand	enfin	donner	sentir
21	moins	suivre|être	savoir	comme	donc	comme	soleil	trône	crime	vie
22	monde	comme	grand	petit	œil	fil|fils	rivière	empresser	servir	âme
23	plaisir	il	trouver	prendre	répondre	ici	gouverneur	jeune	vice	homme
24	comme	aussi	paraître	vivre	madame	mari	apercevoir	porter	rendre	trouver
25	temps	voir	suivre|être	conin	monsieur	jour	noir	nombre	jamais	bonheur
26	jamais	beau	rendre	enculer	point	ami	nuit	paraître	toujours	prendre
27	pays	lettre	parler	homme	heure	écrire	fruit	courage	moins	jour
28	jour	mais	tout	téton	donner	même	oiseau	nom	humain	temps
29	encore	sultan	passer	tout	pied	marquis	voisin	ouvrage	raison	donner
30	âme	demander	temps	sœur	comme	il	milieu	ancien	société	toujours
31	goût	entendre	laisser	venir	arriver	croire	cabane	roman	action	vertu
32	air	toujours	demander	femme	malheureux	enfant	tempête	souverain	principe	connaître
33	chose	point	encore	écrier	demander	beau	flot	affreux	esprit	venir
34	aussi	aimer	dame	encore	servir	homme	appeler	fortune	bon	donc
35	un	mettre	personne	coup	voilà	mettre	feu	détail	grand	mal
36	prendre	moment	air	lit	jeune	dieu	marcher	plupart	état	foi|fois
37	vivre	bon	maison	jeune	laisser	là	matelot	nouveau	trouver	parler
38	aller	paraître	sortir	langue	devenir	aimer	bruit	pays	religion	laisser
39	il	chose	entrer	bander	aussi	pauvre	lieue	intéresser	citoyen	raison
40	parler	beaucoup	croire	madame	croire	mademoiselle	plaine	sentiment	un	plaisir
41	tant	jamais	reprendre	bouche	dieu	aussi	élever	moment	chef	moment
42	ici	mangogul	comme	mari	passer	petit	case	noble	sage	perdre
43	là	temps	beau	ma	entendre	monsieur	solitude	partie	heureux	doux
44	nature	heure	assez	pied	rendre	chose	couvrir	spectacle	besoin	heureux
45	livre	rendre	petit	main	un	trouver	autour	lorsqu	droit	craindre
46	ville	pourtant	arriver	putain	foi|fois	grand	longue	nation	voir	peine
47	agréable	occuper	esprit	là	paraître	voilà	vue	émigré	mœurs	vivre
48	maître	effet	un	baiser	bras	mariage	alors	passer	naître	tant
49	art	assez	apprendre	laver	an	regarder	fil|fils	assemblée	vie	aller
