	Topic	Top-Words	Label 1	Label 2	Label 3	Label 4	Label 5
0	0	['temps', 'trouver', 'avoyer', 'personne', 'paraître', 'prendre', 'long', 'jour', 'donner', 'maison', 'assez', 'rendre', 'plaisir', 'peine', 'cependant', 'tôt', 'point', 'recevoir', 'état', 'aurois']	('pouvoir', 0.2871)	('raison', 0.2224)	('voyage', 0.1911)	('livre', 0.1834)	('cour', 0.1412)
1	1	['roi', 'peuple', 'prince', 'grand', 'citoyen', 'rendre', 'souverain', 'ordre', 'porter', 'gloire', 'trône', 'sujet', 'monarque', 'troupe', 'patrie', 'point', 'nation', 'empire', 'ennemi', 'gouvernement']	('peuple', 0.4346)	('citoyen', 0.3173)	('nation', 0.3128)	('absolutisme', 0.3049)	('paix', 0.2817)
2	2	['trouver', 'venir', 'jour', 'rendre', 'femme', 'prendre', 'servir', 'là', 'moins', 'devenir', 'jamais', 'passer', 'encore', 'instant', 'heure', 'mettre', 'moyen', 'grand', 'nouveau', 'laisser']	('pouvoir', 0.3106)	('raison', 0.1997)	('voyage', 0.1547)	('philosophe', 0.1361)	('mythologie', 0.1347)
3	3	['maître', 'homme', 'petit', 'jacque|jacques', 'grand', 'bon', 'là', 'voilà', 'manger', 'cheval', 'vin', 'prendre', 'savoir', 'comment', 'gens', 'mettre', 'point', 'donner', 'hôte|hôtesse', 'jour']	('pouvoir', 0.3514)	('bonheur', 0.2215)	('moeurs', 0.2032)	('raison', 0.1795)	('lecture', 0.1311)
4	4	['homme', 'enfant', 'point', 'voir', 'donner', 'savoir', 'toujours', 'apprendre', 'moins', 'chose', 'nature', 'besoin', 'jamais', 'raison', 'rendre', 'âge', 'grand', 'mal', 'bon', 'connaître']	('pouvoir', 0.4234)	('raison', 0.4069)	('bonheur', 0.2182)	('passion', 0.1841)	('nature', 0.1837)
5	5	['foutre', 'fille', 'cul', 'con', 'décharger', 'là', 'duc', 'vit', 'mettre', 'bouche', 'petit', 'plaisir', 'beau', 'femme', 'branler', 'voir', 'homme', 'fesse', 'enculer', 'joli']	('amour', 0.3417)	('bonheur', 0.2978)	('moeurs', 0.2029)	('sexualité', 0.1571)	('féminisme', 0.1495)
6	6	['voir', 'venir', 'main', 'suivre|être', 'prendre', 'entendre', 'demander', 'sortir', 'passer', 'heure', 'répondre', 'parler', 'mettre', 'porte', 'œil', 'arriver', 'savoir', 'trouver', 'chambre', 'croire']	('pouvoir', 0.3344)	('raison', 0.1914)	('moeurs', 0.1699)	('orientalisme', 0.1047)	('libertinage', 0.1031)
7	7	['père', 'fille', 'mère', 'sœur', 'enfant', 'bon', 'cher', 'frère', 'voir', 'femme', 'fil|fils', 'saint', 'petit', 'venir', 'donner', 'marquis', 'mari', 'jour', 'jeune', 'pauvre']	('famille', 0.3228)	('amour', 0.2401)	('mort', 0.2291)	('bonheur', 0.2273)	('éducation', 0.2185)
8	8	['cœur', 'amour', 'âme', 'bonheur', 'aimer', 'voir', 'heureux', 'vie', 'jour', 'sentiment', 'seul', 'doux', 'point', 'sentir', 'plaisir', 'ami', 'jamais', 'temps', 'tendre', 'objet']	('bonheur', 0.6327)	('amour', 0.6171)	('passion', 0.4514)	('mélancolie', 0.3273)	('pouvoir', 0.2587)
9	9	['lettre', 'suivre|être', 'ami', 'écrire', 'croire', 'comte', 'voir', 'cher', 'chère', 'savoir', 'encore', 'trouver', 'adieu', 'parler', 'moment', 'prendre', 'venir', 'chevalier', 'recevoir', 'amitié']	('pouvoir', 0.2997)	('amour', 0.2361)	('bonheur', 0.2066)	('voyage', 0.2037)	('passion', 0.1717)
