	0	1	2	3	4	5	6	7	8	9
0	terre	trouver	cœur	fille	voir	voir	roi	père	maître	homme
1	voir	prendre	amour	foutre	beau	œil	peuple	voir	petit	point
2	venir	venir	aimer	cul	esprit	main	prince	suivre|être	bon	nature
3	lieu	comte	point	là	grand	mort	grand	mère	homme	enfant
4	œil	jour	voir	duc	homme	venir	ville	ami	savoir	jamais
5	fleur	rendre	âme	mettre	femme	bras	rendre	lettre	là	donner
6	jour	temps	sentiment	petit	trouver	jour	nation	savoir	grand	savoir
7	eau	maison	ami	con	plaisir	dieu	pays	fille	mettre	toujours
8	arbre	donner	jamais	plaisir	goût	instant	citoyen	cher	voilà	chose
9	nature	passer	bonheur	décharger	beaucoup	vie	patrie	bon	donner	seul
10	beau	femme	seul	beau	savoir	entendre	porter	parler	prendre	mal
11	soleil	point	croire	bouche	œil	ciel	terre	sœur	jacque|jacques	raison
12	air	paraître	heureux	femme	paraître	larme	souverain	femme	beau	moins
13	berger	croire	rendre	voir	donner	jeter	gloire	croire	comment	voir
14	doux	demander	encore	venir	parler	encore	nom	écrire	voir	loi
15	bois	recevoir	sentir	vit	air	écrier	princesse	venir	tête	vertu
16	trouver	arriver	savoir	jeune	toujours	tomber	chef	aimer	main	bon
17	temps	répondre	vie	joli	point	douleur	sujet	mari	point	besoin
18	là	laisser	moins	donner	monde	coup	ordre	frère	durut	rendre
19	montagne	attendre	plaisir	libertin	temps	mourir	guerre	donner	encore	grand
20	pied	assez	toujours	branler	fort	voix	ennemi	ici	foi|fois	devenir
21	mer	mettre	doux	baiser	personne	pied	avoyer	enfant	porte	femme
22	milieu	heure	jour	foi|fois	jeune	affreux	point	là	gens	servir
23	couvrir	voir	temps	ange	petit	malheureux	siècle	petit	suivre|être	vie
24	berger|bergère	encore	amant	gros	gens	porter	gouvernement	voilà	venir	état
25	bord	fort	suivre|être	coup	encore	alors	troupe	chère	entendre	là
26	amant	moment	connaître	fesse	moins	tête	dieu	beau	passer	croire
27	jeune	état	tendre	homme	bon	dernier	trône	chose	cheval	voilà
28	amour	moins	moment	enculer	livre	cri	nombre	jour	pied	crime
29	feu	partir	tant	encore	chose	horreur	monarque	grand	heure	mieux
30	fruit	chambre	passion	placer	ouvrage	mot	fil|fils	saint	manger	esprit
31	oiseau	alors	vertu	saint	assez	cruel	nouveau	homme	femme	trouver
32	tour	peine	vivre	main	figure	vivre	palais	fil|fils	tenir	vice
33	loin	sortir	perdre	garçon	souvent	sortir	ancien	prendre	pauvre	connaître
34	nouveau	part	amitié	tenir	lire	fille	république	encore	candide	apprendre
35	autour	nouveau	cher	évêque	agréable	homme	puissance	puis	argent	dieu
36	point	permettre	craindre	puis	cependant	malheur	empire	jamais	diable	principe
37	campagne	moyen	laisser	ainsi	société	âme	honneur	trouver	coup	idée
38	travail	seul	peine	eugénie	connaître	frapper	tant	mettre	vin	naître
39	île	personne	donner	volupté	talent	sang	sage	monde	mieux	objet
40	près	doute	foi|fois	soir	entendre	infortuné	vaisseau	répondre	payer	monde
41	petit	soin	mal	vieux	idée	saisir	ministre	demander	rire	humain
42	apercevoir	cependant	objet	bander	mettre	crime	général	regarder	laisser	âge
43	long	servir	oublier	servir	passer	reprendre	droit	marquis	bas	moyen
44	toujours	jeune	sembler	vivre	tête	cœur	temps	pauvre	table	action
45	rocher	affaire	raison	trou	auteur	peine	élever	entendre	dame	ainsi
46	forêt	assurer	oser	délicieux	mot	arriver	esclave	tenir	pourquoi	agir
47	côté	conduire	puis	cuisse	jouer	répondre	arme	penser	boire	comment
48	chemin	devenir	éprouver	partie	beauté	porte	loi	mariage	haut	tenir
49	encore	projet	penser	sucer	penser	laisser	grandeur	famille	tirer	exemple
