	id	Ranked topics
0	Abbes_Voyage	[(0.1722373174019142, 18), (0.075747428001266, 1), (0.0629530459684544, 19), (0.0518977758737388, 7), (0.0513416129428209, 13), (0.0500930668965723, 3), (0.0496288373945265, 17), (0.0468053436614968, 16), (0.0439858412277171, 26), (0.0423715983884686, 11)]
1	AndreSerieys_Comte	[(0.1090998485563071, 23), (0.0650278645091812, 16), (0.0611827542203461, 25), (0.0549130616794248, 28), (0.0513569861633331, 11), (0.0488184621299057, 13), (0.0486073699628423, 17), (0.0482677058326637, 20), (0.0401147703376248, 15), (0.0325855967668778, 1)]
2	Anonym_Enfant	[(0.1084697356113167, 29), (0.1068182663212057, 11), (0.0671575911275162, 15), (0.0653490559380775, 23), (0.0589936890362213, 3), (0.0496032675300885, 13), (0.0463584593533168, 1), (0.0419493077901023, 25), (0.0404734519623368, 12), (0.0394438488695523, 20)]
3	Anonym_Histoire	[(0.1398886391523146, 9), (0.0817099593988706, 25), (0.0635426749311773, 16), (0.0594912645902856, 17), (0.0563179399683234, 19), (0.0495376027706113, 20), (0.0481722086035264, 7), (0.0358295218823578, 26), (0.0357553491036311, 23), (0.0347341645665907, 21)]
4	Anonym_Suzon	[(0.0665468446367781, 11), (0.0627269340188649, 25), (0.0605425219359924, 29), (0.0596444870570194, 20), (0.0533803975507547, 1), (0.0480598760927588, 26), (0.0473092341262188, 28), (0.0438689252115471, 19), (0.0429765650115832, 13), (0.0422264944249793, 21)]
5	Anonyme_Venus	[(0.0950425100621479, 29), (0.0883314983918545, 1), (0.0817832842988025, 11), (0.0675712549346938, 14), (0.0614370604169875, 3), (0.0430410188771556, 13), (0.0420802417826412, 23), (0.0411411162932797, 12), (0.0407743013394599, 25), (0.0402560172311787, 15)]
6	Anonyme_Zoloe	[(0.10169629765282, 3), (0.0781494355331111, 14), (0.0721269646305854, 15), (0.0595775695901602, 1), (0.0526190458496593, 18), (0.0448771880695314, 25), (0.0413559560866427, 7), (0.0404235146719583, 12), (0.0385079295900534, 8), (0.0370878361426292, 17)]
7	Arnaud_Adelson	[(0.1808940504597778, 0), (0.1026988868907497, 12), (0.0801998720157555, 25), (0.0785554072881611, 15), (0.0763886969186577, 6), (0.0749894815755201, 8), (0.0548607177328905, 27), (0.03698077044073, 4), (0.0347284904725411, 23), (0.0276569515876693, 2)]
8	Arnaud_Anne	[(0.2671626616962483, 0), (0.088537757385003, 5), (0.0701948337379858, 6), (0.0701672158986042, 15), (0.0669579724666182, 12), (0.0498320269378822, 25), (0.0476348114007329, 8), (0.0381673471633759, 7), (0.0336398589165612, 20), (0.0312193801130293, 27)]
9	Arnaud_Bal	[(0.1667782052367865, 12), (0.0864626189351464, 6), (0.0786208664622262, 0), (0.0775132695198048, 1), (0.0676729899171025, 7), (0.054976368276516, 25), (0.0525496822890462, 11), (0.0496545549406896, 15), (0.0308784191886274, 3), (0.0286272835408763, 26)]
10	Arnaud_Batilde	[(0.1766982539568591, 0), (0.1424784312110629, 12), (0.1299143253227834, 6), (0.0763004983515436, 24), (0.0737464673581529, 25), (0.0555005706591093, 15), (0.0420954490490914, 4), (0.0311478998795534, 17), (0.0305833145209103, 7), (0.0273599351111559, 5)]
11	Arnaud_Clary	[(0.181437817565312, 0), (0.0918956819957166, 12), (0.0905376597955267, 6), (0.0603436194407226, 5), (0.0549930192399751, 15), (0.0517543363461093, 8), (0.0480189131700237, 25), (0.0462712850705796, 4), (0.0460153626616049, 7), (0.0325748937942139, 27)]
12	Arnaud_Epoux	[(0.2272907772889375, 0), (0.1136026479962115, 6), (0.1060820517284286, 12), (0.0733351770889196, 25), (0.052184951508766, 15), (0.044650966812018, 5), (0.0382954112135692, 4), (0.0352068547790274, 8), (0.0290351879580059, 20), (0.0278397287140368, 26)]
13	Arnaud_Fanny	[(0.1851897382396396, 0), (0.0921981657490546, 5), (0.0725219109124048, 12), (0.0701923617015731, 8), (0.0645363800933571, 27), (0.0621842693846127, 6), (0.062006974700318, 15), (0.0548205553488536, 7), (0.0441404451552975, 25), (0.0286380968053392, 17)]
14	Arnaud_Julie	[(0.1761682713347388, 0), (0.1326606372700026, 7), (0.0633296596205413, 12), (0.0610094551569903, 6), (0.060435015587075, 5), (0.0582226039043899, 15), (0.0567027632543189, 25), (0.0409829976219148, 8), (0.0342580143305404, 4), (0.0337728860074227, 9)]
15	Arnaud_Lucie	[(0.2874975430191509, 0), (0.1297942929349659, 6), (0.1170149631473203, 12), (0.0905691424834619, 5), (0.0636181644674184, 25), (0.0480429348042386, 15), (0.0343109760287239, 4), (0.0306074134493138, 14), (0.0261195552292124, 7), (0.0230261796838436, 20)]
