	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
0	père	comte	père	beau	lettre	aimer	terre	foutre	maître	argent	homme	jamais	temps	voir	moins	main	amour	livre	milord	crime	homme	roi	heure	enfant	femme	larme	cœur	saint	voir	ennemi
1	mère	chevalier	homme	petit	ami	amour	arbre	cul	manger	homme	vertu	femme	paraître	croire	croire	œil	plaisir	ouvrage	point	homme	nature	prince	chambre	point	homme	vie	sentiment	dieu	petit	arme
2	fille	marquise	ami	œil	écrire	cœur	voir	fille	mettre	ville	vice	fille	donner	parler	encore	entendre	cœur	auteur	miss	malheureux	loi	peuple	femme	homme	esprit	douleur	temps	père	cher	troupe
3	enfant	marquis	voir	air	voir	point	eau	con	grand	payer	âme	là	mettre	là	point	voir	œil	lire	mylord	mort	dieu	grand	passer	moins	monde	jour	voir	religion	bon	combat
4	sœur	duc	jeune	joli	cher	croire	montagne	mettre	bon	maison	grand	servir	cependant	répondre	paraître	porte	amant	esprit	ami	horreur	point	princesse	jour	toujours	plaisir	mourir	plaisir	grand	ami	coup
5	fil|fils	duchesse	fil|fils	grand	croire	jamais	mer	décharger	là	donner	fortune	devenir	jour	chose	fée	tête	beau	histoire	lady	coupable	raison	cour	arriver	donner	point	mort	jour	religieux	beau	soldat
6	frère	baron	connaître	voir	adieu	seul	soleil	vit	petit	grand	honneur	encore	point	homme	temps	voix	doux	art	lord	sang	esprit	souverain	maison	voir	mari	cœur	bonheur	point	abbé	cheval
7	jeune	vicomte	jour	jeune	parler	sentiment	lieu	là	homme	bon	point	instant	nouveau	bon	donner	jeter	aimer	grand	lettre	punir	idée	trône	sortir	apprendre	plaire	point	paraître	prêtre	dame	armer
8	voir	baron|baronne	là	chanter	chère	ami	bord	duc	vin	fortune	sage	moins	assez	entendre	désir	bras	tendre	écrire	sir	cruel	chose	palais	nuit	jamais	beaucoup	malheureux	heureux	église	temps	ville
9	bon	jeune	malheur	dame	encore	bonheur	vent	petit	boire	riche	mœurs	voilà	fort	demander	autant	tomber	charme	pièce	fortune	monstre	vérité	sujet	mettre	vie	beau	voir	idée	supérieur	paraître	général
10	femme	répondre	ici	main	jour	voir	bois	bouche	diable	gens	intérêt	voir	croire	encore	femme	lever	voir	roman	parent	voir	humain	esclave	donner	soin	personne	vivre	sentir	chrétien	ci	porter
11	cher	cour	temps	donner	recevoir	moins	milieu	plaisir	eau	pays	heureux	mieux	apprendre	jamais	tant	coup	âme	théâtre	personne	vengeance	religion	nation	soir	mal	aimer	âme	objet	ciel	nouveau	guerre
12	donner	château	apprendre	jouer	moment	encore	là	branler	donner	pauvre	cœur	toujours	moins	voilà	voir	mot	heureux	genre	oncle	fureur	corps	reine	entrer	mieux	goût	ciel	toujours	curé	cependant	épée
13	famille	reprendre	point	table	puis	connaître	rocher	baiser	tête	vendre	bonheur	seul	part	fort	grand	apercevoir	beauté	génie	main	affreux	donner	empire	porte	bon	jeune	dernier	âme	moine	coup	donner
14	mariage	heure	donner	blanc	aimer	âme	air	beau	pain	somme	sentiment	moyen	laisser	mieux	amour	paraître	jour	français	chère	dieu	principe	monarque	demander	chose	aimable	père	encore	prière	fort	armée
15	beau	dame	doute	paraître	donner	craindre	couvrir	fesse	chien	livre	toujours	plaisir	attendre	penser	penser	écrier	encore	lecture	parler	vie	peuple	guerre	partir	âge	assez	œil	éprouver	monde	grand	tête
16	jour	moment	secret	charmant	amitié	passion	pied	voir	pied	jour	passion	homme	recevoir	comment	façon	sortir	bonheur	talent	fille	sauver	âme	ministre	lendemain	seul	donner	encore	sembler	couvent	déjà	défendre
17	aimer	connaître	revenir	cheveu	grand	sentir	nature	joli	coup	famille	état	chose	ordre	reprendre	toujours	entrer	feu	temps	assurer	main	mal	empereur	voir	grand	joli	ami	seul	dévot	part	officier
18	mari	recevoir	nom	figure	toujours	vertu	élever	femme	jour	petit	principe	agir	long	ici	flatter	frapper	main	siècle	donner	venger	seul	gloire	attendre	connaître	société	seul	doux	révérend	chère	suivre
19	petit	mot	enfant	danser	chose	oser	loin	homme	voilà	terre	donner	foi|fois	lorsqu	mot	craindre	pied	nouveau	goût	mariage	coup	ordre	loi	matin	raison	croire	malheur	esprit	juif	bientôt	combattre
20	parent|parents	main	seul	couleur	lire	amant	petit	enculer	vieux	affaire	servir	alors	effet	point	beaucoup	ouvrir	sembler	parler	apprendre	horrible	grand	fil|fils	revenir	sentir	amour	bras	souvent	prier	moins	courage
21	épouser	paraître	baron	placer	penser	amitié	vaisseau	libertin	fort	honnête	vertueux	jour	connaître	tenir	aimer	cri	jeune	beau	permettre	malheur	sen|sens	droit	voiture	besoin	ami	moment	œil	pieux	mettre	jeune
22	maison	portail	voilà	musique	hier	lettre	oiseau	foi|fois	pauvre	travail	nature	imaginer	occasion	moins	douter	moment	dieu	vérité	écrire	œil	lumière	royaume	laisser	état	air	héler	occuper	foi	suite	brave
23	marier	beau	vieillard	servir	temps	heureux	forêt	coup	gros	mettre	élever	état	dessein	puis	taciturne	côté	baiser	nom	époux	scélérat	exister	patrie	lit	ainsi	ridicule	dieu	passer	homme	comment	corps
