	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
14	nom	fureur	passer	eusèbe	divinité	pardonner	état	heure	tirer	bras	crime	prier	descendre	parole	tendre	beau	entendre	là	parent|parents	côté	vue	ciel	campagne	donner	marquis	bois	ville	temps	flatter	danser	passion	bon	étude	personne	main	aimer	raison	chose	impression	esprit	genre	jeune	bon	voilà	figure	paix	écu	chirurgien	arriver	reine	chère	mettre	parler	mœurs	âme	encore	moment	voir	tomber	donner
15	parler	dieu	sentir	répondre	milieu	foi|fois	besoin	maintenant	grand	saisir	moins	prêtre	passer	demander	âme	baiser	st	fille	main	passer	passer	œil	habitant	maison	paraître	encore	roi	partir	façon	danse	tendresse	puis	art	arriver	charmant	penser	vrai	citoyen	vif	beau	temps	donner	soin	fille	habit	loi	bon	donner	rivage	reprendre	billet	nom	confiance	amour	vrai	souper	assez	partie	pied	chère
16	paternel	affreux	goûter	tuer	main	peine	raison	écrier	gens	bruit	placer	point	mettre	moment	bonté	enculer	amitié	mari	jamais	route	jour	sein	village	petit	voir	jardin	brave	devenir	tant	actrice	toujours	jour	élève	paraître	désir	mieux	mieux	particulier	moins	plaire	lecture	amant	maman	objet	côté	droit	gens	temps	homme	esclave	donner	ambition	doute	sage	grand	apporter	déjà	espèce	laisser	malheureux
17	embrasser	sauver	jamais	cher	paraître	oublier	donner	moment	ami	encore	homme	religieuse	revenir	écrier	offrir	femme	sentiment	voilà	décider	élever	occasion	désespoir	année	ouvrir	idée	donner	camp	cependant	voir	italien	sentir	toujours	petit	fille	volupté	comment	monde	force	mouvement	parler	point	assez	aimer	femme	joli	reine	gagner	soin	passer	oie	hier	naissance	avouer	sagesse	nature	morceau	foi|fois	graine	mot	sentir
18	âge	justice	félicité	dieu	foule	sentir	bon	mari	bas	mort	saint	dévot	là	entrer	intérêt	joli	beaucoup	mettre	engager	grand	effet	encore	vivre	laisser	donner	chercher	attaquer	héler	beaucoup	goût	parler	ainsi	grand	abbé	grâce	moins	ailleurs	liberté	pensée	jour	beau	caractère	jamais	amour	portrait	gloire	perdre	arriver	barque	génie	heure	élever	conduite	exemple	divinité	là	part	différent	presser	personne
19	cœur	barbare	vivre	docteur	sacré	tant	laisser	point	haut	bientôt	toujours	jeune	demander	silence	croire	homme	cependant	dieu	riche	ici	employer	seul	homme	dormir	mouvement	air	victoire	apprendre	craindre	jeu	puis	enfant	nature	connaître	délicieux	laisser	vérité	donner	encore	bon	lire|liser	moins	âge	williams	porter	royaume	moi|mois	porter	voir	temps	remettre	noble	tromper	crime	croire	appétit	mot	produire	tendre	bon
20	mourir	criminel	long	vivre	air	plaindre	gens	connaître	entendre	terrible	agir	chapelle	lieue	seul	mériter	foi|fois	esprit	nièce	jour	apercevoir	dessein	héler	cultiver	lever	sentir	rose	bataille	lieu	inspirer	opéra	cruel	francisque	commencer	nom	nature	tenir	penser	raison	moment	aimer	aujourd	jaloux	grand	personne	robe	sang	maison	passer	turc	souverain	mère	servir	jamais	honnête	corps	verre	monseigneur	chose	lever	reconnaître
21	demander	supplice	peine	ville	char	toujours	rester	château	comment	pousser	offrir	cellule	femme	asseoir	seul	gros	femme	mère	promettre	nature	servir	affreux	point	femme	toucher	dieu	cheval	fuir	effet	comédien	tendre	frère	usage	bon	baiser	ici	beau	général	effet	fort	lecteur	société	parent|parents	créature	paraître	ennemi	encore	remède	jour	maître	aimer	titre	nom	faible	erreur	déjeuner	baiser	machine	quitter	reprendre
22	vieux	victime	nouveau	comment	gloire	puis	tant	jeune	chose	porte	créature	frère	attendre	alors	tant	cuisse	vie	parler	unir	petit	part	femme	champ	rester	esprit	plaisir	tête	danger	sentiment	là	objet	point	maître	chambre	bouche	reprendre	mauvais	action	inspirer	grand	tableau	connaître	mettre	nouveau	tableau	état	cent	sang	partir	grue	temps	vivre	instruire	respecter	seul	grand	tour	génie	serrer	œil
23	vertueux	juge	souvent	prêtre	mortel	mériter	peine	permettre	laisser	chercher	impossible	ange	poste	écouter	soin	jeune	temps	père	honneur	jardin	parti	pleurer	utile	lendemain	jamais	entendre	défendre	laisser	désirer	encore	heureux	infortuné	jamais	entrer	trait	monde	autant	espèce	toujours	assez	goût	vivre	demander	père	servir	empereur	honnête	revenir	temps	donner	ici	noblesse	assurer	vérité	saint	cuisine	suite	grand	tenir	apercevoir
24	maison	innocent	désir	gens	feu	moment	penser	commandeur	pauvre	apercevoir	près	pieux	auberge	foi|fois	bienfait	téton	peine	aîné	union	arriver	recevoir	pleur|pleurs	donner	attendre	temps	philis	coup	malheureux	sembler	son	oser	moment	propre	passer	sembler	donner	voir	naître	réflexion	donner	hui	aimable	devenir	assez	taille	chef	recevoir	souffrir	voyage	penser	dernier	qualité	effet	pur	univers	faim	bientôt	temps	visage	croire
25	jamais	scélérat	joie	monseigneur	voix	craindre	chose	jasmin	messieurs	alors	pourtant	capucin	coup	instant	grâce	garçon	cher	donner	sort	soleil	peine	cruel	vieillard	appartement	écrire	asseoir	point	arriver	douter	plaisir	encore	près	bon	ville	vif	mal	foi|fois	intérêt	seul	amuser	parler	ridicule	personne	mot	couvrir	régner	bourse	encore	flot	vizir	moi|mois	gloire	passer	jamais	donner	bête	coup	humain	joie	conduire
26	connaître	horrible	cher	pendre	adorer	perdre	ainsi	joli	crier	autour	moyen	religion	ville	regard	inspirer	évêque	parent|parents	jour	proposer	traverser	suivre	laisser	nourrir	encore	montrer	soleil	ordre	paraître	long	instrument	craindre	effet	naître	lendemain	bras	fort	souvent	opinion	alors	charmant	français	mettre	famille	sentiment	bas	conseil	nouveau	docteur	grand	sire	grand	gens	intérêt	force	divin	bouteille	doute	être|êtres	donner	doute
27	encore	innocence	éprouver	cave	couvrir	permettre	lieu	répondre	mieux	œil	jouir	ciel	reconnaître	interrompre	point	coup	maison	grand	hymen	marcher	déjà	dieu	besoin	fermer	éloigner	prairie	porter	éloigner	égard	musicien	moins	docteur	suivre	beaucoup	animer	assez	sujet	nécessaire	penser	souper	lettre	maître|maîtresse	élever	hâter	donner	gouvernement	riche	connaissance	matelot	lorsqu	désirer	orgueil	confier	laisser	idée	fort	surtout	étendre	pleurer	amant
28	ainsi	prison	tendre	espagnol	divin	droit	connaître	reprendre	voir	écrier	état	messe	chaise	tête	respect	bander	occuper	pauvre	temps	vue	seul	perdre	voisin	arriver	douceur	suivre	chef	abandonner	combien	opérer	cher	pauvre	talent	servir	aimable	toujours	mal	préjugé	trait	manière	ancien	honnête	vivre	attacher	gros	palais	rester	accident	mettre	écrier	demain	connaître	soupçon	point	chose	chien	près	physique	toujours	gens
29	tendresse	odieux	seul	parler	fête	mal	servir	répéter	jouer	crier	chose	dévotion	pied	apercevoir	personne	voir	chercher	croire	neveu	endroit	cependant	arracher	pain	point	penser	chant	officier	cruel	toujours	nouveau	œil	chaumière	élever	nouveau	nouveau	tant	cependant	devenir	jamais	jouer	philosophe	âge	pleurer	retirer	encore	indien	pauvre	effet	pacha	majesté	croire	faveur	demander	donner	loi	remplir	lecteur	univers	mettre	monde
30	respectable	infâme	objet	cent	annoncer	pardon	propre	beau	croire	élancer	jeune	demander	courir	temps	permettre	langue	passer	encore	vie	plaine	autant	époux	nombre	revenir	soin	branche	suivre	mal	idée	chant	amitié	époux	connaître	apprendre	âme	jamais	gens	détruire	état	temps	peindre	souvent	garçon	courir	air	inca	remettre	douleur	tempête	autruche	cœur	ministre	ajouter	honte	exister	plat	faveur	comment	voix	beaucoup
31	jeunesse	rage	désirer	jésuite	environner	combien	porter	interrompre	hôte|hôtesse	milieu	bientôt	entrer	maison	oser	vie	sucer	idée	jeune	refuser	milieu	demander	sort	payer	moment	engager	vieillard	courage	instant	propre	chanson	oublier	penser	instruire	vivre	lèvre	connaître	effet	faible	apercevoir	agréable	poète	jalousie	mourir	cher	tour	puissance	compter	blessure	aborder	air	parler	vanité	mystère	corrompre	éternel	vieux	heure	assez	pleur|pleurs	comment
32	voilà	commettre	souvenir	mettre	lumière	là	soin	comment	beau	perdre	encore	bon	donner	croire	service	donner	heureux	regarder	nièce	tour	tenir	tombeau	ouvrier	jardin	cacher	peine	recevoir	crainte	grand	auteur	rival	jamais	utile	donner	déjà	vrai	donner	idée	sen|sens	passer	nom	tête	monde	regard	rouge	zèle	demander	presque	compagnon	eunuque	soir	éclat	alors	craindre	éclairer	feu	saint	germe	sein	habit
33	histoire	ciel	quelquefois	âme	joie	donner	encore	ici	propos	tour	permettre	autel	rencontrer	ton	générosité	vivre	laisser	chose	jeune	haut	retirer	déchirer	fournir	grand	sentiment	amant	honneur	courage	permettre	public	aveu	seul	naturel	honnête	caresse	beau	tant	état	devenir	chose	portrait	grâce	tendresse	fortune	manière	province	charger	voir	eau	répliquer	amitié	place	seul	œil	prouver	liqueur	lors	nombre	dieu	cependant
34	digne	perfide	quitter	vieux	là	coupable	ici	songer	enfant	effrayer	foi|fois	évêque	voyage	suivre	vif	puis	intérêt	aimable	devenir	désert	long	abandonner	moins	cabinet	triste	déjà	grand	déjà	sentir	voir	foi|fois	vieux	point	sortir	transport	pourtant	exemple	établir	sensibilité	toujours	tant	beaucoup	alors	laisser	visage	esclave	ressource	grand	bâtiment	conte	toujours	acquérir	soupçonner	propre	sen|sens	mets	pourtant	infini	cri	enfermer
35	apprendre	oser	devenir	saint	descendre	avouer	vrai	ailleurs	foi|fois	sembler	arriver	abbaye	château	long	estimer	main	campagne	cœur	projet	pays	état	pitié	malheureux	sommeil	plaindre	village	vainqueur	sort	mettre	français	tromper	secret	exemple	vieux	ardeur	vérité	convenir	effet	sorte	dîner	public	conduite	moi|mois	attendre	jambe	héro|héros	papier	rétablir	isle	saintré	sûr	devenir	histoire	dangereux	suprême	heure	ailleurs	encore	reprendre	nouveau
36	parent|parents	périr	charme	tête	nuage	pourquoi	changer	assurer	sot	lumière	ci	sortir	marcher	approcher	action	trou	souvent	famille	exiger	sauvage	refuser	triste	misère	souper	assurer	porter	main	oser	cependant	dorine	charme	personne	connaissance	présenter	instant	déjà	assez	moyen	rappeler	humeur	talent	encore	année	toujours	rose	pays	rente	moment	reconnaître	paraître	passer	dignité	détail	imposer	preuve	beaucoup	comte	ordre	précipiter	abord
37	entendre	condamner	moment	jamais	profond	reproche	perdre	couvent	gros	terre	tenir	passer	bois	encore	désirer	libertin	fort	joli	permettre	paraître	offrir	moment	petit	fenêtre	exciter	bouquet	valeur	loin	laisser	genre	pourquoi	perdre	déjà	honneur	bientôt	présent	sûr	naturel	souvenir	occuper	style	bon	parler	société	voilà	nouveau	ruiner	beaucoup	nation	écuyer	mander	souvent	récit	loi	existence	fin	tant	nouveau	instant	champ
38	appeler	coup	remplir	sage	cieux	doute	foi|fois	adélaïde	jeter	effort	laisser	ingénu	entrer	continuer	attachement	ange	plaisir	tenir	laisser	voyageur	manquer	peine	fruit	demain	peine	loin	vaincre	ciel	ignorer	violon	raison	ignorer	objet	assez	air	doute	ainsi	moral	situation	ton	volume	passion	éducation	répéter	forme	répandre	considérable	danger	charger	continuer	matin	emploi	garder	penchant	juste	espèce	neveu	pourquoi	foi|fois	bientôt
39	ciel	encore	foi|fois	chapitre	sembler	ici	ôter	grand	tant	fer	doute	monde	côté	ajouter	respectable	duclos	quelquefois	toujours	parti	château	perdre	soupir	laboureur	journée	chère	là	gloire	rester	doute	danseur	plaindre	apprendre	enfance	partir	enchanteur	raison	presque	agir	profond	gens	œuvre	rival	naître	quitter	peintre	maître	fond|fonds	corps	aumônier	délier	rester	grandeur	part	erreur	sage	pauvre	nouveau	lune	jamais	prison
40	dieu	mourir	sentiment	chapitrer	vaste	point	souffrir	reconnaître	ici	précipiter	exiger	vie	domestique	porte	doux	fouetter	personne	tant	droit	offrir	liberté	souffrir	ouvrage	rentrer	comment	fuir	corps	suivre	chercher	représentation	moment	maison	vie	parler	laisser	mettre	contraire	nation	fixer	bal	savant	perdre	sœur	sorte	salon	citoyen	cinquante	secours	marchand	ajouter	petit	vertu	moi|mois	monde	dogme	café	travers	substance	revenir	voilà
41	œil	accuser	connaître	demander	régner	devenir	assez	retenir	puis	côté	convaincre	prieur	temps	peine	aimable	vieux	paraître	montrer	état	vaste	craindre	couler	agriculture	retirer	jenny	regarder	jour	inquiétude	vanité	air	haïr	attendre	science	quitter	sein	prier	juger	politique	trouble	gaieté	nombre	coquetterie	nourrice	domestique	doigt	règne	prix	tête	bateau	dindon	présent	propre	douter	caractère	livre	chaud	galant	art	transport	auprès
42	porter	entendre	occuper	pied	jour	attendre	juger	hôtel	temps	air	ami	gardien	nuit	prononcer	nom	décharge	grand	mariage	engagement	habiter	promettre	expirer	abondance	descendre	vif	gazon	commander	espoir	raison	salle	serment	retirer	encore	prier	jour	beaucoup	persuader	république	produire	société	ver|vers	vanité	vie	aimer	ruban	autorité	dépense	croire	porter	mettre	papier	avantage	vérité	perdre	principe	nourriture	bout	sen|sens	courir	côté
43	chérir	malheur	délicieux	ariste	beau	souffrir	agir	orgeval	garçon	nuit	scélérat	cloître	village	arrêter	autant	derrière	donner	embrasser	obtenir	nuit	engager	horreur	prix	ouvrer|ouvrir	croire	bientôt	héro|héros	nuit	prouver	oreille	assez	quitter	travail	service	sourire	attendre	manière	moins	image	jamais	sujet	amoureux	nom	visite	porte	gouverner	envoyer	violent	coup	gakou	chevalier	personne	temps	éclairer	matière	foi|fois	manquer	vaste	arriver	apprendre
44	partir	furieux	douceur	appeler	respect	temps	autant	honneur	point	sentir	sûr	habit	bras	ici	ajouter	chier	jamais	arriver	vœu	sommet	proposer	accabler	occuper	clef	porter	ruisseau	prince	bientôt	ailleurs	spectateur	mériter	nouveau	souvent	officier	léger	revenir	voilà	semblable	caractère	figure	célèbre	beauté	appeler	appartement	peau	couronne	marchand	nouveau	périr	ogier	jamais	mériter	aveu	conduite	connaître	estomac	chère	autour	parole	colonel
45	bientôt	mériter	perdre	animal	céleste	reprocher	maître	habit	mal	mur	réussir	jour	cocher	frapper	fortune	soir	aujourd	porter	mari	conduire	nécessaire	consolation	vie	endormir	conduite	point	jeune	affreux	jamais	concert	digne	projet	expérience	temps	rose	mot	seulement	libre	instant	sérieux	bon	délicatesse	marier	absolument	fleur	exemple	foi|fois	sentir	danger	barmécide	attendre	luxe	lorsqu	faux	auteur	ensuite	heureux	là	regarder	ici
46	écouter	infortuné	monde	bout	empire	malheur	comment	figure	chien	porter	soin	ordre	rue	rester	paraître	doigt	bon	présent	convenir	ruisseau	soin	épouse	beaucoup	réveiller	permettre	toujours	blessure	désespoir	plaire	applaudir	perdre	femme	instruction	gens	soupir	tromper	prouver	système	cependant	cependant	langue	ami	chère	malheureux	fort	politique	bijou	long	gouverneur	émir	départ	droit	comment	remords	autorité	lait	prélat	lieu	couler	pareil
47	perdre	vil	jouissance	bœuf	front	déjà	grand	demain	histoire	affreux	répondre	office	champ	coup	malheur	bougre	arranger	marier	vivre	lieue	prévenir	nom	luxe	éveiller	objet	fruit	mettre	foi|fois	forcer	art	sacrifice	parler	beaucoup	air	briller	peine	connaître	partie	grand	fête	chapitre	aventure	naissance	assurément	bras	tyran	laisser	vivre	naufrage	schah	songer	moins	preuve	droit	terre	excellent	agir	forme	ciel	déjà
48	suite	point	beau	anglais	couronner	rester	monde	revenir	taire	étendre	affreux	abbé	terre	vivre	parler	ainsi	bonheur	maman	consentement	sentier	propre	infortune	temps	apercevoir	plaisir	chien	place	chercher	plaisir	romance	penser	étranger	exercer	nommer	sen|sens	regarder	passer	être|êtres	occuper	souvent	titre	toujours	nourrir	permettre	bleu	nom	état	perdre	envoyer	partie	charmant	mépris	question	préjugé	encore	coucher	pied	espace	sentir	levrette
49	mot	fer	sembler	seigneur	nouveau	réparer	force	vif	ton	ouvrir	maintenant	piété	retourner	cependant	présent	putain	lettre	dame	dernier	loin	assurer	rester	exemple	bras	souvenir	heureux	lance	attendre	crainte	beau	inspirer	rencontrer	corps	retirer	ivresse	temps	absolument	là	souvent	goût	anglais	propos	embrasser	sargines	examiner	ambition	billet	apprendre	navire	suivre	arriver	monde	confidence	courage	peuple	avaler	comment	quantité	saisir	cardinal
