	id	Ranked topics
0	Abbes_Voyage	[(0.162215490908503, 20), (0.0641198985536369, 1), (0.0573305306784023, 4), (0.0571107221485111, 6), (0.0469357407627485, 13), (0.0442406132421588, 10), (0.0433149516336549, 32), (0.0428550745629221, 28), (0.0411867829679844, 23), (0.0376262274406899, 5)]
1	AndreSerieys_Comte	[(0.096773504925299, 0), (0.0597867539942143, 6), (0.0564835417279626, 18), (0.0510461002004577, 16), (0.0406853932689983, 37), (0.0375539926834803, 32), (0.0367740777358539, 38), (0.0366857421302836, 27), (0.0364531470720555, 12), (0.0364470096271701, 28)]
2	Anonym_Enfant	[(0.0851536185057717, 16), (0.082756923279482, 30), (0.0683479270004173, 11), (0.0640616464472859, 38), (0.0559667682882326, 5), (0.0498253571676253, 33), (0.0487371525898073, 15), (0.0438183224548035, 6), (0.0393251058607552, 22), (0.034451577437603, 10)]
3	Anonym_Histoire	[(0.1389531842497501, 31), (0.0710677987264389, 18), (0.0609967665590488, 0), (0.0435031536145047, 6), (0.0425684129545279, 4), (0.0404002833575613, 24), (0.0389725230982176, 23), (0.0355187762224343, 17), (0.0353678605356305, 32), (0.034422806121413, 36)]
4	Anonym_Suzon	[(0.0713681895792234, 6), (0.0654946445723179, 18), (0.0508631524128619, 16), (0.0471652044480269, 30), (0.0436912812461872, 24), (0.0421037482830925, 36), (0.0419466644352562, 12), (0.0408099739141361, 23), (0.0384052798204058, 15), (0.0352888391959125, 10)]
5	Anonyme_Venus	[(0.0954909215866587, 22), (0.0781818710857454, 16), (0.0700644934317804, 30), (0.0611123681201401, 10), (0.0536367730760877, 15), (0.0506920455311051, 23), (0.0442458879710339, 5), (0.0422061202098278, 36), (0.0389088959965584, 38), (0.0380155662373581, 11)]
6	Anonyme_Zoloe	[(0.1173907638718467, 22), (0.0670442140445859, 5), (0.0496627607692601, 23), (0.044925102026864, 11), (0.0419732847226458, 21), (0.0414666488741937, 20), (0.0401105074215705, 15), (0.0381072794135556, 33), (0.0356210973306318, 1), (0.030750630620663, 13)]
7	Arnaud_Adelson	[(0.1653272024006556, 29), (0.1036699738264364, 7), (0.075142890287532, 35), (0.0736848200912636, 15), (0.0719783370920452, 21), (0.0606535551577118, 11), (0.0488870103903875, 1), (0.0441496137313001, 13), (0.0332986603489864, 38), (0.0328537460076281, 26)]
8	Arnaud_Anne	[(0.2191506220263252, 29), (0.1002354216081368, 17), (0.084185583677941, 35), (0.0710540797361389, 11), (0.0649117920263184, 3), (0.0609539515551383, 7), (0.0533846145540499, 15), (0.0419638715155709, 21), (0.0291035233343008, 18), (0.0274112408300176, 6)]
9	Arnaud_Bal	[(0.1626758124207238, 15), (0.1039665065777619, 35), (0.0855670692079368, 23), (0.0621522283597225, 29), (0.0559314994508305, 13), (0.0511773906193461, 11), (0.0433527694278667, 10), (0.0402747502045981, 16), (0.0293812863381508, 18), (0.0282852745297238, 1)]
10	Arnaud_Batilde	[(0.1728306306508402, 35), (0.1661642453562032, 29), (0.0760911528676243, 15), (0.0689782945495365, 39), (0.0651526020287161, 11), (0.052022580191764, 17), (0.0468721075251866, 1), (0.0421231818734734, 18), (0.039225680811444, 13), (0.0361579459825006, 32)]
