	id	Ranked topics
0	Abbes_Voyage	[(0.1655381035469418, 9), (0.080437341418206, 14), (0.0699658758041207, 35), (0.0597919579361729, 0), (0.0525986889691754, 15), (0.0500578744890159, 24), (0.0495348233022923, 25), (0.0409124583226434, 13), (0.034900453745326, 3), (0.0328804731989117, 34)]
1	AndreSerieys_Comte	[(0.1045519389282362, 6), (0.09111059282787, 34), (0.0687665283157821, 13), (0.0581215413383899, 31), (0.0467116583181376, 7), (0.0387585861689945, 19), (0.0379734527278873, 15), (0.0369638574953058, 3), (0.0338102540119584, 30), (0.0294372785829822, 33)]
2	Anonym_Enfant	[(0.1115354334859506, 24), (0.0978339791344634, 31), (0.0674722181590331, 23), (0.0638196150717641, 7), (0.0560210652530217, 34), (0.0484785744357876, 22), (0.0396062851735084, 19), (0.039289953931636, 39), (0.0383259336844897, 15), (0.0323477484948281, 35)]
3	Anonym_Histoire	[(0.1214432606140474, 8), (0.0962320994118345, 34), (0.0689648626901807, 13), (0.0559457882878506, 3), (0.0508699761842578, 18), (0.0479998792008418, 25), (0.0398433316899988, 32), (0.0355283628436115, 10), (0.0339836111123186, 26), (0.0339083970844456, 35)]
4	Anonym_Suzon	[(0.0897440644226088, 34), (0.0613899245966694, 25), (0.0599557409560658, 31), (0.0541077821077399, 35), (0.048198541539595, 10), (0.0386364600737894, 23), (0.0365343249744728, 5), (0.0364885653503777, 14), (0.0346888407951547, 24), (0.0325649418658656, 7)]
5	Anonyme_Venus	[(0.1174454373577486, 22), (0.0926985625337755, 31), (0.0645012009297975, 23), (0.0594621887271815, 35), (0.0538998905595825, 24), (0.0498587113573632, 5), (0.0484535986327941, 39), (0.0477629268267006, 14), (0.0361203481422418, 7), (0.0342034888738159, 28)]
6	Anonyme_Zoloe	[(0.1292162613038614, 22), (0.0732116216869886, 19), (0.0561588800981939, 35), (0.0540499751175856, 16), (0.0480745257546095, 0), (0.0395299829112289, 24), (0.0395015603248551, 15), (0.0360595085253802, 36), (0.0358860228401141, 32), (0.0344213276886833, 39)]
7	Arnaud_Adelson	[(0.248565126779944, 20), (0.0891175628170698, 12), (0.0802717146538832, 36), (0.0800590006180982, 39), (0.057244970731463, 19), (0.0513970107808847, 34), (0.0447878691931554, 15), (0.0435335258834807, 0), (0.0379869604815386, 26), (0.0345009043571197, 30)]
8	Arnaud_Anne	[(0.328504458616159, 20), (0.0721323296938046, 1), (0.0600130554792066, 32), (0.0570471351435133, 12), (0.0533359535267088, 30), (0.0525541860737206, 36), (0.0513369418384701, 26), (0.0468984069363571, 39), (0.0313754531148659, 0), (0.0294783902085862, 19)]
9	Arnaud_Bal	[(0.196601816099502, 39), (0.1197469463636481, 20), (0.0986915984724432, 35), (0.05559471914999, 15), (0.0497026861704728, 10), (0.0409755222128583, 31), (0.0409232752571658, 14), (0.034919336217181, 26), (0.0343352489338829, 32), (0.029562428533463, 34)]
10	Arnaud_Batilde	[(0.2755069884378753, 20), (0.1195274975810471, 39), (0.118434807544347, 26), (0.1011454959694457, 4), (0.0469539103418175, 15), (0.0462620234576035, 30), (0.041176671928133, 34), (0.0322044967361822, 32), (0.0300398179304024, 0), (0.0226872657197443, 19)]
11	Arnaud_Clary	[(0.23236133862597, 20), (0.1046669116578417, 26), (0.0524348875932016, 32), (0.0492694858538362, 36), (0.0467420444741366, 0), (0.0445221841811665, 12), (0.0444930028345334, 39), (0.0434140516954248, 30), (0.0404193607055433, 15), (0.0397431146344305, 1)]
12	Arnaud_Epoux	[(0.2948262397293221, 20), (0.0894134969614003, 39), (0.0718126196939808, 26), (0.0712999585676743, 30), (0.0563710018567605, 34), (0.0468389641145892, 32), (0.0405022878111212, 36), (0.0350904340639763, 15), (0.0341751234213454, 0), (0.0340177863635539, 1)]
13	Arnaud_Fanny	[(0.2650395454895998, 20), (0.0848086105636862, 12), (0.070890671931826, 36), (0.068266430611567, 26), (0.0633509025924822, 1), (0.0532350389066963, 39), (0.0488853817130073, 32), (0.0310986524732195, 35), (0.0273659413559329, 15), (0.0253653108950578, 14)]
14	Arnaud_Julie	[(0.2381290733029421, 20), (0.1099607478536879, 26), (0.0872135387676997, 35), (0.0495936581780761, 32), (0.0492447442287356, 0), (0.0487475160127999, 1), (0.0366737659626797, 15), (0.0343793029952565, 36), (0.0330633644251376, 19), (0.0320091090456872, 34)]
15	Arnaud_Lucie	[(0.3942275396921551, 20), (0.1070225570712706, 39), (0.0737048602324506, 30), (0.0689165741175302, 26), (0.0661524857752541, 1), (0.0297248147096005, 29), (0.0263988352113461, 34), (0.0253901610350897, 36), (0.0230906594006653, 15), (0.0228799888818924, 0)]
16	Arnaud_Matinees	[(0.2456442699809803, 20), (0.1166305056194044, 12), (0.0793041870019363, 26), (0.0645399014959385, 34), (0.0641085311064342, 32), (0.0505634740840276, 39), (0.0314901413550203, 15), (0.0305695831024791, 0), (0.029604030922516, 10), (0.0286055133570608, 35)]
17	Arnaud_Nancy	[(0.2266595283932785, 20), (0.0768204817824578, 26), (0.0711328141017036, 34), (0.0649855804294722, 35), (0.0622941182922624, 1), (0.0466135960725712, 36), (0.0439428320426562, 39), (0.0425803428155181, 15), (0.0341182043614718, 19), (0.0328864956759509, 12)]
