	id	author	decade	gender	narration	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
0	Abbes_Voyage	Abbes	1750s	M	autodiegetic	0.05979195793617292	0.00226506363110125	0.0065539831211970665	0.03490045374532607	0.004897567091225317	0.014857868573894635	0.024212439141614	0.007176811342191934	0.00162443541925235	0.16553810354694184	0.00026894345749818333	0.0016873620240003332	0.0009749452968720001	0.04091245832264342	0.08043734141820601	0.05259868896917549	0.03201415201746715	0.005948466501121617	0.027812561573456736	0.024241082757506697	0.007264994991045233	0.008218632238440967	0.01132940382109165	0.00505461018367045	0.05005787448901596	0.04953482330229231	0.014466185176204384	0.017176953116102532	0.023707786563869116	0.0020749664177415663	0.0209484366318714	0.013198464697750585	0.022576607809442165	0.024503442402959763	0.03288047319891175	0.06996587580412071	0.02096193402475895	0.0008045752703701835	0.004611224373831117	0.011948049599642267
1	AndreSerieys_Comte	AndreSerieys	1800s	M	autodiegetic	0.01927123178641588	0.020835454706392063	0.009804825234830826	0.03696385749530581	0.010212517577341642	0.01986911315713677	0.10455193892823623	0.04671165831813763	0.009812928381000731	0.01355919257672543	0.0035355073113690497	0.003021904282661946	0.004427878263890733	0.06876652831578219	0.027332008645459826	0.03797345272788734	0.014524843835726433	0.01333984399962287	0.012010972893507362	0.03875858616899457	0.02067800274841026	0.003754981686688059	0.018438577893001087	0.003593087314352491	0.022226973547978836	0.02568401581513266	0.013104899638126246	0.015371398235401299	0.025141399285132704	0.005953577955498311	0.03381025401195848	0.058121541338389905	0.019910678246964266	0.02943727858298228	0.09111059282787008	0.028633677348896804	0.02047011355824824	0.014746901248505855	0.01625176160480126	0.01827604250523356
2	Anonym_Enfant	Anonym	1800s	U	autodiegetic	0.03126904017589317	0.020143879903431153	0.013909800841655533	0.005352334151652522	0.0022405431919228164	0.031945138886750296	0.010482658504280134	0.06381961507176413	0.002018094524019681	0.007346015401235064	0.0019807024259812225	0.0037133462937053753	0.0024279078517911524	0.006956443008446851	0.020569164340490224	0.0383259336844897	0.03188491815564297	0.015058095006580103	0.00704444683264401	0.039606285173508414	0.016779310992102173	0.003055070542251565	0.04847857443578768	0.06747221815903315	0.11153543348595063	0.024519054258003124	0.004842053259236287	0.014611776779465305	0.025270925114501026	0.015646154692489304	0.019495091013908273	0.09783397913446343	0.012909464335662093	0.014853836179988804	0.05602106525302175	0.03234774849482812	0.012394997975167608	0.0015185504707830935	0.025030378065834104	0.039289953931636014
3	Anonym_Histoire	Anonym	1750s	U	heterodiegetic	0.018102592912346234	0.026677872848647588	0.006975251847582154	0.055945788287850656	0.011184619146401441	0.005806742601896438	0.016028545262000055	0.011416475697732647	0.12144326061404748	0.004689417206655367	0.035528362843611556	0.007856396670866773	0.005913546151914617	0.06896486269018073	0.029081081142217635	0.021963190803012036	0.007792199234808613	0.024623347352688844	0.05086997618425784	0.016324558458747782	0.014181221584366226	0.0009031424464863929	0.00602613114507674	0.0009033861246587206	0.017885461707914104	0.04799987920084186	0.03398361111231867	0.007971594345015369	0.016712921408041762	0.0016965518895587955	0.025323412620637253	0.018925977181926193	0.03984333168999887	0.017185654375215895	0.09623209941183454	0.03390839708444568	0.017279487628477922	0.023692383607637334	0.011751576674646113	0.020405690803433178
4	Anonym_Suzon	Anonym	1770s	U	autodiegetic	0.02814293398558808	0.024365352134437485	0.005088433154970697	0.018504831365962298	0.0014543965979729994	0.036534324974472863	0.023375059120389008	0.0325649418658656	0.003824126949483041	0.025949801417604945	0.04819854153959509	0.005099596987879875	0.0039591702040734965	0.010310708988566867	0.036488565350377755	0.026695410974793995	0.01309230342605574	0.02544909741757203	0.015336443905445052	0.021129080249053505	0.01420062545934859	0.0014090374612129293	0.030453981767154376	0.038636460073789465	0.034688840795154774	0.06138992459666944	0.018237833572697048	0.0054923685839490454	0.01932787341919133	0.0039851531007160795	0.02863193185753165	0.05995574095606587	0.03157047969406219	0.023053729620143064	0.08974406442260884	0.05410778210773996	0.011030973354607593	0.010118390709284455	0.027604754912244997	0.030796932925665915
5	Anonyme_Venus	Anonyme	1780s	U	autodiegetic	0.02719828298345933	0.00540579627732626	0.0056759450078396655	0.008569821278257787	0.005818617688132261	0.04985871135736328	0.010682056995776566	0.03612034814224189	0.0011772754314563639	0.025484911417899506	0.0007795113547850333	0.002053133346321223	0.0052681217842379365	0.009948640842092623	0.04776292682670062	0.017697488009249165	0.028334616588144682	0.009032516703586489	0.014427523898788066	0.020947716338840412	0.01117431369282589	0.00594316818011846	0.11744543735774868	0.06450120092979755	0.053899890559582525	0.03402203015773968	0.014660833141491641	0.015263532694451167	0.0342034888738159	0.010091523774676954	0.013455437214196477	0.09269856253377551	0.023615364308151816	0.017514675536967488	0.03357681674358177	0.05946218872718153	0.0035665381100576134	0.009110347335741275	0.005097089222802824	0.048453598632794165
6	Anonyme_Zoloe	Anonyme	1800s	U	heterodiegetic	0.04807452575460959	0.004908046762561845	0.011150561361990151	0.029479032976544323	0.01277647669226192	0.013208326849416639	0.017862075844957182	0.0179730606239357	0.0019601679056959333	0.030994493570180692	0.0009137538870798831	0.003411278240944722	0.02520366869136701	0.01764767705988698	0.026467883780901726	0.03950156032485512	0.05404997511758563	0.007647982527831211	0.023052449537062505	0.0732116216869886	0.021404098027432553	0.0016602481214477445	0.12921626130386143	0.0034664080176304286	0.03952998291122895	0.006846614336750901	0.022408347354632496	0.004467079388432483	0.030287290773263902	0.021471455618776142	0.009779775326268933	0.027418361112025273	0.035886022840114155	0.016239371167734593	0.029271359881566896	0.05615888009819398	0.036059508525380285	0.009443417480951182	0.005069570828965033	0.03442132768868337
7	Arnaud_Adelson	Arnaud	1770s	M	heterodiegetic	0.04353352588348073	0.017029630374557854	0.006118687383749389	0.010161476502664767	0.0031330148455926345	0.006319451733649538	0.0019091128908357191	0.026120769341782882	0.0021439926403089733	0.009562245208405838	0.00123201532168845	0.0015730840083374115	0.08911756281706988	0.0034733195722015065	0.02061652961501602	0.04478786919315548	0.009726054227130085	0.012928367359756871	0.004184300411254031	0.057244970731463035	0.24856512677994408	0.002744944126534166	0.0023386613028813343	0.0002313384109061538	0.002549006662632235	0.01238780297899651	0.03798696048153869	0.017782572197645348	0.008438298522078745	0.0007486254638629267	0.03450090435711979	0.014318143954101113	0.019298311763510597	0.0012062889386927	0.05139701078088473	0.010341214661704325	0.08027171465388325	0.002409666105028311	0.0015084271778537423	0.08005900061809824
8	Arnaud_Anne	Arnaud	1770s	M	heterodiegetic	0.031375453114865975	0.0721323296938046	0.0053471529078093155	0.004861431947089805	0.003348552945859753	0.002637854574413253	0.0018184866194585316	0.010437401112449462	0.004459545664472622	0.008072873807135441	0.005432326239768321	0.002006377336876263	0.057047135143513394	0.004203938182509695	0.011715306702346035	0.023282269204416044	0.0074476375419280545	0.010014566757128205	0.007171455642415847	0.029478390208586214	0.32850445861615907	0.0007449754858269949	0.0021968835480872004	0.00013176958917209997	0.002651808542190373	0.0181977371902782	0.05133694183847016	0.011864018772524262	0.008842222589304932	0.0007775295724080103	0.053335953526708856	0.005357124983185374	0.06001305547920661	0.007643105754203569	0.02698996297328675	0.018479006564183966	0.052554186073720664	0.0005813974631019948	0.0006089691547750893	0.04689840693635713
9	Arnaud_Bal	Arnaud	1750s	M	homodiegetic	0.0261722212183405	0.010806978463319088	0.0032491462421444994	0.0027833113432754277	0.01143149602555049	0.019546822870968504	0.01580608851669936	0.013054464343544778	0.0014720150575385279	0.009977369441906936	0.049702686170472875	0.003925790528170956	0.0024320803247562996	0.0012897334015069058	0.04092327525716583	0.05559471914999	0.006523767712331733	0.009497142292926256	0.002006349213757661	0.010710007637144043	0.11974694636364815	0.0009328623579170832	0.018354190494933025	0.000564463581182072	0.013977548472651813	0.01235860105136732	0.03491933621718109	0.015838338779921364	0.018780480770794576	0.010302494673924254	0.021628690106841188	0.04097552221285835	0.03433524893388291	0.010324809125790545	0.029562428533463057	0.09869159847244327	0.018393404887950916	0.005870028842406007	0.0009357248098283389	0.19660181609950203
