	id	author	decade	gender	narration	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
0	Abbes_Voyage	Abbes	1750s	M	autodiegetic	0.021868920731954164	0.0020625896803320334	0.023405524760724064	0.012653952787216233	0.03312196020918368	0.0096261265728051	0.004523640643028167	0.02835778244645218	0.021282812968124346	0.04284133325407583	0.005524699758490917	0.0333339578795257	0.019276125258165664	0.017251192607784932	0.011748705881434002	0.012483094864970417	0.08088277682634326	0.02578339778487122	0.01393819306260985	0.0021946506922467667	0.0069606097539997676	0.052724356389425436	0.037951554896580704	0.0015743165635963335	0.03902334923133388	0.006144664823274799	0.02388355407662685	0.003669167157640546	0.003992141876021917	0.08328405099143467	0.0021175920050903667	0.01116279090361065	0.1607183919768621	0.0012411556527679335	0.008470891460583567	0.007108877974591983	0.0013452932322653834	0.0006123687845140833	0.06498656009905975	0.060866873480378815
1	AndreSerieys_Comte	AndreSerieys	1800s	M	autodiegetic	0.01122133875995823	0.01762002872129065	0.022947055339393913	0.013164780483308342	0.023509449740477535	0.011999417502507596	0.021536830195223827	0.030775984159586475	0.010788909021536721	0.013223163924512329	0.00910912406670065	0.04216695812185594	0.04733267635407945	0.04064080725441798	0.05987879866169041	0.011818479856175013	0.023210926811406223	0.037153301165733066	0.0538771811289472	0.0995933407856479	0.017760344765785887	0.04344595450577734	0.02113249948788502	0.004610518702930298	0.04363566228208437	0.028965998551976218	0.01067862643488666	0.0033153809206179965	0.013909675954728968	0.07334088999898529	0.0023148638149588147	0.012097434043928287	0.014004342692969959	0.01320322970885287	0.020914207858888315	0.011182756000900603	0.003724258454961855	0.002791587519342426	0.02802632367809153	0.029376892566995882
2	Anonym_Enfant	Anonym	1800s	U	autodiegetic	0.015198670513247869	0.02092657424120118	0.0179988955124835	0.00960662195120283	0.016280393598828116	0.017870970568129543	0.006246391579682652	0.09021013829596121	0.006735222954628697	0.012988350117091754	0.0028771875593967865	0.00518887571352849	0.016489413230120327	0.05245313531823461	0.0868714235372942	0.004133583517314293	0.07490630456006364	0.044151228713463005	0.02558751113658911	0.010740173726976518	0.043853296180263374	0.00300928375295001	0.019893606104306166	0.009155952320942242	0.036854864956209106	0.012470453998744897	0.021811923308600538	0.07723585617266392	0.015275700671201396	0.0626607180395157	0.000532955243127171	0.0215531307218475	0.007034970027639386	0.027009520297031336	0.01227608950339517	0.042817409192572334	0.003008079270191033	0.0006117722420734644	0.022726347235204596	0.02274700441608032
3	Anonym_Histoire	Anonym	1750s	U	heterodiegetic	0.020284391883313116	0.02916206047151004	0.033839717446990665	0.004528847333618704	0.0104867867030941	0.0207468587903059	0.017555603908893897	0.01068255354857093	0.023489505891091424	0.08427580715990715	0.009484169610742435	0.028070942881317482	0.01860686578167425	0.016917626706986908	0.015281798783157746	0.10843512463765048	0.013260700683839464	0.019784140813837486	0.08134451359714782	0.07870331526589693	0.023184061556054292	0.05110781117050031	0.04063621145528017	0.0007710881310160272	0.02787608882467243	0.018247102482542247	0.006560557430662282	0.0012180570772656486	0.00713211843585879	0.06528119366477317	0.00044781397833504316	0.004565317441845519	0.004179695325391968	0.01267014627466882	0.01576732275684349	0.0044451775525366395	0.004732597187490662	0.002047101860889672	0.03164876888655637	0.0325404366072676
4	Anonym_Suzon	Anonym	1770s	U	autodiegetic	0.01328729835442849	0.02309548193333833	0.05463490246504929	0.01778595219313707	0.02389645095492804	0.02240849735756287	0.019276347150140535	0.03269059843709929	0.017460642170129232	0.01930607250104196	0.00269849254582787	0.00690783170094726	0.040199954149900304	0.020298248455510627	0.0584652554317689	0.009519683357095143	0.02988893007569778	0.049311280999922914	0.04221823628088847	0.00111724772622259	0.032969837567542605	0.018955392867129755	0.02607862553822258	0.00059677775031679	0.031147537489289185	0.007110355754092402	0.008915019905224994	0.04641201753870272	0.008534677960341809	0.1170160602886802	0.00046149913131132003	0.00459627917215864	0.0290583343378921	0.034733223595268564	0.020395593125736623	0.012634262629496644	0.005737174774318021	0.00012342723974439332	0.04804594738645348	0.04201055170743819
5	Anonyme_Venus	Anonyme	1780s	U	autodiegetic	0.01890503716553376	0.004078360517207518	0.028939245905715467	0.031276018597045645	0.013523373582446393	0.019293297535308084	0.025016421253206883	0.03482717721422877	0.012298318408942813	0.014925639004392336	0.005615442269999206	0.010037486632625284	0.028435779801004344	0.03459756248011864	0.08690518497719323	0.0035285142003831835	0.06965338450482653	0.03228714176570178	0.03211216986712096	0.002729322225452107	0.05447018772477996	0.010102847851896144	0.018638552277119465	0.005741251734791908	0.017646733100188113	0.0032849363990354722	0.013608924860034365	0.07325252682493592	0.009460335717976734	0.03643522005134567	0.0014288747499052715	0.002688290258592223	0.026274051701292038	0.006766221236129423	0.009440444436745132	0.09377814780779033	0.0036618012835727912	0.001602844411695838	0.05102268567507003	0.051710243988648284
6	Anonyme_Zoloe	Anonyme	1800s	U	heterodiegetic	0.027929234581641333	0.0038021433682752285	0.009362393264400996	0.00716582992279955	0.0845857628806672	0.010581681201520123	0.016280758766906808	0.016479540667435996	0.024363678356267644	0.018918619820552096	0.014978050895273052	0.01723979539365826	0.028267715656977818	0.03327988073865509	0.039273450626478315	0.010232019801402455	0.08851569589322135	0.03428890476806365	0.02784806043232802	0.0014908682195782833	0.04057179094681657	0.027577287119628913	0.024339328971918095	0.0011004284783561946	0.010693411620679842	0.03258471732346756	0.015726430675862373	0.0021841359539045615	0.004974196514019206	0.03374359537702772	0.0186994727728732	0.014771728779324478	0.03152046602817879	0.004033223721565327	0.013081145168170515	0.11746422953710127	0.008147232936082154	0.00010831594266212224	0.04302037729340444	0.04077439958285152
7	Arnaud_Adelson	Arnaud	1770s	M	heterodiegetic	0.00628844459805659	0.017348179248086133	0.00973791807365243	0.005346822499353009	0.04010394276755114	0.010607085288868409	0.005304275397722326	0.009332398492576104	0.036031295685696144	0.009632016849077411	0.0021001453873473845	0.002360715203572392	0.00419527169040739	0.07432188450566747	0.037168591720790206	0.0071126892095988575	0.00852593193928096	0.0015661081260837232	0.0456131071850647	0.0015779783199971	0.09909558897984477	0.006154033141901411	0.058497600629993984	0.0026186401043045574	0.024807343338882674	0.08434604129488027	0.007347474521873221	0.0002974924909877905	0.014199715780948514	0.04201191092933714	0.1067071122761292	0.0048044830327712	0.003024751500950259	0.00048746442211346913	0.1831860439103625	0.0008183216939553772	0.0014009508883901347	0.0002165869896541	0.009374551729920784	0.0163290901543468
8	Arnaud_Anne	Arnaud	1770s	M	heterodiegetic	0.010388118305755594	0.08933037401012578	0.01702638398456786	0.003133134615156321	0.03512841489762686	0.009194323957562459	0.0019181881160488684	0.0028632111803616523	0.06243350737088238	0.008970706145605833	0.0012190089010025104	0.0030253780837511944	0.021491836516625618	0.07590695019093736	0.008008306263561615	0.015428274931072291	0.0037567511635221997	0.0074829847623781795	0.03288168930291834	0.001735289171696337	0.05944505036678879	0.006935447669606316	0.03670688461268435	0.0007205708236648896	0.014779071340736262	0.0393182095480945	0.005553583216046985	0.00023832981694412345	0.007182189218641451	0.03754018167133802	0.05570879519329197	0.009674348337550903	0.002506291164670716	0.0014135709949529894	0.27191151280514747	0.0013375306714614897	0.0010934491243985683	0.00011902962618892629	0.01847891897978783	0.018014202946842257
9	Arnaud_Bal	Arnaud	1750s	M	homodiegetic	0.012073492732502699	0.011926750859713049	0.008218635771918984	0.010394013738909587	0.009523097737949293	0.012545777066045458	0.004564740038317705	0.017616837829765652	0.032937906955497545	0.004660008389541528	0.010931029278395402	0.0005953647244070222	0.024426028020315252	0.07359709747746392	0.04082544284064707	0.003367937053025212	0.03836144624641833	0.01047639984793426	0.03320656103658689	0.004038829570987383	0.2270185811703524	0.003673388541871667	0.03137411222652272	0.006783374689232927	0.0062668021584501845	0.023124706311342086	0.001128535851693861	0.0007378392756930978	0.017890612528510375	0.04108858592190896	0.0034796568251481887	0.0038844401283735616	0.008918433038752553	0.00047155723404771117	0.08160464477347346	0.010089210132576035	0.006139392168824184	0.0028677777997033723	0.0995514320683036	0.05961951993887493
