	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
0	femme	père	enfant	voir	voir	ami	ennemi	porte	vertu	homme	roi	terre	argent	main	heure	dieu	beau	maître	point	vaisseau	amour	homme	cœur	comte	jour	crime	fleur	foutre	lettre	temps	milord	père	auteur	saint	point	marquise	moins	grand	femme	voir
1	jamais	mère	point	sœur	œil	voir	arme	lit	cœur	nature	prince	montagne	fortune	œil	arriver	religion	œil	petit	donner	mer	aimer	peuple	sentiment	chevalier	vie	homme	beau	cul	écrire	paraître	point	ami	livre	dieu	larme	bon	croire	roi	monde	croire
2	fille	fille	toujours	bon	voix	hui	troupe	chambre	croire	point	peuple	eau	homme	voir	femme	homme	voir	manger	seul	capitaine	cœur	loi	bonheur	duc	état	malheureux	jour	fille	ami	voir	miss	homme	ouvrage	couvent	cœur	marquis	encore	père	homme	parler
3	là	enfant	homme	petit	main	aujourd	combat	nuit	homme	chose	cour	soleil	payer	mot	maison	vérité	air	mettre	projet	grand	amant	grand	heureux	duchesse	mal	mort	doux	con	adieu	jour	mylord	voir	lire	curé	douleur	petit	point	compère	esprit	là
4	servir	fil|fils	donner	ami	sembler	parler	soldat	entendre	point	esprit	princesse	rocher	donner	bras	partir	chrétien	beauté	là	croire	pays	bonheur	citoyen	plaisir	princesse	temps	sang	arbre	décharger	cher	encore	lady	jeune	esprit	religieux	ami	mettre	paraître	beau	beaucoup	répondre
5	devenir	jeune	moins	cher	encore	croire	coup	heure	jamais	raison	grand	pied	riche	parler	jour	foi	paraître	bon	demander	port	plaisir	vertu	âme	dame	mort	horreur	berger	mettre	recevoir	nouveau	sir	fil|fils	histoire	supérieur	malheureux	encore	temps	homme	plaisir	point
6	instant	femme	voir	frère	feu	point	épée	ouvrir	moins	idée	trône	grand	bon	entendre	chambre	fil|fils	figure	vin	laisser	ville	point	gouvernement	temps	marquise	mourir	vie	chanter	vit	jour	assez	lord	enfant	grand	grand	vie	beau	chose	pays	jeune	entendre
7	voilà	famille	apprendre	beau	ciel	moment	armer	passer	honneur	sen|sens	palais	arbre	maison	écrier	demander	monde	petit	boire	craindre	mettre	heureux	nation	doux	adélaïde	malade	voir	jeune	duc	croire	moins	ami	connaître	pièce	église	malheur	fort	fée	terre	mari	demander
8	homme	donner	jamais	cousin	cri	encore	cheval	coucher	connaître	corps	souverain	petit	pauvre	lever	voiture	culte	couleur	tête	parti	esclave	voir	droit	idée	grand	sentir	main	plaisir	bouche	lire	cependant	chère	là	théâtre	père	âme	dame	autant	point	point	chose
9	crime	mariage	bon	là	âme	ange	tête	sortir	âme	humain	reine	voir	gens	regarder	attendre	lumière	joli	grand	permettre	donner	tendre	patrie	tendre	beau	moment	coupable	bois	là	puis	déjà	fille	ici	roman	moine	seul	cher	penser	répondre	personne	homme
10	mieux	jour	âge	tante	terre	penser	général	mettre	ami	principe	gloire	lieu	jour	moment	passer	esprit	grâce	eau	refuser	vent	âme	mœurs	amitié	cour	vivre	monstre	oiseau	plaisir	lettrer	passer	lettre	voilà	écrire	jeune	ciel	ci	donner	docteur	beau	bon
11	toujours	mari	vie	jeune	sein	chère	main	entrer	passion	âme	sujet	milieu	somme	répondre	soir	saint	main	voilà	intérêt	passer	jamais	société	ami	château	encore	affreux	jardin	petit	jamais	peine	maitresse	malheur	art	abbé	héler	joli	femme	philosophe	goût	aimer
12	moins	parent|parents	soin	donner	jour	aimer	suivre	petit	raison	objet	ministre	élever	honnête	larme	lendemain	vie	grand	diable	attendre	île	sentiment	point	aimer	jeune	passer	prison	berger|bergère	branler	parler	apercevoir	époux	jour	talent	maison	jour	moins	tant	fa	plaire	jamais
13	plaisir	épouser	seul	ici	coup	toujours	porter	fermer	sentiment	effet	monarque	haut	grand	jeter	cheval	loi	jeune	coup	engager	bord	œil	nature	toujours	paraître	perdre	punir	lieu	baiser	mère	apprendre	parent	baron	genre	point	cher	abbé	amour	eusèbe	toujours	voilà
14	seul	maison	mieux	voilà	entendre	chose	courage	grand	amour	mal	empire	mer	livre	voix	entrer	grand	charmant	pain	moyen	embarquer	seul	pays	objet	baron|baronne	maladie	sauver	nature	beau	partir	long	jenny	doute	beau	prier	encore	cependant	voir	dieu	donner	penser
15	encore	marier	chose	pauvre	frapper	cependant	guerre	dormir	mériter	donner	empereur	vaste	vendre	reprendre	sortir	divinité	blanc	chien	promettre	partir	charme	état	sentir	point	peine	vengeance	campagne	fesse	envoyer	œil	main	frère	génie	prieur	voir	femme	assez	révérend	grand	encore
