	id	Ranked topics
21	BarbeMarbois_Parisienne	[(0.133298385204508, 28), (0.1023678694826299, 10), (0.0800626507168959, 4), (0.0765721693418378, 22), (0.0595545856018256, 27), (0.0505476428209897, 2), (0.0492760855114273, 17), (0.0486542172668021, 13), (0.0393851153946869, 3), (0.0389204344767026, 18)]
22	Barthe_Femme	[(0.12121240638888, 28), (0.09635933747138, 10), (0.0769740819650813, 2), (0.0594479831511995, 29), (0.057620465334781, 4), (0.0490861364675382, 17), (0.0465217710731212, 13), (0.0442145117572668, 25), (0.0390100254466942, 14), (0.0372935573039259, 22)]
23	Bastide_Maison	[(0.1840531581593962, 4), (0.1116219231309086, 17), (0.1072699625589746, 2), (0.0755359838758499, 7), (0.058033535755107, 10), (0.0550078432758572, 3), (0.0473091539238933, 11), (0.0463945417994225, 24), (0.0446020668368246, 22), (0.0338520980277041, 28)]
24	Beauharnais_Lettres	[(0.2654657849767595, 2), (0.1553605649761331, 14), (0.093635858417824, 11), (0.0764236822610473, 16), (0.0628173504361098, 22), (0.0447169209030829, 21), (0.039246311802828, 0), (0.0392047034393402, 10), (0.0274920868273804, 17), (0.0266513880400844, 5)]
25	Beaumont_Belle	[(0.174293268596712, 8), (0.1240114854235274, 7), (0.0864057188323208, 26), (0.0720294974525475, 14), (0.0555422210262816, 4), (0.0520815674087832, 11), (0.052076605051159, 5), (0.0435377340144736, 22), (0.0371423753880105, 27), (0.0358734248815471, 28)]
26	Beaumont_Clarice	[(0.1164803925516625, 15), (0.1048570999374561, 22), (0.062422091114903, 5), (0.0560769437088527, 18), (0.0513749587450508, 16), (0.0477134926879971, 2), (0.0436944218204389, 11), (0.0430582009297029, 21), (0.0423277139517772, 7), (0.0344872643076008, 27)]
27	Beaumont_Prince	[(0.0977475033154515, 0), (0.0826549131243314, 26), (0.0729704635697015, 5), (0.0698655169606894, 7), (0.0606385021909488, 17), (0.0581340520757978, 12), (0.0508292994751224, 3), (0.0488483618509346, 24), (0.0433606884363933, 10), (0.0419941179071839, 22)]
28	Beckford_Vathek	[(0.1479505073357018, 9), (0.1422902507515876, 3), (0.0795223224988513, 26), (0.072653067912437, 4), (0.0708285731800069, 12), (0.055229496075121, 17), (0.0498201258193838, 7), (0.0418379479533958, 14), (0.0403499430478025, 25), (0.0292146777998179, 10)]
29	Bellin_Nuit	[(0.2423008907248877, 9), (0.0971189623798024, 7), (0.0909392981346633, 4), (0.0704937735385767, 17), (0.0572896919111345, 29), (0.0364769102446366, 23), (0.0316886924101994, 3), (0.0299486537562538, 27), (0.0276164922994397, 26), (0.0258831979059191, 22)]
30	Benoist_Elisabeth	[(0.1663295757301564, 2), (0.1097215158236027, 22), (0.0849479205436576, 11), (0.0666274311352224, 21), (0.0600749494504134, 10), (0.0570583701875114, 16), (0.048277708912288, 14), (0.0445708478875149, 27), (0.0420657112119139, 20), (0.0412628928046889, 13)]
31	Bernardin_Chaumiere	[(0.2086851688297993, 3), (0.0749248130807981, 20), (0.064019964109574, 26), (0.0593493075769273, 29), (0.0497073668244613, 9), (0.0494093403160687, 12), (0.0457335650029406, 7), (0.0419428980879326, 23), (0.0387648931316907, 17), (0.0335132038408547, 19)]
32	Bernardin_Paul	[(0.2277950998837422, 3), (0.0611515480321263, 29), (0.0545814015553258, 11), (0.0537099076617874, 20), (0.0504522358133632, 9), (0.0452048481493305, 18), (0.039944156619258, 6), (0.0375235145093126, 5), (0.0374371989818703, 15), (0.033804362345361, 10)]
33	Berquin_Enfants	[(0.2323983549767737, 8), (0.091805819692799, 26), (0.0883450468035432, 7), (0.0621967625881694, 3), (0.0525320501284927, 4), (0.0486825506635714, 27), (0.0475419712149248, 9), (0.0457692685775587, 18), (0.0376702701309869, 25), (0.036140674416934, 11)]
34	Blanchard_Philetas	[(0.2216446880110837, 3), (0.1417440541160628, 10), (0.084218667831316, 14), (0.0759937954328715, 17), (0.0716050546042386, 2), (0.0646840939960714, 11), (0.0621469915858158, 5), (0.0342781155627984, 4), (0.0284848805478238, 22), (0.0258259656016617, 9)]
35	Boismortier_Histoire	[(0.4016538961343416, 8), (0.0812570232033904, 25), (0.0628299633080419, 2), (0.040483892351162, 11), (0.0382552080353238, 3), (0.0363375647333588, 17), (0.0361547494911838, 10), (0.0283280012578182, 26), (0.022010369852068, 9), (0.0214954574877342, 4)]
36	Boufflers_Reine	[(0.0858126529943773, 15), (0.0811393300020203, 3), (0.0635931042189473, 10), (0.0626522897150914, 28), (0.0565936631860279, 12), (0.0499889557801351, 19), (0.0448987613903064, 27), (0.0447857103333672, 11), (0.0447832822155595, 7), (0.040837084841587, 5)]
37	Brument_Henriette	[(0.0953700336251301, 22), (0.0933180039843984, 7), (0.0860313121594887, 0), (0.0804191745471908, 14), (0.0706629545284445, 11), (0.0639033268472765, 2), (0.0555307159258129, 5), (0.0492035572995568, 19), (0.0486153692694612, 17), (0.0480021569071386, 10)]
38	CastilhonJL_Zingha	[(0.1963412720529423, 6), (0.1388340794193545, 0), (0.1062326014776424, 22), (0.0713517490495573, 12), (0.0690990641695127, 9), (0.0539593035918618, 14), (0.0372443395247246, 11), (0.0368898225142262, 2), (0.034375999635897, 10), (0.0294446475255824, 3)]
39	CastilhonJ_Robert	[(0.1552074275386143, 12), (0.0898847360721494, 9), (0.0861703528159653, 22), (0.0616251543760341, 0), (0.0481838492322603, 2), (0.045544603430131, 17), (0.0439742589705964, 5), (0.036319931101762, 7), (0.0356497631692369, 11), (0.0320626561260306, 28)]
40	Cazotte_Diable	[(0.1061805100743716, 9), (0.0911383626903153, 22), (0.084629749136896, 4), (0.0788399939049461, 7), (0.0584779507224925, 17), (0.0534319116280581, 19), (0.050713050880305, 2), (0.0466338031763744, 28), (0.0450526043582584, 10), (0.0319499715460222, 14)]
41	Cazotte_Honneur	[(0.113567091094561, 12), (0.1104246413860472, 22), (0.0675024712909614, 4), (0.0542353310357573, 14), (0.0541184785855275, 17), (0.0495378904410227, 28), (0.0467870909795341, 7), (0.0456833350488012, 2), (0.0412648281228725, 16), (0.0395714399663067, 10)]
42	Cazotte_Ollivier	[(0.1080546005431861, 9), (0.0834319126148091, 12), (0.0720005386927861, 22), (0.0690146846951262, 4), (0.0655763153569898, 3), (0.0526167871930646, 25), (0.0460106253925414, 17), (0.0458302294442498, 14), (0.0451547969125478, 19), (0.0368410371426986, 26)]
