	0	1	2	3	4	5	6	7	8	9
homme	0.018893178552389145	0.004927499685436487	0.004726392216980457	0.0	0.0	0.0	0.003379262052476406	0.006848535500466824	0.004581687040627003	0.00268680602312088
bien	0.008669305592775345	0.011934150941669941	0.006818602792918682	0.003926851786673069	0.0	0.0	0.0	0.010326992720365524	0.01678006909787655	0.005767655558884144
point	0.008109348826110363	0.005523196421563625	0.0	0.0033155682031065226	0.0	0.0	0.003264575032517314	0.007866981439292431	0.004088161513209343	0.010387017391622066
nature	0.007062298245728016	0.0	0.0	0.0	0.0	0.002878261264413595	0.0	0.0	0.0	0.0
enfant	0.006315442733466625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
voir	0.006203008815646172	0.00767079321667552	0.0070507037453353405	0.0	0.0	0.005895023234188557	0.009305140934884548	0.007049140054732561	0.011662853881716728	0.008647285401821136
jamais	0.006133663468062878	0.0	0.0026700275484472513	0.0	0.0	0.0	0.0	0.0	0.004620767664164305	0.006348901893943548
donner	0.005775952246040106	0.004510815721005201	0.004444967955350876	0.0	0.0	0.0023544172290712595	0.0033842287957668304	0.006580065935850143	0.00625124154612422	0.003415582235902548
grand	0.005692522507160902	0.005585367325693369	0.0	0.0	0.009075510315597057	0.004401928745210171	0.003081818576902151	0.00593437347561121	0.003812934970483184	0.0
tout	0.0056497869081795216	0.007743763271719217	0.006328127346932888	0.0	0.0	0.0023119449615478516	0.005646588746458292	0.0029250532388687134	0.007270133122801781	0.005557516124099493
toujours	0.005647583398967981	0.0	0.002647507470101118	0.0	0.0	0.0	0.0	0.0	0.0036850532051175833	0.004721695091575384
moins	0.004770871251821518	0.003445044159889221	0.0	0.0	0.0	0.0	0.0	0.0	0.0035392818972468376	0.00524266017600894
loi	0.004749063402414322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
savoir	0.004706814419478178	0.006184482481330633	0.0	0.010731235146522522	0.0	0.0	0.0	0.0035578368697315454	0.008393912576138973	0.004975875373929739
chose	0.004663142841309309	0.003205911023542285	0.0	0.004023397341370583	0.0	0.0	0.0	0.0	0.0037670647725462914	0.0
seul	0.004538755863904953	0.0	0.0	0.0	0.0	0.0	0.003268672851845622	0.0	0.0	0.005837191827595234
vertu	0.003983550705015659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036740496288985014
bon	0.003980571869760752	0.0061712986789643764	0.0	0.0	0.0	0.0	0.0	0.006446369457989931	0.006034964229911566	0.0
esprit	0.003977010026574135	0.0023458146024495363	0.0	0.0	0.0025713888462632895	0.0	0.0	0.0	0.0	0.0
rendre	0.0038890342693775892	0.0	0.0	0.0	0.004916477482765913	0.0	0.0031481024343520403	0.00403880700469017	0.004380529746413231	0.005593470763415098
raison	0.003860751399770379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002644338645040989
mal	0.0038324715569615364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026546174194663763
femme	0.0038077966310083866	0.0063209934160113335	0.00586743326857686	0.0	0.0	0.0	0.0	0.0	0.00832321122288704	0.0
trouver	0.0037291229236871004	0.004539144691079855	0.002898895414546132	0.0	0.0	0.0	0.004995105322450399	0.004294737242162228	0.006773927714675665	0.0031967866234481335
devenir	0.0037244807463139296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
servir	0.0033975497353821993	0.0	0.0023829075507819653	0.0	0.0	0.0	0.0	0.0025786454789340496	0.0	0.0
croire	0.0031710260082036257	0.0028498813044279814	0.0	0.0030882295686751604	0.0	0.0	0.003302784636616707	0.0	0.007944808341562748	0.005010347813367844
besoin	0.003034693654626608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vie	0.0030216604936867952	0.0	0.0	0.0	0.0	0.0	0.004144377540796995	0.0	0.0	0.00551230926066637
gens	0.0029540909454226494	0.003130019176751375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
peuple	0.0029456329066306353	0.0	0.0	0.0	0.012742456048727036	0.0	0.0	0.0	0.0	0.0
dieu	0.0029135574586689472	0.0	0.0	0.006186319049447775	0.004134019371122122	0.0	0.0	0.0	0.0	0.0
idée	0.0028395680710673332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
état	0.002838362008333206	0.0	0.0	0.0	0.0	0.0	0.003600524505600333	0.0	0.0	0.0
apprendre	0.002760405419394374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
connaître	0.0026901063974946737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037076480221003294
crime	0.0026889818254858255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non	0.0026868509594351053	0.002272859448567033	0.0	0.00941071379929781	0.0	0.0	0.0	0.0	0.0	0.003484576242044568
encore	0.0026783884968608618	0.004217575304210186	0.0039818305522203445	0.0	0.0	0.003280789591372013	0.0044661518186330795	0.0032556834630668163	0.005326020531356335	0.005939522758126259
là	0.002572540892288089	0.004653072915971279	0.00791072752326727	0.006513493601232767	0.0	0.0032678546849638224	0.0	0.005932149942964315	0.004456686787307262	0.0
humain	0.0025360097642987967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vice	0.0025095376186072826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mieux	0.002474460517987609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
un	0.002416083589196205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
monde	0.002413625828921795	0.002565933158621192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
objet	0.0023932582698762417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025417834986001253
naître	0.002280554035678506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ainsi	0.0022746704053133726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
voilà	0.0022491435520350933	0.0027465217281132936	0.0	0.006100567057728767	0.0	0.0	0.0	0.0	0.003179162507876754	0.0
goût	0.002222903771325946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
petit	0.0	0.007332480978220701	0.006232129875570536	0.0	0.0	0.0033011813648045063	0.0	0.002527257427573204	0.003920532763004303	0.0
beau	0.0	0.006451212801039219	0.005586974322795868	0.0	0.0	0.004902041517198086	0.0	0.003193014534190297	0.003401647787541151	0.0
aller	0.0	0.005328627303242683	0.00890799518674612	0.011858511716127396	0.0	0.004550975281745195	0.0076420302502810955	0.00924632791429758	0.008145631290972233	0.0
mettre	0.0	0.004682921804487705	0.006195454392582178	0.0	0.0	0.0	0.003369318787008524	0.005111187696456909	0.003951980732381344	0.0
prendre	0.0	0.004520534072071314	0.003298591123893857	0.005153828300535679	0.0	0.0	0.005074064247310162	0.006663621868938208	0.005702972877770662	0.0029240199364721775
fort	0.0	0.004109377972781658	0.0	0.0	0.0	0.0	0.0	0.005152067635208368	0.0	0.0
parler	0.0	0.0037899974267929792	0.0	0.0	0.0	0.0	0.0	0.0029942048713564873	0.005883281584829092	0.0
air	0.0	0.003497528377920389	0.0	0.0	0.0	0.0036187656223773956	0.0	0.002704979619011283	0.0	0.0
tête	0.0	0.0034836959093809128	0.0023258859291672707	0.006326650734990835	0.00284147378988564	0.0	0.0	0.0	0.0	0.0
entendre	0.0	0.003452818840742111	0.0	0.004495267756283283	0.0	0.0	0.004213972482830286	0.0	0.0	0.0
temps	0.0	0.0034072501584887505	0.0023222218733280897	0.0	0.0	0.0028447359800338745	0.004232732579112053	0.003508094698190689	0.0036506955511868	0.005010098684579134
venir	0.0	0.0032995317596942186	0.0060633765533566475	0.0	0.0	0.005378200206905603	0.008363780565559864	0.006191984284669161	0.006864224560558796	0.0028034811839461327
suivre|être	0.0	0.0032031310256570578	0.0	0.0	0.0	0.0	0.0	0.002938978374004364	0.008040150627493858	0.0037226607091724873
