	0	1	2	3	4	5	6	7	8	9
0	homme	bien	fille	maître	roi	terre	voir	bien	bien	cœur
1	bien	tout	foutre	jacque|jacques	prince	voir	venir	aller	voir	amour
2	point	voir	aller	supérieur	peuple	venir	aller	point	ami	point
3	nature	petit	cul	aller	grand	jour	main	don	savoir	voir
4	enfant	beau	là	savoir	princesse	beau	jour	voir	femme	aimer
5	voir	femme	voir	hôte|hôtesse	monarque	aller	tout	maître	aller	âme
6	jamais	savoir	bien	non	gloire	œil	œil	homme	suivre|être	jamais
7	donner	bon	tout	là	trône	grand	prendre	prendre	croire	encore
8	grand	grand	petit	tête	ennemi	arbre	trouver	donner	tout	seul
9	tout	point	mettre	dieu	sujet	eau	mort	bon	venir	bien
10	toujours	aller	venir	voilà	troupe	mer	instant	répondre	trouver	sentiment
11	moins	homme	femme	porte	rendre	montagne	encore	venir	fille	rendre
12	loi	mettre	con	main	souverain	milieu	bras	seigneur	père	tout
13	savoir	là	beau	religieux	ordre	fleur	temps	grand	mère	vie
14	chose	trouver	décharger	sœur	avoyer	air	entendre	là	donner	ami
15	seul	prendre	duc	pourquoi	guerre	pied	vie	jour	bon	sentir
16	vertu	donner	plaisir	prendre	cour	lieu	malheureux	fort	parler	moins
17	bon	encore	bouche	saint	dieu	berger	larme	mettre	prendre	bonheur
18	esprit	fort	homme	cellule	ministre	soleil	arriver	trouver	lettre	croire
19	rendre	parler	donner	cheval	reine	doux	coup	maison	cher	temps
20	raison	air	vit	religieuse	palais	petit	passer	paraître	jour	savoir
21	mal	tête	foi|fois	appeler	empire	encore	laisser	rendre	encore	jour
22	femme	entendre	an	entendre	porter	là	jeter	demander	aimer	toujours
23	trouver	moins	encore	chirurgien	arme	bois	état	savoir	jamais	heureux
24	devenir	temps	jeune	haut	couronne	nature	douleur	argent	homme	plaisir
25	servir	venir	main	genou	honneur	main	alors	temps	là	œil
26	croire	chose	joli	descendre	soldat	temps	écrier	passer	rendre	suivre|être
27	besoin	suivre|être	jour	maison	citoyen	tour	donner	laisser	sœur	connaître
28	vie	œil	prendre	chose	nouveau	île	homme	entrer	point	vertu
29	gens	gens	branler	bien	patrie	porter	mettre	dame	mettre	amant
30	peuple	passer	coup	lit	héro|héros	bord	moment	encore	petit	non
31	dieu	assez	saint	sortir	ville	feu	tomber	beau	grand	passion
32	idée	rire	libertin	foi|fois	puissance	couvrir	pied	candide	écrire	doux
33	état	cependant	ange	lever	sang	jeune	croire	sortir	chose	donner
34	apprendre	beaucoup	baiser	diable	conseil	fil|fils	mourir	reprendre	toujours	peine
35	connaître	croire	fesse	cependant	nom	rocher	sortir	parler	temps	tendre
36	crime	voilà	gros	histoire	tête	donner	seul	arriver	demander	trouver
37	non	main	trouver	côté	armée	oiseau	point	vieux	passer	laisser
38	encore	durut	enculer	arriver	chef	tout	ciel	suivre|être	ici	vivre
39	là	monde	tenir	église	rang	mère	paraître	tout	moins	perdre
40	humain	joli	jamais	point	nation	paraître	rendre	ville	cœur	prendre
41	vice	plaisir	toujours	passer	coup	berger|bergère	malheur	assez	beau	foi|fois
42	mieux	jour	placer	taire	maître	vent	fille	air	répondre	moment
43	un	foi|fois	garçon	regarder	esprit	vaisseau	père	valet	jeune	tant
44	monde	bijou	vivre	capitaine	royaume	autour	grand	vivre	moment	père
45	objet	laisser	servir	bigre	province	amour	peine	mauvais	mari	venir
46	naître	tant	puis	nuit	génie	former	demander	duc	voilà	homme
47	ainsi	esprit	instant	croire	haut	loin	porte	servir	personne	mal
48	voilà	tenir	tête	puis	succès	fruit	heure	petit	paraître	raison
49	goût	non	temps	asseoir	assemblée	heureux	mot	chambre	recevoir	objet
