	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0	roi	arriver	lettre	comte	femme	terre	point	moins	saint	voir	fille	donner	homme	cœur	beau	petit	livre	père	ami	milord	voir	mort	petit	homme	homme
1	prince	partir	ami	chevalier	homme	voir	cœur	croire	dieu	œil	foutre	point	crime	sentiment	amour	mettre	ouvrage	fille	voir	miss	croire	vie	bon	nature	enfant
2	peuple	homme	écrire	marquise	jeune	eau	aimer	encore	père	main	cul	mettre	femme	bonheur	œil	maître	auteur	mère	parler	mylord	là	mourir	beau	loi	point
3	grand	jour	cher	marquis	plaisir	montagne	amour	point	grand	entendre	con	temps	jamais	âme	doux	donner	lire	fil|fils	jour	point	chose	douleur	joli	point	donner
4	ennemi	cheval	voir	duc	monde	arbre	ami	paraître	point	mot	là	moins	malheureux	plaisir	plaisir	porte	esprit	enfant	moment	voir	parler	voir	dame	dieu	bon
5	princesse	passer	sœur	duchesse	esprit	grand	jamais	amour	curé	répondre	mettre	laisser	devenir	heureux	fleur	chambre	grand	jeune	encore	paraître	bon	larme	là	raison	grand
6	cour	ville	aimer	dame	mari	mer	seul	temps	religion	paraître	plaisir	moyen	fille	sentir	jour	manger	histoire	homme	croire	cher	homme	malheureux	encore	esprit	état
7	arme	grand	adieu	vicomte	beau	soleil	âme	désir	prêtre	moment	décharger	encore	coupable	temps	amant	lit	art	voir	point	lady	répondre	jour	mettre	vertu	vie
8	gloire	route	bon	femme	goût	pied	croire	voir	église	regarder	bouche	cependant	punir	objet	beauté	grand	pièce	femme	temps	chère	jamais	ciel	fort	humain	travail
9	guerre	temps	frère	baron	aimer	là	vertu	donner	religieux	sortir	petit	assez	vertu	idée	cœur	coucher	roman	donner	passer	personne	entendre	dieu	voir	chose	moins
10	souverain	donner	mère	heure	plaire	vent	voir	femme	bon	lever	vit	seul	croire	doux	voir	femme	écrire	famille	toujours	sir	fort	affreux	rire	religion	besoin
11	palais	suivre	croire	paraître	donner	petit	amant	autant	beau	porte	duc	état	oser	jour	encore	heure	genre	frère	beaucoup	lord	point	bras	coup	vérité	gens
12	troupe	voiture	donner	jour	point	lieu	encore	aimer	monde	parler	femme	effet	scélérat	passion	jeune	passer	goût	bon	heure	nouveau	mieux	œil	jouer	principe	toujours
13	trône	maison	parler	donner	personne	bord	sentiment	penser	moine	voix	beau	attendre	voilà	éprouver	heureux	sortir	théâtre	jour	cependant	répondre	voilà	tomber	ci	seul	vivre
14	général	arrêter	jour	répondre	voir	rocher	bonheur	tant	compère	entrer	voir	soin	horreur	tendre	tendre	table	tableau	mariage	penser	temps	toujours	dernier	assez	donner	jamais
15	soldat	conduire	cousin	château	paraître	couvrir	connaître	sentiment	supérieur	bras	jeune	ordre	voir	toujours	nouveau	jour	génie	ami	entendre	donner	moins	vivre	voilà	âme	riche
16	sang	gens	lire	jeune	aimable	bois	puis	flatter	ciel	seul	branler	croire	là	amour	sembler	là	talent	nom	chose	jeune	encore	coup	tête	mal	fortune
17	donner	voyage	recevoir	baron|baronne	beaucoup	tour	oser	combien	couvent	apercevoir	baiser	part	servir	vie	rose	bon	français	époux	maison	apprendre	penser	encore	abbé	idée	voir
18	reine	recevoir	ici	cour	connaître	apercevoir	toujours	craindre	jour	écrier	homme	nouveau	commettre	désir	charmant	entrer	point	sœur	ange	œil	demander	cri	déjà	grand	servir
19	sujet	chemin	petit	recevoir	caractère	milieu	cher	façon	chrétien	instant	fesse	projet	moyen	jamais	aimer	tête	homme	maison	peine	recevoir	aimer	cœur	cher	corps	utile
20	chef	voir	fille	beau	grand	élever	amitié	toujours	terre	jeter	foi|fois	assurer	instant	encore	feu	nuit	parler	vieillard	revenir	fille	mal	malheur	tante	toujours	pays
21	patrie	quitter	puis	connaître	grâce	air	larme	jamais	homme	demander	joli	parti	main	jouir	charme	pied	lecture	voilà	aujourd	sentimens	assez	cruel	tour	sage	famille
22	fil|fils	demander	encore	moment	air	vaste	adorer	effet	mourir	reprendre	libertin	fort	loi	vif	chanter	maison	beau	oncle	hui	ami	raison	infortuné	moins	monde	petit
23	armer	attendre	cœur	honneur	assez	forêt	vie	long	révérend	air	ange	apprendre	juge	devenir	air	vin	temps	connaître	foi|fois	écrier	monde	sang	tenir	peuple	terre
24	monarque	nuit	chère	reprendre	toujours	côté	moins	grand	vie	encore	donner	secret	criminel	seul	nature	servir	musique	apprendre	occuper	adélaïde	comment	main	honneur	lumière	apprendre
25	porter	revenir	présent	grand	jamais	encore	lettre	beaucoup	frère	tête	gros	occasion	encore	sembler	délicieux	boire	siècle	épouser	père	princesse	pourquoi	horreur	chapitre	vrai	âge
26	armée	paraître	beau	adélaïde	amour	autour	malheureux	inspirer	juif	parole	cuisse	intérêt	cruel	long	main	tirer	public	pauvre	donner	grand	tant	sein	main	opinion	soin
27	combat	aventure	lettrer	partir	moins	haut	cruel	cependant	livre	heure	enculer	engager	vengeance	paraître	dieu	main	spectacle	épouse	personne	doute	reprendre	état	ami	objet	seul
28	ministre	heure	envoyer	nom	beauté	animal	craindre	sentir	prière	alors	placer	refuser	justice	esprit	sein	eau	jouer	ici	demander	apercevoir	grand	désespoir	pauvre	préjugé	payer
29	nation	mettre	maman	appartement	petit	paraître	héler	chercher	dévot	rester	saint	jour	victime	souvent	berger	côté	vérité	saint	vie	main	beau	arracher	cependant	voir	exemple
30	empire	offrir	réponse	prier	société	île	heureux	mettre	personne	croire	tenir	promettre	affreux	amitié	donner	voilà	portrait	parent|parents	malade	maître|maîtresse	donner	point	tant	société	argent
31	héro|héros	apprendre	grand	permettre	souvent	nature	œil	seul	cher	attendre	garçon	permettre	innocence	peine	regard	descendre	comédie	marier	paraître	présenter	beaucoup	âme	bas	sen|sens	mieux
32	empereur	argent	voilà	temps	âge	temps	digne	douter	prier	genou	coup	servir	seul	douceur	grâce	coup	nom	cher	chère	parent	ici	jeter	diable	erreur	heureux
33	ordre	lendemain	chose	portail	figure	point	oublier	doute	demander	arrêter	évêque	ajouter	venger	soin	volupté	pauvre	lecteur	revenir	matin	conduire	vrai	écrier	laisser	effet	année
34	tête	lieu	hier	princesse	joli	loin	foi|fois	laisser	mettre	passer	puis	connaître	permettre	souvenir	bonheur	dormir	lire|liser	malheur	fort	auprès	tenir	moment	grand	naître	maison
35	nouveau	ordre	aimable	attendre	œil	vaisseau	jour	égard	pieux	foi|fois	volupté	employer	mettre	livrer	déjà	encore	scène	mari	aimer	dame	laisser	voix	messieurs	ordre	ville
36	paix	entrer	partir	maître|maîtresse	manière	vue	parler	idée	fa	mouvement	bander	craindre	ami	occuper	bras	souper	langue	larme	laisser	amant	puis	peine	gens	espèce	mal
37	esclave	monter	prier	écuyer	charmant	pierre	laisser	ignorer	prieur	ouvrir	langue	déjà	honneur	chercher	âme	porter	gens	parler	jamais	reprendre	vérité	ami	part	naturel	richesse
38	guerrier	courir	jamais	charmant	sexe	feu	plaindre	sembler	foi	visage	main	autant	alors	instant	berger|bergère	dîner	connaître	là	recevoir	mistriss	sentir	terrible	foi|fois	passion	devenir
39	nombre	fort	mettre	amant	gens	ici	moment	assez	religieuse	silence	téton	suivre	livrer	inspirer	joie	jeter	aujourd	mourir	rester	jenny	mot	porter	propos	vice	vertu
40	royaume	remettre	toujours	parler	devenir	sembler	perdre	prouver	temps	regard	encore	conduite	monstre	aimer	voix	monter	mot	demander	soir	long	maître	homme	perdre	propre	pauvre
41	ville	nouveau	penser	commandeur	cependant	noir	mériter	ailleurs	répondre	cependant	ainsi	moment	infâme	état	sourire	chien	titre	âge	assez	homme	temps	perdre	payer	connaître	travailler
42	victoire	lieue	amitié	moi|mois	ridicule	travers	passion	vanité	cellule	tomber	soir	dessein	malheur	triste	couleur	bas	mettre	jamais	chambre	part	plaire	héler	nouveau	moins	prix
43	maître	envoyer	billet	soir	croire	pays	tendre	propre	cérémonie	asseoir	instant	raison	action	toucher	baiser	entendre	anglais	vieux	quitter	obliger	gens	laisser	saint	univers	maître
44	recevoir	jeune	remettre	arriver	presque	habiter	malheur	tromper	hermite	frapper	sucer	demander	laisser	penser	toujours	corps	hui	embrasser	grand	bras	pourtant	pied	comment	exister	droit
45	rang	près	pauvre	assurer	naturel	étendre	assez	plaire	messe	tenir	vieux	lieu	vil	laisser	lieu	laisser	ancien	grand	mal	reconnaître	connaître	entendre	affaire	encore	misère
46	commander	chercher	arriver	vif	mieux	lumière	sentir	crainte	docteur	chambre	vivre	confiance	créature	nouveau	désir	lever	nouveau	ainsi	petit	faveur	foi|fois	abandonner	plaisir	éclairer	propre
47	honneur	répondre	heure	sancerre	défaut	chemin	tendresse	permettre	grâce	temps	doigt	alors	accuser	passer	bouche	enfant	acteur	tendresse	seul	objet	mauvais	sauver	bout	force	naître
48	loi	pays	tant	nouveau	fort	traverser	donner	plaindre	jésuite	retirer	servir	forcer	mal	tant	fête	soir	poète	fortune	attendre	comment	air	mal	pied	rapport	éducation
49	nom	reconnaître	dieu	seigneur	amant	sauvage	pardonner	vrai	pays	près	trou	passer	perdre	rappeler	pur	tenir	science	petit	femme	peine	tête	force	galant	système	place
