	id	Ranked topics
22	BarbeMarbois_Parisienne	[(0.1514307400796039, 4), (0.0920381704981155, 14), (0.0701215601787486, 13), (0.0696608720790442, 11), (0.0616626527963872, 20), (0.0584314688956727, 9), (0.0564829497322858, 18), (0.0506324693176355, 6), (0.047153262854875, 19), (0.0453917416252221, 3)]
23	Barthe_Femme	[(0.1270544658693621, 4), (0.0855963495241181, 6), (0.074788118818684, 20), (0.0740546615220986, 14), (0.057105803906529, 16), (0.0566708671375513, 22), (0.0527031804083316, 3), (0.0511118909656216, 9), (0.0495109918206457, 13), (0.0440102321224367, 24)]
24	Bastide_Maison	[(0.177774591317597, 9), (0.1111000559666459, 14), (0.1029180766989939, 6), (0.081782182157116, 15), (0.073668377605692, 4), (0.0608361348375591, 20), (0.0589641655591182, 5), (0.0580684808864282, 11), (0.0532005095937655, 13), (0.036713848668203, 16)]
25	Beauharnais_Lettres	[(0.3792158317780051, 6), (0.1204852298968089, 21), (0.0858409364890864, 11), (0.076916223840033, 13), (0.0421877812744774, 9), (0.0396663478412754, 19), (0.0346441096612407, 2), (0.0269209265636746, 12), (0.0262514074503838, 17), (0.0232066346106421, 4)]
26	Beaumont_Belle	[(0.186872670835531, 15), (0.1027881382993435, 2), (0.0994638289051128, 17), (0.0934432479918866, 21), (0.0807619419499704, 20), (0.0724658448983285, 18), (0.0497762563406462, 9), (0.0438755948769017, 1), (0.0437484354630243, 4), (0.0397727984536331, 11)]
27	Beaumont_Clarice	[(0.1224817142544889, 11), (0.11023008698626, 24), (0.08203715631695, 1), (0.0746069769692199, 17), (0.0579716378665133, 19), (0.0530439665941491, 20), (0.052953052512227, 2), (0.0502425803524818, 15), (0.0502231076375268, 6), (0.0463647436675064, 13)]
28	Beaumont_Prince	[(0.1051802506911, 15), (0.1007635316297935, 20), (0.0816846438395733, 0), (0.0790371009217881, 14), (0.0728249344150212, 12), (0.067991464306706, 9), (0.0645554578873488, 17), (0.060921832562118, 21), (0.0557316465206537, 13), (0.0518585408633046, 11)]
29	Beckford_Vathek	[(0.2176038360598891, 5), (0.1101645381348376, 15), (0.1012604305449749, 9), (0.0875258685544467, 21), (0.0646275696883147, 20), (0.0604445639157194, 14), (0.0529985743049116, 0), (0.0398986788986869, 22), (0.0321691307343205, 8), (0.0312836502714122, 11)]
30	Bellin_Nuit	[(0.1783147476519421, 9), (0.1418375402648342, 5), (0.141448095103246, 15), (0.0791941002755775, 20), (0.0743060716607747, 16), (0.0664139591064553, 21), (0.033674774059375, 8), (0.0292122314696478, 11), (0.0226968199154308, 13), (0.0226639706237883, 18)]
31	Benoist_Elisabeth	[(0.1831815073680102, 6), (0.150731252872077, 11), (0.1005799260826143, 13), (0.0739475126589057, 2), (0.0604241171455477, 18), (0.0443547228110199, 4), (0.0443371768273828, 23), (0.0437831114833068, 21), (0.0426680166803776, 3), (0.0380624310050798, 19)]
32	Benouville_Pensees	[(0.1562293295475174, 20), (0.1355167882982682, 23), (0.1073054673961869, 11), (0.0712425529008929, 6), (0.0702494132466173, 4), (0.0666759913425527, 13), (0.0537041903463689, 24), (0.0422198613637697, 2), (0.0361284804217291, 7), (0.0330730513750727, 18)]
33	Bernardin_Chaumiere	[(0.2180622913830875, 5), (0.0863565031563717, 15), (0.0758315257259249, 8), (0.0711977956128749, 23), (0.0690069129837332, 16), (0.0539370068441649, 1), (0.0499921938433322, 20), (0.047938659868483, 21), (0.0435645422425662, 9), (0.0383040203643962, 17)]
34	Bernardin_Paul	[(0.242899610073317, 5), (0.0772940039958711, 24), (0.0719483567572273, 16), (0.0603600321199466, 23), (0.0531076395977406, 17), (0.0485302710536197, 9), (0.0468889776988541, 14), (0.0462322042461888, 15), (0.0460894131388465, 21), (0.04471572850454, 13)]
35	Berquin_Enfants	[(0.1738054048890197, 15), (0.1354816561481925, 2), (0.1009809584069502, 22), (0.0812460082022881, 20), (0.0779984649243561, 9), (0.0644832888236442, 14), (0.0537422274304263, 17), (0.0527768545181069, 18), (0.0454717563303756, 5), (0.0396344051103645, 24)]
36	Blanchard_Philetas	[(0.3196497030234438, 14), (0.1089703207542648, 6), (0.0989112873143558, 9), (0.072960978687499, 17), (0.0676952324810215, 5), (0.0622261448987738, 21), (0.0581341895985228, 13), (0.0344231556391739, 11), (0.026405335833208, 18), (0.0248594168907759, 1)]
37	Boufflers_Reine	[(0.1343234001913386, 1), (0.0885854627729844, 0), (0.077776094278452, 16), (0.0684100225425036, 20), (0.0638833079032217, 14), (0.0626825251201784, 24), (0.0589858727557616, 5), (0.0580889850965827, 4), (0.0504948798164203, 13), (0.0473277584077022, 11)]
38	CastilhonJL_Zingha	[(0.2478002273208847, 0), (0.1119343891881903, 21), (0.1102999250324816, 12), (0.1032519781111459, 11), (0.0576848263099749, 13), (0.0540749068460683, 5), (0.0411470440836145, 6), (0.0336912895568339, 19), (0.0306792168689652, 24), (0.029650136939292, 23)]
