	id	author	decade	gender	narration	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0	Abbes_Voyage	Abbes	1750s	M	autodiegetic	0.013567349902057034	0.05272209585242005	0.0089820107089704	0.009425269367242535	0.08845347196469827	0.05476380303372553	0.013986324617289133	0.019514867877981682	0.0036086700876978664	0.06927868303001156	0.008727807310746717	0.022107981540662267	0.022173053551029286	0.05195270649758812	0.04295270948032687	0.035366683485815835	0.1796289938163975	0.005563441273142834	0.02452817497832367	0.004796501785619683	0.08584965443233021	0.034274770984917775	0.03129752690118467	0.060117745910890814	0.05635970160892858
1	AndreSerieys_Comte	AndreSerieys	1800s	M	autodiegetic	0.0314815310565624	0.18966383576829385	0.0185426841885885	0.011387106688435957	0.030313015246510273	0.0655553502718989	0.02180354095336433	0.010027329374677625	0.029922457308062287	0.057448131234158935	0.0045764581913759865	0.07448458148105915	0.027931707114233855	0.03447134889336445	0.028047546905141444	0.07693678948752805	0.02245498035591291	0.022937676309786575	0.035958718617053805	0.006214779487344282	0.031831193181310544	0.05222628995792638	0.028850473142371935	0.026528645822382253	0.06040382896265414
2	Anonym_Enfant	Anonym	1800s	U	autodiegetic	0.002307808537641271	0.08102222472076316	0.019908708588271498	0.032932873912525217	0.03361579046376015	0.015995270934622288	0.018267102646820348	0.005259450792089037	0.022032664840608025	0.10706357969001908	0.08875230022749259	0.05668016104829471	0.02113653552402178	0.04750433095673781	0.07274317766125114	0.12914379595748335	0.009644038034475458	0.0297282009071374	0.045125990058563006	0.004434019311789271	0.020353837934628367	0.03191040476538194	0.0772161030888738	0.012879897960605976	0.0143417314361422
3	Anonym_Histoire	Anonym	1750s	U	heterodiegetic	0.03220350755428361	0.0541873169991631	0.012299866572477319	0.0031393501143108615	0.038190739316300584	0.07716162885589713	0.030393932118617285	0.026344409555027235	0.04812554020326242	0.03070707424153341	0.0018452225223810003	0.10259762858514075	0.027339639147533137	0.05016928717207616	0.009806419680974716	0.027678386997122717	0.0070228544527421895	0.03089816418631396	0.026197545231910088	0.05342738160094514	0.029925334326491335	0.03322906278468299	0.010685528321565897	0.18493006630208536	0.05149411315716044
4	Anonym_Suzon	Anonym	1770s	U	autodiegetic	0.011476331624331588	0.051813157828006565	0.014274397306968037	0.005199927160150349	0.05834352797163573	0.015567576509428282	0.0244375077190992	0.020005687711895776	0.026440052601834383	0.05497378604114813	0.05486429070198976	0.09960462754572506	0.020969776522690664	0.04755938384022995	0.026250307034737234	0.06865292067745928	0.041142782714664816	0.03206659333109817	0.07323597682310443	0.05098227916571225	0.040279344067980304	0.02632425166248166	0.04648690279466631	0.02223634252392868	0.06681226811903226
5	Anonyme_Venus	Anonyme	1780s	U	autodiegetic	0.012363374076602665	0.06491598719344194	0.03011106224650348	0.031409057957661704	0.06698015570203013	0.016688611558751804	0.035407162755684375	0.01370867576139877	0.005772922500172816	0.06245964902855981	0.0815438550683014	0.0599911521941224	0.011521647285731221	0.03260388317926956	0.06821862821040851	0.07889319898885692	0.026387274610958376	0.008976189652777251	0.039318032611920656	0.0027985326478218594	0.046253503208653915	0.013845942852048931	0.13960996028933229	0.01568787994732509	0.03453366047166293
6	Anonyme_Zoloe	Anonyme	1800s	U	heterodiegetic	0.038281408456886	0.02722457717322015	0.006882885590477911	0.029746464501644778	0.05267402452682573	0.03516344723653565	0.023862103411579585	0.008255419437405098	0.0027388222510268496	0.08038087654105319	0.0058954430456148324	0.05148304123073506	0.057381672957626445	0.04731886929042777	0.102599989064527	0.04885748634663427	0.046487849955569954	0.010387601119937832	0.016126695735027747	0.01330744266831689	0.019573402138663095	0.061855769749283245	0.1426687384478827	0.03955122875164663	0.03129474037145043
7	Arnaud_Adelson	Arnaud	1770s	M	heterodiegetic	0.004223440550482095	0.03212420367097151	0.015758184971243754	0.010379175441900425	0.016043086615457423	0.007334061406654102	0.1896084034807098	0.0052553707467634945	0.0018532603583964464	0.08647065912175642	0.00044546318944763835	0.0537084715207997	0.052816300875726675	0.10464378499215754	0.026838900277757982	0.0062793734148681585	0.01328000025205934	0.03731726400505724	0.022178564912038925	0.07909671586204724	0.016212369630073224	0.19427621788463614	0.004076026164668934	0.008746069118329534	0.011034631535995128
8	Arnaud_Anne	Arnaud	1770s	M	heterodiegetic	0.00411488753343079	0.009213045557303479	0.012646330274662654	0.0023378864771936105	0.029734638537909964	0.004275450171189315	0.18252947626872393	0.012228604045502104	0.002674174209420947	0.05557831287180333	0.00022919418507833688	0.03648533351633548	0.035505109930062645	0.06599457285080636	0.013507459895210808	0.012088996703778993	0.006641907068544427	0.11712981694846776	0.01145332533246189	0.04923851002083483	0.010262079118174025	0.25328828082137445	0.0026004237884389584	0.02265286632788095	0.04758931754540878
9	Arnaud_Bal	Arnaud	1750s	M	homodiegetic	0.013498840917217071	0.030357760752572675	0.02142247060656805	0.01604238118640324	0.12814099775505788	0.0031986555583869724	0.19062901095727305	0.012498810467393172	0.0008260946962511278	0.09134347083006483	0.0014177895327062333	0.0523728392791833	0.020478824737438815	0.0554095022972386	0.06594852082915131	0.021967434513526896	0.008881806912662403	0.016601106007201365	0.026875642622263298	0.07620551177378315	0.03538463047546833	0.051878802162566344	0.035807390242586314	0.005649139438712002	0.01716256544832236
