	id	author	decade	gender	narration	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	Abbes_Voyage	Abbes	1750s	M	autodiegetic	0.06760263713483822	0.048114554700538464	0.014478485747821852	0.06710531530597466	0.04007254633909366	0.0800534300846386	0.0161177925160523	0.08420940444719764	0.02769975653113775	0.04843327989964566	0.007274455303350983	0.06823313838317356	0.017168684515234987	0.2227601079429018	0.0017319495713949001	0.021427125536859087	0.014043548936868619	0.03998319498618347	0.06050666979934318	0.052983922317749794
1	AndreSerieys_Comte	AndreSerieys	1800s	M	autodiegetic	0.03234616902578	0.1396580613582336	0.01055713392236937	0.08835600190899369	0.04911157215060881	0.04748211737001984	0.0242270736807391	0.08554642664526255	0.03725379978527093	0.1333151337902871	0.02745748890539731	0.02724965254875613	0.03551293674219245	0.03187635482242422	0.029796733800891793	0.038465752710315944	0.020965707366591292	0.06211639463281276	0.038216192182256546	0.04048929665079578
2	Anonym_Enfant	Anonym	1800s	U	autodiegetic	0.09115581285284335	0.08122278832808386	0.13261958466979326	0.19245436358921053	0.05590000408912444	0.03268521141037866	0.020660748373187807	0.030975297871262318	0.004418037677550166	0.04998443317348285	0.03977728168378029	0.02112409468055505	0.032887867367155585	0.0157679827401911	0.019799350726625413	0.02407152563995783	0.013296468583627541	0.04669003757789147	0.01305079411474051	0.08145831485055709
3	Anonym_Histoire	Anonym	1750s	U	heterodiegetic	0.022522368781126113	0.12103809924179419	0.006357293650051204	0.036532512005357544	0.031986974454528944	0.09490345092833169	0.03411218971826966	0.0840966118891865	0.03187904704420381	0.03406837638629611	0.03347827396504207	0.0511400462667531	0.019235157553178166	0.010391833307844807	0.05639187953657366	0.028865480038245895	0.04711580530005633	0.04907502968089619	0.18530935578738392	0.021500214464879163
4	Anonym_Suzon	Anonym	1770s	U	autodiegetic	0.057466293689485394	0.12635926939332087	0.0779091403741225	0.10048354720189502	0.039772187789764796	0.09786377874789806	0.011595452815773101	0.024100181719594927	0.011024461289525197	0.06778957204969291	0.0266885502502514	0.07874437413165135	0.027299482255142917	0.046230968444621025	0.03171412735578709	0.01700966670605026	0.025680668540573645	0.052175305515765644	0.030222514707813106	0.04987045702126994
5	Anonyme_Venus	Anonyme	1770s	U	autodiegetic	0.087239922720212	0.08621966866003897	0.11756073253021684	0.11567565085979065	0.040213507078265986	0.05030922580609967	0.015538050819315554	0.028573678196211046	0.02052968405316437	0.052567425931400104	0.011173884684574668	0.038419841908758814	0.0368991747049509	0.04574750576548839	0.009070040443937126	0.009332355580784263	0.02173334908261983	0.032256588728694614	0.018952586760502294	0.161987125684973
6	Anonyme_Zoloe	Anonyme	1800s	U	heterodiegetic	0.10510927074900225	0.07382867465201347	0.0371501102828128	0.06553750820771406	0.07008499754870331	0.04082753501442656	0.037941558295498314	0.06870420078953157	0.030925440793435358	0.03664014461937536	0.012123291112290378	0.016238225598600924	0.010986232008586345	0.0741367431449802	0.005564639162883435	0.0676076809704857	0.02993228351798997	0.02382452638996285	0.046321010003106566	0.14651592713859962
7	Arnaud_Adelson	Arnaud	1770s	M	heterodiegetic	0.07235922391374047	0.04843398641515285	0.0010876841712070344	0.050385134095210046	0.1327692186590367	0.019803237090512578	0.15457741947769382	0.01160519996231112	0.0042790485779618075	0.0033094982761473655	0.03154203484301207	0.015245396868504882	0.020855960624061674	0.014638284092464631	0.0031507738094232966	0.12121054759909418	0.14636982073938892	0.12155691947705574	0.018018203502232023	0.008802407805787832
8	Arnaud_Anne	Arnaud	1760s	M	heterodiegetic	0.05068668431126619	0.043225245538419714	0.0009269367796593264	0.018828058748945636	0.14459507586979362	0.04797711683115699	0.0691685978446735	0.0058081294986888	0.004257499820603696	0.009042027556898405	0.12468703490054411	0.016065036788588317	0.01325881293992629	0.005822863434662478	0.004363712600534389	0.09247729978018254	0.13425998296943215	0.18195774310615623	0.022394464576709197	0.010197676103157558
9	Arnaud_Bal	Arnaud	1750s	M	homodiegetic	0.16928652432023572	0.06018164846317019	0.004063137425686005	0.0601611836370797	0.0763738574411598	0.048539885142019	0.030779620685831923	0.0030766569495012113	0.013533401244313062	0.0229217378322522	0.016719068645838896	0.06643903032319103	0.022783842512175786	0.016631823530751922	0.0020636227215937667	0.030164697726611917	0.17407898651304696	0.07068712632024782	0.0054954695575935835	0.1060186790076986
10	Arnaud_Batilde	Arnaud	1760s	M	heterodiegetic	0.04671358265636038	0.035884338584188706	0.0003904142995339563	0.016492229612655444	0.13126511314355355	0.024463802686911538	0.04756628506931779	0.004027525884093175	0.09798706982143478	0.0022737183673296564	0.03772364232252556	0.022133799402175275	0.012011941831708464	0.007104566013620587	0.0022329083702933997	0.023542857932340098	0.3142456443006666	0.14495209703643264	0.024846262752691098	0.0041421999121665064
11	Arnaud_Clary	Arnaud	1760s	M	mixed	0.054833710788717495	0.03774790652913364	0.0007718069361448287	0.03726564708468116	0.12319206810605716	0.06257880724955045	0.08039004854581486	0.018470431767591215	0.005064497460925606	0.009802276679579499	0.07380447475606419	0.017195163673649642	0.028741500717898414	0.016526282213765127	0.0033653050876956423	0.08133661810912082	0.2015403165061747	0.10173279152141544	0.03622989737806984	0.009410448887949308
