	id	Ranked topics
0	Abbes_Voyage	[(0.2227601079429018, 13), (0.0842094044471976, 7), (0.0800534300846386, 5), (0.0682331383831735, 11), (0.0676026371348382, 0), (0.0671053153059746, 3), (0.0605066697993431, 18), (0.0529839223177497, 19), (0.0484332798996456, 9), (0.0481145547005384, 1)]
1	AndreSerieys_Comte	[(0.1396580613582336, 1), (0.1333151337902871, 9), (0.0883560019089936, 3), (0.0855464266452625, 7), (0.0621163946328127, 17), (0.0491115721506088, 4), (0.0474821173700198, 5), (0.0404892966507957, 19), (0.0384657527103159, 15), (0.0382161921822565, 18)]
2	Anonym_Enfant	[(0.1924543635892105, 3), (0.1326195846697932, 2), (0.0911558128528433, 0), (0.081458314850557, 19), (0.0812227883280838, 1), (0.0559000040891244, 4), (0.0499844331734828, 9), (0.0466900375778914, 17), (0.0397772816837802, 10), (0.0328878673671555, 12)]
3	Anonym_Histoire	[(0.1853093557873839, 18), (0.1210380992417941, 1), (0.0949034509283316, 5), (0.0840966118891865, 7), (0.0563918795365736, 14), (0.0511400462667531, 11), (0.0490750296808961, 17), (0.0471158053000563, 16), (0.0365325120053575, 3), (0.0341121897182696, 6)]
4	Anonym_Suzon	[(0.1263592693933208, 1), (0.100483547201895, 3), (0.097863778747898, 5), (0.0787443741316513, 11), (0.0779091403741225, 2), (0.0677895720496929, 9), (0.0574662936894853, 0), (0.0521753055157656, 17), (0.0498704570212699, 19), (0.046230968444621, 13)]
5	Anonyme_Venus	[(0.161987125684973, 19), (0.1175607325302168, 2), (0.1156756508597906, 3), (0.087239922720212, 0), (0.0862196686600389, 1), (0.0525674259314001, 9), (0.0503092258060996, 5), (0.0457475057654883, 13), (0.0402135070782659, 4), (0.0384198419087588, 11)]
6	Anonyme_Zoloe	[(0.1465159271385996, 19), (0.1051092707490022, 0), (0.0741367431449802, 13), (0.0738286746520134, 1), (0.0700849975487033, 4), (0.0687042007895315, 7), (0.0676076809704857, 15), (0.065537508207714, 3), (0.0463210100031065, 18), (0.0408275350144265, 5)]
7	Arnaud_Adelson	[(0.1545774194776938, 6), (0.1463698207393889, 16), (0.1327692186590367, 4), (0.1215569194770557, 17), (0.1212105475990941, 15), (0.0723592239137404, 0), (0.05038513409521, 3), (0.0484339864151528, 1), (0.031542034843012, 10), (0.0208559606240616, 12)]
8	Arnaud_Anne	[(0.1819577431061562, 17), (0.1445950758697936, 4), (0.1342599829694321, 16), (0.1246870349005441, 10), (0.0924772997801825, 15), (0.0691685978446735, 6), (0.0506866843112661, 0), (0.0479771168311569, 5), (0.0432252455384197, 1), (0.0223944645767091, 18)]
9	Arnaud_Bal	[(0.1740789865130469, 16), (0.1692865243202357, 0), (0.1060186790076986, 19), (0.0763738574411598, 4), (0.0706871263202478, 17), (0.066439030323191, 11), (0.0601816484631701, 1), (0.0601611836370797, 3), (0.048539885142019, 5), (0.0307796206858319, 6)]
10	Arnaud_Batilde	[(0.3142456443006666, 16), (0.1449520970364326, 17), (0.1312651131435535, 4), (0.0979870698214347, 8), (0.0475662850693177, 6), (0.0467135826563603, 0), (0.0377236423225255, 10), (0.0358843385841887, 1), (0.024846262752691, 18), (0.0244638026869115, 5)]
11	Arnaud_Clary	[(0.2015403165061747, 16), (0.1231920681060571, 4), (0.1017327915214154, 17), (0.0813366181091208, 15), (0.0803900485458148, 6), (0.0738044747560641, 10), (0.0625788072495504, 5), (0.0548337107887174, 0), (0.0377479065291336, 1), (0.0372656470846811, 3)]
12	Arnaud_Epoux	[(0.2422370926247009, 16), (0.1740887178936425, 17), (0.118832993866382, 4), (0.0684252367495105, 15), (0.0652101820011687, 10), (0.0575061305749492, 1), (0.0528687740455669, 0), (0.0387406680554585, 6), (0.0351470205987745, 5), (0.0343562869019562, 11)]
