	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
plaisir	0.022132762239112803	0.0	0.008099231132897062	0.0	0.0	0.004830735425393119	0.0	0.0	0.0	0.0	0.0	0.0	0.005042169795265743	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amour	0.021832336922700566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003730066765987971	0.0	0.0	0.0	0.0	0.02280870651841273	0.0	0.0	0.0
cœur	0.017806637682776617	0.0	0.0	0.0	0.004184755424718312	0.0	0.005185370341808976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02635353973273488	0.01017011036428512	0.0	0.0
doux	0.014205825676064257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
œil	0.01217151710492998	0.0	0.0	0.0	0.02273360748063214	0.0	0.003887698174217807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003949683770274406	0.0	0.0	0.0
beau	0.012141474573288756	0.0	0.006718256239269452	0.0	0.0	0.0	0.0	0.0038414549668123483	0.0	0.0037644962161324483	0.004967210209145693	0.0	0.004254578123948724	0.004793816143051455	0.006088120292859579	0.0	0.0	0.0	0.0	0.015004994580348983
bonheur	0.01012004137285786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008616622462511476	0.004139075595386275	0.0	0.0
amant	0.010085707050982176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005938870753850862	0.0	0.0	0.0
âme	0.010081415260747715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010382663470366215	0.007391917683179819	0.005615930886673637	0.0
heureux	0.00995695334394836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004191254170475998	0.0	0.0	0.0	0.004418290319290013	0.005387104804580533	0.0	0.0
aimer	0.00994407797324498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007710276076440619	0.013072438645025705	0.0	0.0	0.0	0.024606625522799144	0.0	0.0	0.0
jour	0.00908142813611842	0.007897270432723582	0.0	0.00668319319285786	0.0	0.0	0.0	0.0	0.0	0.004365007619391998	0.00803792981212336	0.0	0.01054739600030079	0.0	0.0039887684677355865	0.0	0.0	0.01691145962990623	0.0	0.0
charme	0.00899130054119475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tendre	0.00805998206031682	0.0	0.0	0.0	0.0	0.0	0.003308000361646342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00404212996021626	0.0	0.0	0.0
beauté	0.007862559709531636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
voir	0.006905490487246945	0.0	0.006432108288337604	0.01390573180127969	0.016128108498184444	0.009836572134862323	0.0	0.009036865372747081	0.0	0.0	0.014223679546260191	0.01463333885118358	0.020944397611103855	0.004321069568390671	0.00733461043902695	0.008474894869412504	0.006397913903906967	0.009605841838851548	0.0	0.012475824105757581
nouveau	0.006304639854422475	0.006762119122583331	0.0	0.0	0.0	0.0	0.0	0.0	0.0029863235039529114	0.0	0.0	0.0	0.0	0.003284344623959128	0.0	0.0	0.0	0.004746494066882417	0.0	0.0
désir	0.0062016368887954235	0.0	0.0	0.0	0.0	0.0	0.003600508432209925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
encore	0.005815375767693978	0.0	0.0038443355146930754	0.003942916485209876	0.0059640401217244555	0.003605026436860537	0.0	0.003910727105558145	0.0	0.004306893612624945	0.0	0.014453089076495798	0.007856127977709968	0.0	0.0	0.00392594939768095	0.006598745282056513	0.010784167289021658	0.0	0.004565258974304478
jouir	0.005802500396990597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sembler	0.005544992982922966	0.0	0.0	0.0	0.004054936369571941	0.0	0.0	0.0031172462435608396	0.0	0.0	0.0	0.004550387169158896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
objet	0.005394780324716849	0.0	0.0	0.0	0.0	0.0	0.0038451515457721946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030658156820257093	0.0
vif	0.005291777359089797	0.0	0.0	0.0	0.0	0.0	0.004281254487339719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
toujours	0.005287485568855337	0.0	0.0	0.0	0.0	0.010399642930714825	0.0	0.0	0.0	0.0	0.0	0.008184811197557432	0.007970902643379282	0.0	0.0	0.0	0.0051706110374375195	0.005460127790224877	0.0029853853323429363	0.0
sentiment	0.005266026617683034	0.0	0.0	0.0	0.0	0.0	0.008020039461997884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011597215138222993	0.0	0.0	0.0
charmant	0.005197357973931666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
feu	0.005184482603228285	0.0	0.0	0.0	0.0	0.0	0.0	0.002714208345403479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nature	0.0049956438329120225	0.0	0.0	0.0	0.0	0.0	0.0	0.003438417068654987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015404777562771158	0.0
délicieux	0.004922683398926194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jeune	0.004875473706347128	0.0	0.004764985443778148	0.0	0.0	0.0034436585868296366	0.0	0.0	0.003044030238328813	0.0	0.02009925558312655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0078085481711334505
aimable	0.004759595370016695	0.0	0.0	0.0	0.0	0.0	0.003254817076089327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
goûter	0.0046952185164997875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
paraître	0.004605090921576117	0.005646483307746351	0.0	0.005631302133931862	0.0039403901444427895	0.0	0.008174270990113227	0.0024937969948486717	0.0	0.0	0.0	0.010149165884971216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sentir	0.004437711102432158	0.0	0.0	0.0	0.004310756272360378	0.0	0.0	0.0	0.0	0.0	0.0	0.006040206735455867	0.0	0.0	0.0	0.0	0.0037807303886565335	0.0055530661355904076	0.0	0.0
regard	0.004077200722737475	0.0	0.0	0.0	0.006483316342309939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grâce	0.003926988064531358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032390384901489874
bientôt	0.0038540276305455293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
joie	0.0038368604696076875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fleur	0.003832568679373227	0.0	0.0	0.0	0.0	0.0	0.0	0.003734398025114299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
donner	0.0036136873774157414	0.0080859202206552	0.004677896936972803	0.006227597065424944	0.0	0.00934560186774703	0.004435486015455063	0.0	0.005453286398522708	0.00978252447245396	0.008857674583481035	0.006820062903492799	0.008172747745073594	0.0029442988421855823	0.0	0.0	0.004019815362644089	0.0	0.004414206838472202	0.004420734947184969
animer	0.00360081200671236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
trait	0.0035707694750711366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
volupté	0.0034849336703819266	0.0	0.0029983328771554405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
imagination	0.003480641880147466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jamais	0.0034763500899130054	0.0	0.0	0.0	0.0	0.008082125935590195	0.0034994601896515963	0.0	0.0	0.0	0.004754519673874512	0.009957880409792345	0.006613395390807736	0.0	0.003057181095336815	0.0	0.01237185045394267	0.004331590739357729	0.0029995789234634257	0.0
plaire	0.0034420157680373213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005069065092240063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
esprit	0.003326137431706888	0.0	0.0	0.0	0.0	0.006104511433083842	0.003839833217216493	0.0	0.0	0.0	0.0	0.004348065993488937	0.0	0.009919384268321002	0.0	0.0	0.0	0.0	0.0058146411623604885	0.0
pur	0.0033089702707690457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
apercevoir	0.003042879276232495	0.0	0.0	0.005061806974640716	0.003986208634494451	0.0	0.0	0.004150030857589078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
éprouver	0.0030342956957635737	0.0	0.0	0.0	0.0	0.0	0.0032494987475336252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004218737034271015	0.0	0.0
temps	0.0	0.008938096848898024	0.0	0.005155606177347493	0.0	0.0039002952688319712	0.004541852586569093	0.004477499149841933	0.0	0.0	0.0	0.008317239603450495	0.004286240100685086	0.004039080383505291	0.0	0.0	0.0	0.010671313583934944	0.0	0.0
mettre	0.0	0.008183497697171555	0.010351091094578118	0.0068339419114937525	0.0	0.0038899951932980844	0.0	0.0	0.0	0.010047266058837203	0.0	0.004417958763265831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045142504941446514
moyen	0.0	0.006862949181650231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
laisser	0.0	0.006791392365538237	0.0	0.004777059394995143	0.004440575327506749	0.0	0.0	0.0	0.0	0.0	0.0	0.0045467086023285325	0.0	0.0	0.0	0.0	0.003697847597674181	0.0056626006140569245	0.0	0.0
recevoir	0.0	0.006059561291665582	0.0	0.0	0.0	0.0	0.004759904057352855	0.0	0.003087310289110739	0.0	0.0	0.0	0.007286212396455442	0.0	0.0	0.0	0.0	0.0	0.0	0.0
passer	0.0	0.005831880513127424	0.0032595983975714747	0.010669659307895882	0.0	0.003289157453821328	0.0	0.0	0.0	0.0	0.0	0.0	0.00512924023129074	0.0	0.0	0.0	0.0	0.004510828976848394	0.0	0.0
demander	0.0	0.005757071114464885	0.0	0.006408495527788014	0.0	0.0	0.0	0.0	0.0	0.0	0.0045950017724211275	0.0	0.004329775318697585	0.0	0.00442175978166741	0.0	0.0	0.0	0.0	0.0
attendre	0.0	0.005597694569488174	0.0	0.00623764698000067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
affaire	0.0	0.005483854180219094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
