al	dhtr-id	source	obvil-id	author-short	author gender	author-birth	author-death	author-name	author-gender	title-short	title-full	year-ref	year-creation	genre	available-print	editor	(all)available-digital	(all)available-google 	format	url Gallica	Full text	double-keying	for ocr model	Jiangsu	Teilkorpus description double	Teilkorpus Pilot	TEI-XML vorhanden?	protagonists	narration	setting-place	Bibliographie-ID	Form (tei-Header)	Wikidata-ID (tei-Header)	Viaf-ID (tei-Header)	
Bernardin_Chaumière	Bernardin_Chaumiere	liste2016	---	Bernardin		1737	1814	Jacques Henri Bernardin de Saint-Pierre	male	Chaumière	Chaumière Indienne	1790	1790		unter Vorbehalt: 978-2868050526		als Teil einer Gesamtausgabe: https://hdl.handle.net/2027/hvd.hwnqf4		txt, pdf	als Teil einer Gesamtausgabe ab S. 213: https://gallica.bnf.fr/ark:/12148/bpt6k202512k		0		als Teil einer Gesamtausgabe ab S. 213: https://gallica.bnf.fr/ark:/12148/bpt6k202512k	als Teil einer Gesamtausgabe ab S. 213: https://gallica.bnf.fr/ark:/12148/bpt6k202512k			sehrSchlecht			91.43	heterodiegetic	Q361976	59088938	
Bernardin_Paul	Bernardin_Paul	Bernardin	Bernardin	Bernardin		1737	1814	Jacques Henri Bernardin de Saint-Pierre	male	PaulVirginie	Paul et Virginie	1787	1787	roman	1	print			txt	https://gallica.bnf.fr/ark:/12148/bpt6k5748324q	EPUB: https://www.ebooksgratuits.com/details.php?book=1682 Pdf:https://beq.ebooksgratuits.com/vents/Saint-Pierre-Virginie.pdf 	0			ja	ja	ja 				88101	heterodiegetic	Q361976	59088938	
Bernardin_VœuxSolitaire	Bernardin_VœuxSolitaire	liste2016	---	Bernardin		1737	1814	Jacques Henri Bernardin de Saint-Pierre	male	VœuxSolitaire	VœuxSolitaire	1790	1790				Hathi		pdf	als Teil einer Gesamtausgabe ab S. 25: https://gallica.bnf.fr/ark:/12148/bpt6k202517g		0									92.38	heterodiegetic	Q361976	59088938	
Bernardin_VoyageIsle	Bernardin_VoyageIsle1	liste2016	---	Bernardin		1737	1814	Jacques Henri Bernardin de Saint-Pierre	male	VoyageIleFrance	VoyageIle France, Tome 1	1773	1773						txt	pt 1:https://gallica.bnf.fr/ark:/12148/bpt6k1019923		0										epistolary	Q361976	59088938	
Bernardin_VoyageIsle	Bernardin_VoyageIsle2	liste2016	---	Bernardin		1737	1814	Jacques Henri Bernardin de Saint-Pierre	male	VoyageIleFrance	VoyageIle France, Tome 2	1773	1773						pdf	pt2: https://gallica.bnf.fr/ark:/12148/bpt6k101993g		0										epistolary	Q361976	59088938	
Bernardin_VoyageSibérie	Bernardin_VoyageSiberie	liste2016	---	Bernardin		1737	1814	Jacques Henri Bernardin de Saint-Pierre	male	VoyageSibérie	VoyageSibérie	1807	1807						pdf	ich habe leider nichts gefunden		0											Q361976	59088938	
Boismortier_Histoire	Boismortier_Histoire	obvil-romans	6356016.xml	Boismortier		1722	1799	Suzanne Bodin de Boismortier	female	roman	Histoire de Jacques Seru et de valeureuse demoiselle Agathe Mignard	1766		roman	---		s. Gallica		txt	https://gallica.bnf.fr/ark:/12148/bpt6k63560161		0									66.12	homodiegetic	Q3505914	31987204	
Boyer_Thérèse	Boyer_Therese	liste2016	---	Boyer		1703	1771	Jean-Baptiste de Boyer, Marquis d'Argens	male	Thérèse	Thérèse philosophe…			roman	1 ISBN: 978-1530264797	Bouquins(KS)				tome 1: https://gallica.bnf.fr/ark:/12148/bpt6k15202330 tome 2: https://gallica.bnf.fr/ark:/12148/bpt6k1520015c	https://beq.ebooksgratuits.com/libertinage/DArgens_Therese_philosophe.pdf	0									60.R9	autodiegetic	Q705830	4925994	
Carmontelle_Conversations	Carmontelle_Conversations1	obvil-romans	5830251.xml	Carmontelle		1717	1806	Louis Carrogis Carmontelle	male	roman	Conversations des gens du monde dans tous les temps de l'année — Tome 1	1786		roman	---				txt	https://gallica.bnf.fr/ark:/12148/bpt6k5830251r		0									86.25	autodiegetic	Q982053	68926574	
Carmontelle_Conversations	Carmontelle_Conversations2	obvil-romans	5830276.xml	Carmontelle		1717	1806	Louis Carrogis Carmontelle	male 	roman	Conversations des gens du monde dans tous les temps de l'année — Tome 2	1786		roman	---				txt	https://gallica.bnf.fr/ark:/12148/bpt6k5830276k		0									86.25	autodiegetic	Q982053	68926574	
Carmontelle_Conversations	Carmontelle_Conversations3	obvil-romans	5653971.xml	Carmontelle		1717	1806	Louis Carrogis Carmontelle	male 	roman	Conversations des gens du monde dans tous les temps de l'année — 6e journée	1786		roman	---				txt	https://gallica.bnf.fr/ark:/12148/bpt6k5653971x		0									86.25	autodiegetic	Q982053	68926574	
Casanova_Icosaméron	Casanova_Icosameron	liste2016	---	Casanova		1725	1798	Giacomo Casanova	male	Icosaméron	Icosaméron	1788	1788		von 2007 unter Vorbehalt: ISBN Bd 1: 978-2923568027 Bd2: 978-2923568034					tome 1: https://gallica.bnf.fr/ark:/12148/bpt6k101924f tome 2:https://gallica.bnf.fr/ark:/12148/bpt6k101925t tome 3:https://gallica.bnf.fr/ark:/12148/bpt6k1019266 tome 4:https://gallica.bnf.fr/ark:/12148/bpt6k101927k tome 5:https://gallica.bnf.fr/ark:/12148/bpt6k101928z		0									88.39	heterodiegetic	Q83321	61543231	
CastilhonJ_Amusemens	CastilhonJ_Amusemens	liste2016	---	Castilhon		1720	1799	Jean Castilhon	male	Amusements	AmusementsDeuxAmis	1754	1754		---		Gallica, https://catalog.hathitrust.org/Record/009335483		txt	Gallica		0		batch1				SehrSchlecht: 64%				homodiegetic	Q2363786	56619408	
CastilhonJ_Fortunatus	CastilhonJ_Fortunatus	liste2016	---	CastilhonJ		1720	1799	Jean Castilhon	male	Fortunatus	HistoireFortunatus	1770	1770		---					gallica? http://www.sudoc.fr/099731584		0									70.34	homodiegetic	Q2363786	56619408	
CastilhonJ_HistoireJean	CastilhonJ_HistoireJean	liste2016	---	CastilhonJ		1720	1799	Jean Castilhon	male	JeanCalais	HistoireJeanCalais	1776	1776				Gallica		txt	Gallica		0						99.93%			70.35	heterodiegetic	Q2363786	56619408	
CastilhonJ_Marie	CastilhonJ_Marie	liste2016	---	CastilhonJ		1720	1799	Jean-Louis Castilhon	male	Marie-Thérèse	PrécisMarie-Thérèse	1781	1781							das Buch ist in Bücherlisten von damals verfasst, ich kann es allerdings gar nicht finden?		0										heterodiegetic	Q2363786	56619408	
CastilhonJ_Quatre	CastilhonJ_Quatre	liste2016	---	CastilhonJ		1720	1799	Jean Castilhon	male	QuatresFils	QuatresFilsAymon	1783	1783		---		Gallica		txt	Gallica		0		modernedition				99.99%			83.20	heterodiegetic	Q2363786	56619408	
CastilhonJL_CandideAnglois	CastilhonJL_CandideAnglois	liste2016	---	CastilhonJL		1720	1782	Jean-Louis Castilhon	male	CandideAnglois	CandideAnglois	1771	1771				gar kein scan gefunden!			weder gallica noch sudoc nachweisbar. Bibl. nachweis Pt.1 : http://d-nb.info/932412300 Pt 2: http://d-nb.info/932412319		0									81.R21		Q3166691	27107566	
CastilhonJL_Mendiant	CastilhonJL_Mendiant	liste2016	---	CastilhonJL		1720	1782	Jean-Louis Castilhon	male	Mendiant	Le Mendiant boiteux	1770	1770	roman	---		schlecht: https://archive.org/details/lemendiantboite00castgoog		txt	gallica? Sudoc? schlechtes OCR: archive.org: https://archive.org/details/lemendiantboite00castgoog		0			ja						70.38	homodiegetic	Q3166691	27107566	
CastilhonJL_Zingha	CastilhonJL_Zingha	liste2016	---	CastilhonJL		1720	1782		male	Zingha	Zingha reine d’Angola	1769	1769	roman	---	pdf				https://gallica.bnf.fr/ark:/12148/bpt6k85830z		0			ja						69.23	heterodiegetic	Q3166691	27107566	
Cazotte_Diable	Cazotte_Diable			Cazotte		1719	1792	Jacques Cazotte	male	Diable	Le Diable amoureux	1871	1871	roman						https://gallica.bnf.fr/ark:/12148/bpt6k55167816.r=Le%20Diable%20amoureux%201871?rk=85837;2	Wikisource: fr.wikisource.org/wiki/Le_Diable_amoureux	0					ja						Q425373	8698	
Cesarotti_Samiens	Cesarotti_Samiens	obvil-romans	6148065.xml	Cesarotti		1730	1808	Melchiorre Cesarotti	male	roman	Les Samiens, conte, traduit de l'anglois. Le Phœnix, apologue arabe. Calliste et Philetor, fragment d'une nouvelle greque [sic].	1781		roman	---				txt	https://gallica.bnf.fr/ark:/12148/bpt6k6148065c		0									81.14	heterodiegetic	Q919900	14833816	
Charrière_Lausanne	Charriere_Lausanne	liste2016	---	Charrière		1740	1805	Isabelle de Charrière	female	Lausanne	Lettres écrites de Lausanne				1 1980:978-2721001757	Bouquins(KS)				https://gallica.bnf.fr/ark:/12148/bpt6k10504109	gutenberg.org	0									85.24	autodiegetic	Q123386	46755588	
Chaussard_Nouveau	Chaussard_Nouveau1	obvil-romans	6462573.xml	Chaussard		1766	1823	Pierre-Jean-Baptiste Chaussard	male	roman	Le Nouveau Diable boiteux. Tableau philosophique et moral de Paris. Mémoires mis en lumière et enrichis de notes par le docteur Dicaculus, de Louvain... — Tome 1	1798		roman					txt	https://gallica.bnf.fr/ark:/12148/bpt6k64625732		0									99.57	heterodiegetic	Q3383151	64115537	
Chaussard_Nouveau	Chaussard_Nouveau2	obvil-romans	6462574.xml	Chaussard		1766	1823	Pierre-Jean-Baptiste Chaussard	male	roman	Le Nouveau Diable boiteux. Tableau philosophique et moral de Paris. Mémoires mis en lumière et enrichis de notes par le docteur Dicaculus, de Louvain... — Tome 2	1798		roman					txt	https://gallica.bnf.fr/ark:/12148/bpt6k6462574g		0									99.57	heterodiegetic	Q3383151	64115537	
Chevrier_Colporteur	Chevrier_Colporteur	liste2016	---	Chevrier		1721	1762	François-Antoine Chevrier	male	Colporteur	Le Colporteur				1	Bouquins(KS)	https://hdl.handle.net/2027/mdp.39015027948689		txt	https://gallica.bnf.fr/ark:/12148/bpt6k9774389g		0									62.11	heterodiegetic	Q3083281	17232686	
Constant_Laure	Constant_Laure1			Constant		1729	1800	Samuel de Constant de Rebecque	male	Laure	Laure, ou Lettres de quelques personnes de Suisse, Partie 1	1787	1787									1		batch1			ja				86.27	epistolary	Q55229494	95173854	
Constant_Laure	Constant_Laure2			Constant		1729	1800	Samuel de Constant de Rebecque	male	Laure	Laure, ou Lettres de quelques personnes de Suisse, Partie 2	1787	1787									1					ja				86.27	epistolary	Q55229494	95173854	
Cottin_Claire	Cottin_Claire			Cottin		1770	1807	Sophie Cottin	female	Claire	Claire d’Albe	1824	1824	roman						https://gallica.bnf.fr/ark:/12148/bpt6k28307j?rk=21459;2	Wikisource: https://fr.wikisource.org/wiki/Claire_d%E2%80%99Albe	0					ja						Q464409	27159707	
Crébillon_Athéniennes	Crebillon_Atheniennes	liste2016	---	Crébillon		1707	1777	Claude Prosper Jolyot de Crébillon	male	Athéniennes	LettresAthéniennes	1771	1771		unter Vorbehalt: 978-2-8124-2757-2		alle 4 Pts: https://catalog.hathitrust.org/Record/001794178			galica? Sudoc: http://www.sudoc.fr/141435879		0									71.23		Q733161	24600044	
Crébillon_Hazard	Crebillon_Hazard	liste2016	---	Crébillon		1707	1777	Claude Prosper Jolyot de Crébillon	male	Hazard	HazardDuCoinDuFeu	1763	1763		---		Gallica		txt	Gallica https://gallica.bnf.fr/ark:/12148/bpt6k6552148k	https://www.ebooksgratuits.com/pdf/crebillon_fils_le_hazard_du_coin_du_feu.pdf							99.93%			63.25	homodiegetic	Q733161	24600044	
Crébillon_Lettres	Crebillon_Lettres1	liste2016	---	Crébillon		1707	1777	Claude Prosper Jolyot de Crébillon	male	Ninon	LettresDeNinonDeLenclos	1750	1750		---	CrébillonHierEherHerausgeber	Gallica, https://catalog.hathitrust.org/Record/100726018, https://catalog.hathitrust.org/Record/008979216, https://catalog.hathitrust.org/Record/009291467, https://catalog.hathitrust.org/Record/008398533		txt, epub	https://gallica.bnf.fr/ark:/12148/bpt6k6101549q		0		batch3				RelativSchlecht :93,25% ; 93,72%			51.R13	epistolary	Q733161	24600044	
Crébillon_Lettres	Crebillon_Lettres2	liste2016	---	Crébillon		1707	1777	Claude Prosper Jolyot de Crébillon	male	Ninon	LettresDeNinonDeLenclos	1750	1750		---	CrébillonHierEherHerausgeber	Gallica, https://catalog.hathitrust.org/Record/100726018, https://catalog.hathitrust.org/Record/008979216, https://catalog.hathitrust.org/Record/009291467, https://catalog.hathitrust.org/Record/008398533		txt, epub	https://gallica.bnf.fr/ark:/12148/bpt6k6101510v		0		batch3				RelativSchlecht :93,25% ; 93,72%			51.R13	epistolary	Q733161	24600044	
Crébillon_Nuit	Crebillon_Nuit	obvil-romans	6515440.xml	Crébillon		1707	1777	Claude Prosper Jolyot de Crébillon	male	Nuit	La Nuit et le moment, ou les Matines de Cythère, dialogue (par C.-P. de Crébillon fils)	1755		roman	---	1	1 Gallica, https://catalog.hathitrust.org/Record/001362999		txt	https://gallica.bnf.fr/ark:/12148/bpt6k65154404	als Teil einer größeren Edition für angemeldete Nutzer verfügbar: http://www.sudoc.fr/150035314 oder ganz: http://www.theatre-classique.fr/pages/pdf/CREBILLONF_NUITETLEMOMENT.pdf	0									55.16	heterodiegetic	Q733161	24600044	
Diderot_Jacques	Diderot_Jacques	liste2016	---	Diderot		1713	1784	Denis Diderot	male	Jacques	Jacques le fataliste et son maître	1780	1778-1780		https://www.amazon.de/Jacques-Fataliste-maitre-Denis-Diderot/dp/2081285975 ISBN: 978-2081285972 oder als Abiausgabe: https://www.amazon.de/Jacques-Fataliste-maître-Denis-Diderot/dp/2266165976 ISBN: 978-2266165976	text				Zugriff auf Gutenberg aus Deutschland geblockt	EPUB: https://fr.wikisource.org/wiki/Jacques_le_Fataliste_et_son_ma%C3%AEtre Gutenberg.org / https://www.ebooksgratuits.com/details.php?book=184 	0			ja		ja				97.21	dialogue novel	Q448	54146831	
Diderot_Neveu	Diderot_Neveu	liste2016	---	Diderot		1713	1784	Denis Diderot	male	Neveu	Neveu De Rameau	1762	1762		https://www.amazon.de/neveu-Rameau-Alba-Longa/dp/1518699359		sehr guter Scan: https://hdl.handle.net/2027/loc.ark:/13960/t0ft9vv5g Wikisource		txt	wikisource (plusieurs editions), abu; der andere Link liefert lediglich PDF	EPUB: https://fr.wikisource.org/wiki/Le_Neveu_de_Rameau_(nouvelle_%C3%A9dition_par_Charles_Asselineau) https://beq.ebooksgratuits.com/vents/diderot-neveu.pdf https://fr.wikisource.org/wiki/Le_Neveu_de_Rameau_(%C3%A9dition_Ass%C3%A9zat)	0		Gutenberg zugang: https://onlinebooks.library.upenn.edu/webbin/gutbook/lookup?num=13862			ja					autodiegetic	Q448	54146831	
Diderot_Religieuse	Diderot_Religieuse	liste2016	---	Diderot		1713	1784	Denis Diderot	male	Religieuse	La Religieuse	1782	1780-82			text				der andere Link liefert lediglich PDF	EPUB:https://fr.wikisource.org/wiki/La_Religieuse https://beq.ebooksgratuits.com/vents/Diderot-religieuse.pdf 	0			ja		ja				97.22	autodiegetic	Q448	54146831	
Doppet_Memoires	Doppet_Memoires	obvil-romans	5813528.xml	Doppet		1753	1799	François Amédée Doppet 	male	roman	Mémoires de Mme de Warens, suivis de ceux de Claude Anet, publiés par un C. D. M. D. P. (F.-A. Doppet) ; pour servir d'apologie aux Confessions de J.-J. Rousseau	1786		roman	---				txt	https://gallica.bnf.fr/ark:/12148/bpt6k5813528x		1		batch4			ja				86.32	autodiegetic	Q3083791	50008429	
Dorat_Malheurs	--	liste2016	---	Dorat		1734	1780	Claude-Joseph Dorat	male	Malheurs	Les Malheurs de l’inconstance	1772	1772		1 ausgabe von 1983: https://www.amazon.de/Malheurs-linconstance-Lettres-Marquise-Mirbelle/dp/2904227016 ISBN: 978-2904227011	Bouquins(KS)	Part 1 als recht guter Scan: https://catalog.hathitrust.org/Record/001363093 beide Teile: https://catalog.hathitrust.org/Record/100806428			s. die beiden nächsten zeilen	schlechtes OCR: https://archive.org/details/lesmalheursdeli00doragoog oder Corvey	0			ja						72.19	epistolary	Q361456	46760144	
Dorat_Malheurs	Dorat_Malheurs1	obvil-romans	6527463.xml	Dorat		1734	1780	Claude-Joseph Dorat	male	roman	Les Malheurs de l'inconstance, ou Lettres de la marquise de Circé et du comte de Mirbelle — Partie 1	1772		roman		1	1		txt	https://gallica.bnf.fr/ark:/12148/bpt6k65274631		0									72.19	epistolary	Q361456	46760144	
Dorat_Malheurs	Dorat_Malheurs2	obvil-romans	6513595.xml	Dorat		1734	1780	Claude-Joseph Dorat	male	roman	Les Malheurs de l'inconstance, ou Lettres de la marquise de Circé et du comte de Mirbelle — Partie 2	1772		roman		1	1		txt	https://gallica.bnf.fr/ark:/12148/bpt6k6513595t		0									72.19	epistolary	Q361456	46760144	
Dorat_Sacrifices	Dorat_Sacrifices1	liste2016	---	Dorat		1734	1780	Claude-Joseph Dorat	male	Sacrifices	Les Sacrifices de l’amour, Partie 1	1771	1771		print von 1994. ISBN: 2070741036	pdf	gallica schlechter Scan. Besser: 2 Pts: https://catalog.hathitrust.org/Record/008399914		txt (Seafile-Text)	Pt 1: https://gallica.bnf.fr/ark:/12148/bpt6k9769168w 	schlechtes OCR: https://archive.org/details/lessacrificesdel00dorauoft	0			ja						71.25	epistolary	Q361456	46760144	
Dorat_Sacrifices	Dorat_Sacrifices2	liste2016	---	Dorat		1734	1780	Claude-Joseph Dorat	male	Sacrifices	Les Sacrifices de l’amour, Partie 2	1771	1771		print von 1994. ISBN: 2070741036	pdf	gallica schlechter Scan. Besser: 2 Pts: https://catalog.hathitrust.org/Record/008399914		pdf	Pt 2: https://gallica.bnf.fr/ark:/12148/bpt6k1056820x Partie 2 nur PDF	schlechtes OCR: https://archive.org/details/lessacrificesdel00dorauoft	0			ja						71.25	epistolary	Q361456	46760144	
Duclos_Acajou	Duclos_Acajou	liste2016	---	Duclos		1704	1772	Charles Pinot Duclos	male	AcajouZirphile	Acajou et Zirphile						Wikisource		epub	wikisource		0					ja				61.R19	heterodiegetic	Q982034	66731528	
Ducray_Cinquante	Ducray_Cinquante1	obvil-romans	5714996.xml	Ducray-Duminil		1761	1819	François Guillaume Ducray-Duminil	male	roman	Les Cinquante francs de Jeannette, par le Cen Ducray-Duminil — Tome 1	1798		roman					txt	https://gallica.bnf.fr/ark:/12148/bpt6k97947457		1		forocr			ja				99.76	heterodiegetic	Q2072208	22151844	
Ducray_Cinquante	Ducray_Cinquante2	obvil-romans	5715033.xml	Ducray-Duminil		1761	1819	François Guillaume Ducray-Duminil	male	roman	Les Cinquante francs de Jeannette, par le Cen Ducray-Duminil — Tome 2	1798		roman						Link führt zu Tome 1; https://gallica.bnf.fr/ark:/12148/bpt6k97947457		0		batch4							99.76	heterodiegetic	Q2072208	22151844	
Ducray_Coelina	Ducray_Coelina	liste2016	---	Ducray-Duminil		1761	1819	François Guillaume Ducray-Duminil	male	Coelina	Coelina	1798	1798				Gallica		txt	Tome 1 : gallica ; Tome 2 : gallica ; Tome 3 : gallica ; Tome 4 : gallica ; Tome 5: gallica ; Tome 6: gallica		0						98,3%; 98,74%; 98,97%; 99,05%; 98,51%; 99,33%				heterodiegetic	Q2072208	22151844	
Ducray_Soirées	--	liste2016	---	Ducray-Duminil		1761	1819	François Guillaume Ducray-Duminil	male	Chaumière	SoiréesDeLaChaumière	1794	1794				Gallica		txt	beide bereits in den vorherigen Zeilen Tome 1 : gallica https://gallica.bnf.fr/ark:/12148/bpt6k54214555 ; Tome 2 : gallica https://gallica.bnf.fr/ark:/12148/bpt6k61522323		0						99.99%			95.18	heterodiegetic	Q2072208	22151844	
Ducray_Soirées	Ducray_Soirees1	obvil-romans	5421455.xml	Ducray-Duminil		1761	1819	François Guillaume Ducray-Duminil	male	roman	Les Soirées de la chaumière, ou les Leçons du vieux père... par le Citoyen Ducray-Duminil — Tome 1	1794		roman						https://gallica.bnf.fr/ark:/12148/bpt6k54214555		0		batch4							95.18	heterodiegetic	Q2072208	22151844	
Ducray_Soirées	Ducray_Soirees2	obvil-romans	6152232.xml	Ducray-Duminil		1761	1819	François Guillaume Ducray-Duminil	male	roman	Les Soirées de la chaumière, ou les Leçons du vieux père... par le Citoyen Ducray-Duminil — Tome 2	1794		roman						https://gallica.bnf.fr/ark:/12148/bpt6k61522323		0		forocr							95.18	heterodiegetic	Q2072208	22151844	
Ducray_Victor	Ducray_Victor	liste2016	---	Ducray-Duminil		1761	1819	François Guillaume Ducray-Duminil	male	Victor	Victor ou l'enfant de la forêt	1797	1797		ISBN: 978-3849135188				txt	tome1: https://gallica.bnf.fr/ark:/12148/bpt6k992867r tome 2: https://gallica.bnf.fr/ark:/12148/bpt6k9928684 tome 3: https://gallica.bnf.fr/ark:/12148/bpt6k992869h	gutenberg.org	0									97.R44	heterodiegetic	Q2072208	22151844	
Dulaurens_Compère	Dulaurens_Compere	liste2016	---	Dulaurens		1719	1793	Henri-Joseph Dulaurens	male	Compère	Le Compère Mathieu	1766	1766			pdf	bester Scan https://hdl.handle.net/2027/mdp.39015065821384 		txt	alle drei Bände in einem: https://gallica.bnf.fr/ark:/12148/bpt6k937165r	schlechtes OCR: https://archive.org/details/lecompremathieu01laurgoog; Mit Account als pdf aus einer Kindle Version: https://velu.alameda.courts.ca.gov/6wqizctr1tk3/12-wyman-halvorson/read-9780243295593-le-compere-mathieu-ou-les-bigarrures-de-l-esprit.pdf	0			ja						66.21	autodiegetic	Q345858	52123823	
Dulaurens_Imirce	Dulaurens_Imirce	liste2016	---	Dulaurens		1719	1793	Henri-Joseph Dulaurens	male	Imirce	Imirce ou la Fille de nature	1765	1765		https://www.amazon.de/Imirce-fille-nature-Joseph-Dulaurens/dp/1314945882	print	Schlechte Scans: Gallica und dieser hier: https://catalog.hathitrust.org/Record/001794903		epub	https://gallica.bnf.fr/ark:/12148/bpt6k82177z	EPUB: https://archive.org/details/imirceoulafil00dula	0			ja		ja				65.21	autodiegetic	Q345858	52123823	
Dulaurens_Je	Dulaurens_Je1	liste2016	---	Dulaurens		1719	1793	Henri-Joseph Dulaurens	male	Pucelle	JeSuisPucelle, Partie 1	1767	1767				Gallica		txt	Partie 1 : https://gallica.bnf.fr/ark:/12148/bpt6k56965579		0						sehr schlecht : 80,1%			67.30	autodiegetic	Q345858	52123823	
Dulaurens_Je	Dulaurens_Je2	liste2016	---	Dulaurens		1719	1793	Henri-Joseph Dulaurens	male	Pucelle	JeSuisPucelle, Partie 2	1767	1767				Gallica		txt	Partie 2 : https://gallica.bnf.fr/ark:/12148/bpt6k56967058		0						sehr schlecht : 82,29%			67.30	autodiegetic	Q345858	52123823	
Duras_Édouard	Duras_Edouard	liste2016	---	Duras		1777	1828	Claire de Duras	female	Édouard	Édouard				1 unter Vorbehalt: 978-1523299645	Bouquins(KS)			txt	https://gallica.bnf.fr/ark:/12148/bpt6k937468t	gutenberg.org	0					ja					autodiegetic	Q462578	207247138	
Duras_Ourika	Duras_Ourika	liste2016	---	Duras		1777	1828	Claire de Duras	female	Ourika	Ourika				1 unter Vorbehalt: 978-1517403737	Bouquins(KS)			txt	https://gallica.bnf.fr/ark:/12148/bpt6k10455684	gutenberg.org	0					ja					autodiegetic	Q462578	207247138	
Épinay_Conversations	Epinay_Conversations	obvil-romans	5657352.xml	Épinay		1726	1783	Louise d'Épinay	female	roman	Les conversations d'Émilie	1781		roman	---		beide Bände mit OCR: https://catalog.hathitrust.org/Record/100033822		txt	https://gallica.bnf.fr/ark:/12148/bpt6k5657352r		0									74.14	dialogue novel	Q264254	51720337	
Fiévée_Dot	Fievee_Dot	obvil-romans	5732577.xml	Fiévée		1767	1839	Joseph Fiévée	male	roman	La Dot de Suzette, ou Histoire de Mme de Senneterre racontée par elle-même. [Par J. Fiévée.]	1797		roman					txt	https://gallica.bnf.fr/ark:/12148/bpt6k5732577d		0									98.41	heterodiegetic	Q3184948	12413966	
Florian_Estelle	Florian_Estelle	liste2016	---	Florian		1755	1794	Jean-Pierre Claris de Florian	male	Estelle	Estelle	1788	1788				Gallica		txt	gallica		1		batch1			ja	99.96%			88.53	heterodiegetic	Q551740	24601427	
Florian_Galatee	Florian_Galatee	liste2016	---	Florian		1755	1794	Jean-Pierre Claris de Florian	male	Galatée	Galatée	1783	1783				Gallica		txt	gallica		1		batch3			ja	91.96%			83.26	heterodiegetic	Q551740	24601427	
Florian_Gonzalve	Florian_Gonzalve	liste2016	---	Florian		1755	1794	Jean-Pierre Claris de Florian	male	Gonzalve	GonzalveDeCordoue	1790	1790				Gallica		txt	gallica		0						99.96%			91.21	heterodiegetic	Q551740	24601427	
Florian_Numa	Florian_Numa	liste2016	---	Florian		1755	1794	Jean-Pierre Claris de Florian	male	NumaPompilius	NumaPompilius	1786	1786				Gallica		txt	gallica		0						96.55%			86.34	autodiegetic	Q551740	24601427	
Fougeret_Margot	Fougeret_Margot	liste2016	---	Fougeret		1706	1761	Louis Charles Fougeret de Monbron	male	Margot	Margot la Ravaudeuse	1800			1 unter Vorbehalt: 978-1523855414	Bouquins(KS)			txt	https://gallica.bnf.fr/ark:/12148/bpt6k8597629	gutenberg.org	0											Q1871391	41840185	
Fourqueux_Zely	Fourqueux_Zely			Fourqueux		N/A	N/A	Marie-Louise Auget de Monthyon, Madame de Fourqueux	female		Zély								txt	https://gallica.bnf.fr/ark:/12148/bpt6k98038829		1		batch4			ja				75.28	heterodiegetic	Q33141030	302472466	
Gauchat_Philosophe	Gauchat_Philosophe1	obvil-romans	6340308.xml	Gauchat		1709	1777	Gabriel Gauchat	male	roman	Le Philosophe du Valais, ou Correspondance philosophique — Partie 1	1772		roman	---				txt	https://gallica.bnf.fr/ark:/12148/bpt6k9629625h		0									72.21	autodiegetic	Q21546215	89773436	
Gauchat_Philosophe	Gauchat_Philosophe2	obvil-romans	6531753.xml	Gauchat		1709	1777	Gabriel Gauchat	male	roman	Le Philosophe du Valais, ou Correspondance philosophique — Partie 2	1772		roman	---				txt	https://gallica.bnf.fr/ark:/12148/bpt6k65317533		0									72.21	autodiegetic	Q21546215	89773436	
Genlis_Adèle	Genlis_Adele1	liste2016	---	Genlis		1746	1830	Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	female	Adèle	Adèle et Théodore, Tome 1	1782	1782		---		https://catalog.hathitrust.org/Record/008679090		txt	https://gallica.bnf.fr/ark:/12148/bpt6k5478136b		0		notanovel							82.20	epistolary	Q55037230	71391471	
Genlis_Adèle	Genlis_Adele2	liste2016	---	Genlis		1746	1830	Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	female	Adèle	Adèle et Théodore, Tome 2	1782	1782		---		https://catalog.hathitrust.org/Record/008679090		txt	https://gallica.bnf.fr/ark:/12148/bpt6k54791179		0		notanovel							82.20	epistolary	Q55037230	71391471	
Genlis_Adèle	Genlis_Adele3	liste2016	---	Genlis		1746	1830	Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	female	Adèle	Adèle et Théodore, Tome 3	1782	1782		---		https://catalog.hathitrust.org/Record/008679090		txt	https://gallica.bnf.fr/ark:/12148/bpt6k5471501b		0		notanovel							82.20	epistolary	Q55037230	71391471	
Genlis_Chevaliers 	Genlis_Chevaliers1	liste2016	---	Genlis		1746	1830	Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	female	Chevaliers	Les Chevaliers du cygne, Tome 1	1795	1795				3Bde: https://catalog.hathitrust.org/Record/100645920		txt	tome 1: https://gallica.bnf.fr/ark:/12148/bpt6k5493711k		0									95.20	heterodiegetic	Q55037230	71391471	
Genlis_Chevaliers 	Genlis_Chevaliers2	liste2016	---	Genlis		1746	1830	Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	female	Chevaliers	Les Chevaliers du cygne, Tome 2	1795	1795				3Bde: https://catalog.hathitrust.org/Record/100645920		txt	tome 2: https://gallica.bnf.fr/ark:/12148/bpt6k5493356s		0									95.20	heterodiegetic	Q55037230	71391471	
