al	dhtr-id	source	obvil-id	author-short	author gender	author-birth	author-death	author-name	author-gender	title-short	title-full	year-ref	year-creation	genre	available-print	editor	(all)available-digital	(all)available-google 	format	url Gallica	Full text	double-keying	for ocr model	Jiangsu	Teilkorpus description double	Teilkorpus Pilot	TEI-XML vorhanden?	protagonists	narration	setting-place	Bibliographie-ID	Form (tei-Header)	Wikidata-ID (tei-Header)	Viaf-ID (tei-Header)	
Pelleport_Bohemiens2	Pelleport_Bohemiens2	googlebooks	---	Pelleport		1754	1807	Anne-Gedeon La Fite de PELLEPORT	female	Bohemiens	Les Bohémiens	1790		roman							https://books.google.de/books?id=Jbg5AAAAcAAJ&dq=Les%20Bohemiens&hl=de&source=gbs_similarbooks										90.44	heterodiegetic			
Mayer_Romans1 	Mayer_Romans1 	googlebooks	---	Mayer		1751	1825	Charles-Joseph Mayer	male	Romans	Romans de monsieur de Mayer	1790		roman							https://books.google.de/books?id=aEJj6i9gWy0C&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false										90.49	heterodiegetic			
Mayer_Romans2	Mayer_Romans2	googlebooks	---	Mayer		1751	1825	Charles-Joseph Mayer	male	Romans	Romans de monsieur de Mayer	1790		roman							https://books.google.de/books?id=Ircrn7NvcE0C&printsec=frontcover&dq=romans+de+monsieur+de+mayer&hl=de&sa=X&ved=2ahUKEwjuleX4w7bsAhWOzaQKHZcbAOkQ6AEwAHoECAUQAg#v=onepage&q=romans%20de%20monsieur%20de%20mayer&f=false										90.49	heterodiegetic			
Pochet_Boussole1	Pochet_Boussole1	googlebooks	---	Pochet				A Pochet	male	Boussole	La boussole nationale ou aventures histori-rustiques de Jaco	1790		roman							https://books.google.de/books?id=0V8B0JwHXB0C&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false										90.56	heterodiegetic			
Pochet_Boussole2	Pochet_Boussole2	googlebooks	---	Pochet				A Pochet	male	Boussole	La boussole nationale ou aventures histori-rustiques de Jaco	1790		roman							https://books.google.de/books?id=dviDwZgEX7MC&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false										90.56	heterodiegetic			
Menard_Veillees	Menard_Veilees	googlebooks	---	Menard				Madame Menard	female	Veilees	Les veillées d'une femme sensible	1796		roman							https://books.google.de/books?id=kLK0TXw4EMgC&pg=PA15&dq=Les+veillees+d%27une+femme+sensible&hl=de&sa=X&ved=2ahUKEwjWrcuRurbsAhXD_aQKHReIDnMQ6AEwAHoECAEQAg#v=onepage&q&f=false										96.43	homodiegetic			
Fievee_Frederic1	Fievee_Frederic1	googlebooks	---	Fievee				Joseph Fiévée	male	Frederic	Frédéric	1798		roman							https://books.google.de/books?id=--U5AAAAcAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false										99.83	autodiegetic			
Fievee_Frederic2	Fievee_Frederic2	googlebooks	---	Fievee				Joseph Fiévée	male	Frederic	Frédéric	1798		roman							https://books.google.de/books?id=COY5AAAAcAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false										99.83	autodiegetic			
Fievee_Frederic3	Fievee_Frederic3	googlebooks	---	Fievee				Joseph Fiévée	male	Frederic	Frédéric	1798		roman							https://books.google.de/books?id=COY5AAAAcAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=falsehttps://books.google.de/books?id=HeY5AAAAcAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false										99.83	autodiegetic			
Guizot_Contradictions	Guizot_Contradictions	googlebooks	---	Guizot		1773	1727	Madame Guizot (Elisabeth Charlotte Pauline)	female	Contradictions	Les contradictions, ou ce qui peut en arriver	1799		roman							https://books.google.de/books?id=8lgGAAAAQAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false										99.92	autodiegetic			
Blanchard_Philetas.epub	Blanchard_Philetas.epub	googlebooks	---	Blanchard		1753	1809	Pierre Blanchard	male	Philetas	Philétas 	1800		roman							https://books.google.de/books?id=G-UFAAAAQAAJ&pg=PA149&dq=Philétas&hl=de&sa=X&ved=2ahUKEwjF3dH1vbbsAhVEsKQKHdMcC0sQ6AEwAHoECAAQAg#v=onepage&q&f=false										0.5	autodiegetic			
Bruno_Lioncel1	Bruno_Lioncel1	googlebooks	---	Bruno				Louis de Bruno	male	Lioncel	Lioncel, Ou L'Émigré	1800		roman							https://books.google.de/books?id=Gb45AAAAcAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false										0.55	heterodiegetic			
