	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
0	arriver	roi	dieu	comte	point	temps	prendre	jamais	enfant	crime	voir	voir	voir	fortune	homme	durut	fleur	ami	foutre	ennemi	heure	manger	prince	savoir	point	œil	lettre	jour	point	fille	père	main	amour	plaisir	terre	jouer	cœur	femme	maître	ouvrage
1	trouver	peuple	religion	marquise	croire	rendre	rendre	instant	point	homme	savoir	cri	esclave	riche	nature	bon	arbre	voir	con	arme	chambre	grand	chevalier	point	père	beau	écrire	vie	voir	duc	mère	œil	amant	cœur	mer	air	aimer	mari	jacque|jacques	livre
2	homme	prince	homme	marquis	jamais	trouver	jour	fille	apprendre	malheureux	suivre|être	voix	venir	homme	loi	duchesse	berger	parler	cul	combat	lit	petit	isambard	voir	mylord	petit	suivre|être	douleur	jour	cul	fille	voir	plaisir	âme	eau	rire	amour	homme	là	lire
3	maison	grand	fil|fils	chevalier	moins	paraître	trouver	servir	savoir	punir	là	entendre	vivre	argent	vertu	chevalier	jour	homme	vit	troupe	nuit	donner	trouver	homme	vertu	grand	ami	mort	grand	là	enfant	mot	cœur	bonheur	île	esprit	ami	beau	voilà	auteur
4	cheval	souverain	vérité	baron	savoir	prendre	demander	voir	donner	coupable	bon	œil	apprendre	maison	mal	petit	jardin	grand	mettre	soldat	porte	homme	heure	moins	fille	air	adieu	larme	beau	foutre	fil|fils	répondre	beau	sentiment	vaisseau	personne	point	jeune	hôte|hôtesse	histoire
5	partir	sujet	esprit	faublas	amour	état	donner	devenir	homme	horreur	petit	coup	ciel	donner	vice	monseigneur	berger|bergère	beaucoup	ange	coup	sortir	vin	duchesse	mal	amour	blanc	cher	mourir	roi	bouche	sœur	venir	œil	heureux	montagne	jeune	bonheur	plaisir	diable	grand
6	venir	gloire	grand	commandeur	paraître	peine	mettre	là	âge	cruel	croire	jeter	rendre	payer	seul	baiser	beau	croire	décharger	armer	passer	bon	donner	vivre	œil	cheveu	croire	vivre	monde	décharger	frère	parler	doux	objet	soleil	point	âme	trouver	homme	esprit
7	voiture	monarque	raison	heure	vérité	voir	projet	trouver	voir	mort	chose	main	jour	pauvre	principe	ci	bois	penser	fille	rendre	venir	mettre	parole	sentir	larme	voir	recevoir	malheureux	fort	homme	cher	regarder	tendre	toujours	vent	ton	sentiment	fille	savoir	écrire
8	heure	nation	monde	venir	raison	long	temps	voilà	toujours	vengeance	venir	frapper	connaître	grand	société	cependant	lieu	amitié	saint	épée	mettre	pain	jamais	mieux	ami	noir	voir	encore	savoir	petit	bon	prendre	désir	idée	point	monde	jamais	aimer	femme	temps
9	voir	citoyen	lumière	sœur	conduite	cependant	ordre	venir	jamais	venger	encore	tomber	homme	gens	raison	dame	venir	point	plaisir	guerre	entrer	boire	princesse	prendre	aimer	pied	savoir	dernier	duc	évêque	voir	entendre	feu	temps	nature	jeu	suivre|être	moins	tête	lecture
