	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
0	main	ennemi	cœur	homme	saint	lettre	femme	donner	père	temps	voir	homme	roi	fortune	bon	point	petit	foutre	plaisir	voir	comte	crime	ami	terre	esprit	croire	homme	voir	amour	arriver
1	bras	arme	point	loi	dieu	ami	homme	moyen	mère	jour	œil	nature	prince	argent	marquise	milord	maître	fille	amour	paraître	chevalier	homme	voir	arbre	livre	moins	point	nuit	cœur	partir
2	œil	troupe	vie	vertu	père	écrire	fille	mettre	enfant	état	coup	point	peuple	homme	petit	ami	mettre	cul	cœur	air	grand	malheureux	parler	montagne	ouvrage	encore	enfant	heure	aimer	cheval
3	voir	combat	âme	dieu	point	cher	beau	point	fille	vie	main	corps	princesse	riche	rire	miss	là	con	œil	parler	duc	mort	point	mer	auteur	point	toujours	porte	sentiment	voiture
4	écrier	soldat	larme	nature	grand	voir	mari	projet	fil|fils	encore	paraître	chose	grand	payer	beau	mylord	manger	là	doux	œil	duchesse	horreur	toujours	eau	lire	paraître	moins	là	point	homme
5	jeter	armer	ami	raison	église	sœur	voir	laisser	frère	passer	terre	voir	cour	grand	joli	cœur	bon	mettre	beau	répondre	vicomte	coupable	plaisir	bord	grand	chose	voir	chambre	croire	maison
6	mot	guerre	douleur	religion	religieux	aimer	jeune	seul	jeune	voir	voix	idée	souverain	pauvre	fort	fortune	donner	décharger	âme	entendre	jamais	sang	croire	voir	histoire	voir	jamais	entendre	jamais	heure
7	larme	général	malheureux	vérité	couvent	croire	là	paraître	bon	peine	feu	animal	trône	donner	mettre	amitié	grand	vit	amant	regarder	personne	punir	moment	bois	art	temps	donner	ami	passion	jour
8	moment	armée	seul	mal	moine	adieu	bon	ordre	famille	long	frapper	terre	palais	gens	là	personne	tête	duc	heureux	demander	heure	voir	beaucoup	beau	talent	penser	apprendre	lit	vertu	grand
9	entendre	donner	jour	peuple	supérieur	puis	monde	connaître	sœur	mal	tête	sen|sens	sujet	maison	dame	sentiment	beau	bouche	charme	jeune	jour	affreux	aimer	lieu	pièce	assez	âge	homme	bonheur	demander
10	genou	coup	malheur	principe	religion	mère	croire	attendre	donner	moins	tomber	âme	reine	travail	marquis	heureux	vin	plaisir	bonheur	mot	moi|mois	cruel	penser	fleur	goût	tant	goût	ici	âme	passer
11	tomber	chevalier	encore	vice	prêtre	parler	grand	demander	voir	moment	lumière	mouvement	ministre	bon	encore	comte	boire	petit	beauté	reprendre	donner	monstre	chose	soleil	écrire	donner	esprit	maison	seul	route
12	lever	guerrier	ciel	humain	compère	encore	voilà	servir	jour	sentir	pied	grand	esclave	somme	abbé	lady	table	voir	tendre	apercevoir	beaucoup	vie	encore	petit	genre	jamais	bon	sortir	connaître	conduire
13	voix	épée	jamais	sage	curé	jour	aimer	part	homme	perdre	entendre	objet	empire	ville	moins	sir	voilà	branler	jour	croire	toujours	vengeance	temps	pays	beau	beaucoup	soin	point	sentir	voir
14	reprendre	roi	vivre	esprit	ciel	recevoir	fort	refuser	vieillard	vivre	apercevoir	partie	gloire	vivre	comte	lord	encore	foi|fois	aimer	personne	recevoir	main	ange	vaisseau	théâtre	là	chose	coucher	voir	arrêter
15	pied	combattre	mort	droit	bon	donner	honnête	assurer	époux	nouveau	grand	matière	nation	terre	cependant	homme	tirer	baiser	désir	donner	baron	scélérat	souvent	là	roman	autant	mieux	passer	encore	suivre
