	id	author	decade	gender	narration	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
0	Abbes_Voyage	Abbes	1750s	M	autodiegetic	0.010249725194482216	0.010781370198890467	0.01595877446109688	0.031003659428514102	0.0021789984082191166	0.0071070557995700995	0.0092912310013145	0.014885027941494699	0.003058053235462483	0.07453372970654194	0.04091368996690838	0.05050131477414968	0.013407160310754432	0.03207917216058823	0.0303945443853721	0.005978652725781251	0.03995650316211913	0.003815913077073917	0.03884727115725133	0.0765838755327543	0.008039615229619516	0.014356960178047084	0.019983432457356266	0.051249543456962005	0.2102162162531318	0.045956469206740645	0.062031368665660225	0.05273740475499916	0.010809727454061701	0.013093539715080866
1	AndreSerieys_Comte	AndreSerieys	1800s	M	autodiegetic	0.04073670519328888	0.02255066283882599	0.026837772313281168	0.02898468149005716	0.029766201677045228	0.01712995004007813	0.03549933192623197	0.08187241332746929	0.018827273747418216	0.07253314570089894	0.03355070750884171	0.013501172284399838	0.020643473712632397	0.05346669287113927	0.014149516830021039	0.008177205562547396	0.05463003344878908	0.003720043952137405	0.02779344505234783	0.03838879744656775	0.016229727929911484	0.028666330656951778	0.021560140879207563	0.07333172117776446	0.019472304435468085	0.014113045432031006	0.029065127344130394	0.028738392423700843	0.01740044051605115	0.10866354228076314
2	Anonym_Enfant	Anonym	1800s	U	autodiegetic	0.062063246712512156	0.003932416088466909	0.024421484854953195	0.008903418332972193	0.02248941078448193	0.013776672987724775	0.029146005044506224	0.04163260739918118	0.02369289833391312	0.052143404721452874	0.02275271867025908	0.012091504128758472	0.004576070240063629	0.015238910186120476	0.048637355303204205	0.0069863349835475996	0.09222888660069309	0.08875312853646788	0.08759573655996483	0.045429578847290084	0.03242072751857291	0.015830700427144153	0.017332219398411355	0.017434465110082613	0.010518361556074836	0.010548543271238426	0.01788168744883694	0.06984073056303258	0.01610348382244945	0.08559729156762143
3	Anonym_Histoire	Anonym	1750s	U	heterodiegetic	0.02257608492964227	0.02125033507229924	0.022235123292091912	0.1562893177953288	0.043053710839459705	0.008145812721778087	0.03524424537869167	0.09013655491838088	0.023769489368448738	0.06390926962444217	0.017557783271588297	0.045069465212819224	0.02073971478597313	0.025072190550131237	0.00941440057855165	0.026608624203216066	0.02659977717339598	0.0023607973469713136	0.016710705702627865	0.027416147094803136	0.0041848104331027565	0.020494829206438657	0.0355245864266535	0.07059579023617008	0.012402690277330064	0.020779831656007657	0.05400100556662781	0.015239081565622141	0.04331365683307071	0.019304167938333845
4	Anonym_Suzon	Anonym	1770s	U	autodiegetic	0.03207534050240369	0.008536655464620242	0.02121297253162961	0.01881269093115044	0.028797996368581102	0.012423464181426144	0.03593971325872943	0.08306815965002876	0.02497390124249947	0.07387160601496053	0.016020340509401754	0.015932387526465017	0.005481404213086787	0.039087547061785716	0.02721461146146644	0.009747555045030878	0.05767154807444973	0.05864431056795562	0.04907279349094702	0.03739921655289459	0.003387610108338353	0.012551801961685777	0.039143473490040354	0.014194245107496416	0.044390502113728705	0.040195574210523353	0.0703144645026438	0.0402054696685372	0.021245876723559525	0.05838676746393217
5	Anonyme_Venus	Anonyme	1780s	U	autodiegetic	0.050029631206975435	0.01818994305915773	0.01567650329562088	0.01173273729997884	0.005822220148469591	0.023413195646499005	0.045794724070981646	0.05461102824771272	0.005631668740694833	0.03275814173441475	0.015129890008445139	0.014057879640697088	0.00880282765038716	0.020928220379933374	0.13290545371094808	0.008074974189692845	0.06382201380637854	0.07198102108606294	0.09773736092026028	0.033634850798457995	0.01296637304320373	0.005259210814190805	0.02465949509289043	0.015756882130458755	0.03730443570616592	0.019556726456220617	0.033290947726803265	0.03556697193456147	0.019722233513594693	0.06518243794014002
6	Anonyme_Zoloe	Anonyme	1800s	U	heterodiegetic	0.039895675538675256	0.017009197236221265	0.02444314733498925	0.030582530120683977	0.0053962747990633	0.007329808732218305	0.024794686783742956	0.0427650560685873	0.006489523359371773	0.0170633426852779	0.07680219755442606	0.02120149924636227	0.021695478786079907	0.02886190621141522	0.14105546947446881	0.04058650953254504	0.03880210861709267	0.005142227083406817	0.10600326528832554	0.05713065297540227	0.00830333442737328	0.03904228780250014	0.017799154336251625	0.02093904137149628	0.05158850037689603	0.009544168246112102	0.02005118941421696	0.03589938915497556	0.027039087965570807	0.01674328947624989
7	Arnaud_Adelson	Arnaud	1770s	M	heterodiegetic	0.10870579588312598	0.0036169349707049214	0.15334985929206507	0.014210210880451102	0.002762230042101219	0.02186281287982979	0.01214491523542452	0.04393343872381528	0.02085500398644182	0.04083072492611733	0.02481735536252743	0.003259065082844519	0.00164229212300415	0.004090790247642561	0.003446170999424846	0.1578268891431742	0.0025337694871952693	0.0002762771174977347	0.058936092667233285	0.023606018849374903	0.004369404654527985	0.09416434563260573	0.017485386459633327	0.008613871583934741	0.00871169124050755	0.009964344100430471	0.013074485386212836	0.020240457595896415	0.09105402735462767	0.029615338091625927
8	Arnaud_Anne	Arnaud	1770s	M	heterodiegetic	0.11854714350254891	0.0018533568638159999	0.24738847092460428	0.025579991010424383	0.0013667891961647316	0.014815720905707725	0.019440787431675405	0.028389086662903313	0.09560866638571183	0.03498739407868954	0.01535479326778238	0.0034497657853970846	0.0019736860768070417	0.02006825736932326	0.0067753740792935516	0.08654380233879805	0.008202961069660317	0.00017935684726835263	0.036951823752141136	0.011028744295709991	0.001353973505183321	0.06817609096556203	0.012149110435620992	0.004783537134538268	0.003969017971355895	0.010480195422106932	0.025896172694915183	0.009272186357971616	0.07552531601802753	0.009888427650289524
9	Arnaud_Bal	Arnaud	1750s	M	homodiegetic	0.10015039071427083	0.009759711761566972	0.06906474234793666	0.004802091971566922	0.001744206271562378	0.025943522850604764	0.08681545679868487	0.03334157419042897	0.01305066829798942	0.038445269302048425	0.004702310147080338	0.001980790607442678	0.009274214614189766	0.019057636111026934	0.03940878943239095	0.022385401623518184	0.016424304890177786	0.000633004889137261	0.12362164286767863	0.05122730079739536	0.010199395685615785	0.02725325349319746	0.025332271534175214	0.002832882996887389	0.016027609593148997	0.031325559002914866	0.022354101127603117	0.026606313595031256	0.1496839781555273	0.01655160432919909
