	id	Ranked topics
0	Abbes_Voyage	[(0.15017299097260858, 1), (0.08679316288822078, 22), (0.08617426110272215, 0), (0.06545944863223598, 5), (0.05937201427137043, 8), (0.056538792140410576, 21), (0.05451009449801893, 2), (0.05055561175277814, 14), (0.042284405844066425, 13), (0.04058404578972612, 4)]
1	Anonym_Suzon	[(0.09545992738986256, 14), (0.08984855733484809, 10), (0.08390821175705362, 20), (0.07358377428869305, 0), (0.058913564225436976, 8), (0.0578561673215245, 2), (0.05186093421992268, 21), (0.049269033699441835, 4), (0.048524728099574095, 13), (0.040186815319920514, 22)]
2	Anonyme_Etourdi	[(0.14196111799220668, 2), (0.1181039455699145, 0), (0.10766012149788223, 10), (0.07848467321098081, 14), (0.05222482325802584, 22), (0.0500602737606994, 20), (0.044299530102693725, 18), (0.04429774194656382, 21), (0.044293329138011775, 8), (0.040349058687999546, 3)]
3	Anonyme_Zoloe	[(0.122669412695946, 23), (0.0952752759106253, 5), (0.08772140717031353, 2), (0.05825086801821841, 0), (0.052979143164729466, 10), (0.04708137166161433, 6), (0.046589105681639986, 22), (0.04613590426869863, 14), (0.04464809373916382, 4), (0.042843227174833735, 7)]
4	Arnaud_Sentiment	[(0.3060915668999403, 3), (0.10482329107773723, 5), (0.06888071612560498, 2), (0.06608139181743722, 22), (0.059831102197531814, 18), (0.05224811945082513, 21), (0.049569348262484415, 10), (0.03623734942979527, 0), (0.031238583683774825, 14), (0.030825055849096224, 11)]
5	Beauharnais_Lettres	[(0.229345161747499, 3), (0.1849025713831061, 21), (0.10157320198817793, 10), (0.08143670783005656, 22), (0.060105778915974926, 5), (0.059882381080976564, 2), (0.05097894312961087, 15), (0.050608195849222055, 8), (0.033358733153551395, 0), (0.02855257629231254, 18)]
6	Beaumont_Clarice	[(0.16655444973703448, 18), (0.1264391430893199, 10), (0.08442323279723239, 21), (0.07126453191301045, 7), (0.06519452046967954, 2), (0.06045557885841218, 13), (0.053003033028824816, 6), (0.04690996538400847, 9), (0.038781783101712486, 22), (0.03447759130292966, 11)]
7	Beckford_Vathek	[(0.2096281965758305, 7), (0.1219968955917044, 5), (0.09020487189385236, 4), (0.08168620119576113, 20), (0.06561564310890153, 22), (0.054415367296669265, 8), (0.04599998756714481, 19), (0.03414592262677248, 21), (0.034081876170215686, 2), (0.03328533346001972, 17)]
8	Benoist_Elisabeth3	[(0.17555770474958265, 15), (0.14431255701329826, 10), (0.11724758583337895, 21), (0.0810424101492186, 3), (0.07188541467041076, 8), (0.06739781224217349, 0), (0.05182767172423038, 2), (0.044085914710095785, 22), (0.034903133521707305, 5), (0.030830379151496338, 13)]
9	Benouville_Pensees	[(0.16075295399588954, 8), (0.1106481911307261, 10), (0.08755786352656061, 24), (0.08145705840049904, 13), (0.0799219709899543, 0), (0.07100481704008907, 21), (0.062307323445955035, 16), (0.04257630597636226, 14), (0.04186464194505811, 3), (0.035599346165155414, 2)]
10	Bernardin_Paul	[(0.22318615639826928, 7), (0.06710685289517974, 21), (0.062441282746793926, 1), (0.059505525048100576, 18), (0.05453967990865546, 6), (0.048307938917626726, 19), (0.044858042581263066, 8), (0.043696894309257266, 4), (0.04255453462180008, 5), (0.03882670399516983, 13)]
