	id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
0	Abbes_Voyage	0.08617426110272215	0.15017299097260858	0.054510094498018934	0.01088848566348019	0.04058404578972612	0.06545944863223598	0.03018028640949259	0.02776818780147688	0.05937201427137043	0.027852318235043017	0.0223137288014047	0.0033311096499934133	0.0037675685536543283	0.042284405844066425	0.05055561175277814	0.021120159819428132	0.03737439072573139	0.014422893579711665	0.005391203878910879	0.03232694620997448	0.03492714141821791	0.056538792140410576	0.08679316288822077	0.0098323609352185	0.02605839042610378
1	Anonym_Suzon	0.07358377428869305	0.03396958232256992	0.0578561673215245	0.01594400124163652	0.049269033699441835	0.030711449209690017	0.028625520507134652	0.010013383502024367	0.058913564225436976	0.0267328930029964	0.08984855733484809	0.00567365523610194	0.03977781469491589	0.048524728099574095	0.09545992738986256	0.0146699550660584	0.016314381891804185	0.03303525884492647	0.037339219922077345	0.01167065126685605	0.08390821175705362	0.051860934219922675	0.04018681531992051	0.030845776320585945	0.015264743314344005
2	Anonyme_Etourdi	0.1181039455699145	0.028847041347912064	0.14196111799220668	0.040349058687999546	0.03303702477962172	0.039598657757113014	0.016594464241024683	0.005658491278762667	0.044293329138011775	0.01757633404929462	0.10766012149788223	0.003971657225150748	0.0012553819000636678	0.025997932518661053	0.07848467321098081	0.030727313130746534	0.009504203555561105	0.008475490951006961	0.044299530102693725	0.005841261253034348	0.050060273760699395	0.044297741946563815	0.05222482325802584	0.040229084733894756	0.010951046113173586
3	Anonyme_Zoloe	0.05825086801821841	0.03499032211444011	0.08772140717031353	0.036932439149209934	0.04464809373916382	0.0952752759106253	0.04708137166161433	0.04284322717483374	0.04142017878207451	0.03127339028718568	0.052979143164729466	0.01935813820800751	0.003959119200096592	0.020416151908245986	0.04613590426869863	0.009885414656404821	0.018244502815154127	0.017001379273855574	0.01332554345390755	0.02794091720666506	0.04197403443562924	0.018563837219843	0.04658910568163999	0.122669412695946	0.02052082180349698
4	Arnaud_Sentiment	0.03623734942979527	0.009507717424288471	0.06888071612560497	0.3060915668999403	0.004864010334069703	0.10482329107773723	0.022790707299505702	0.005914211220354741	0.026176325813130903	0.012393279101481606	0.04956934826248442	0.030825055849096224	0.0007570901096505755	0.024392368259892185	0.031238583683774822	0.024014660056555632	0.01013014276483823	0.002736918280195691	0.059831102197531814	0.005936920825739818	0.014566357891307823	0.05224811945082513	0.06608139181743723	0.004017360224121079	0.025975405600640166
5	Beauharnais_Lettres	0.033358733153551395	0.0037777620262738143	0.059882381080976564	0.229345161747499	0.002315519398348518	0.06010577891597492	0.013520070925246205	0.003998543038317928	0.050608195849222055	0.013368593188726456	0.10157320198817792	0.007175547567998919	0.00038306720651268744	0.021236210521661747	0.01905226175649443	0.05097894312961087	0.004610148716747101	0.0010334273261359465	0.02855257629231254	0.0016099699809659347	0.00609851639294957	0.1849025713831061	0.08143670783005656	0.0033799933070038832	0.017696117276128926
6	Beaumont_Clarice	0.025443849027969336	0.0236723155288061	0.06519452046967954	0.007127923291619737	0.02023421690396707	0.025586648820552532	0.05300303302882481	0.07126453191301045	0.03081013789267051	0.04690996538400847	0.1264391430893199	0.03447759130292966	0.008350792869842208	0.06045557885841218	0.028079118266120976	0.005163943775028008	0.009148148208967198	0.020399540976326656	0.16655444973703448	0.002161987831995446	0.017078367529174424	0.08442323279723239	0.03878178310171249	0.004218827243784462	0.025020352151010932
7	Beckford_Vathek	0.024485636454827153	0.008119548948719125	0.03408187617021569	0.011502614894543876	0.09020487189385236	0.1219968955917044	0.0034642326110026268	0.2096281965758305	0.05441536729666926	0.009879105334012341	0.028830788655426823	0.027848655391279325	0.005227948953540974	0.015304313499319442	0.027759358515327587	0.010905801956771944	0.0039186401051642455	0.03328533346001972	0.021672622202840625	0.04599998756714481	0.08168620119576112	0.03414592262677248	0.06561564310890153	0.012267274628409817	0.017753162361942156
8	Benoist_Elisabeth3	0.06739781224217349	0.019412970821809088	0.05182767172423038	0.0810424101492186	0.00951430978052121	0.034903133521707305	0.01057739192150376	0.0033026701752587283	0.07188541467041076	0.00911173087940871	0.14431255701329823	0.005743821864297496	0.0018802826865331216	0.03083037915149634	0.014996456240805908	0.17555770474958265	0.029045442535414797	0.0034782763277804904	0.026898325854048628	0.00222289657282208	0.01789668184759643	0.11724758583337894	0.044085914710095785	0.01101557256149993	0.01581258616510702
9	Benouville_Pensees	0.0799219709899543	0.027142569707048224	0.03559934616515541	0.04186464194505811	0.006783364148643315	0.01882740475563756	0.023644552443118826	0.00827443687058032	0.16075295399588957	0.021133924938715253	0.1106481911307261	0.006361609542145995	0.00040978109553217284	0.08145705840049904	0.042576305976362264	0.03031168650824792	0.06230732344595504	0.0054440255885917065	0.022444302634241756	0.002657152653251531	0.01392172678433264	0.07100481704008908	0.03531389580894077	0.00363909390472241	0.08755786352656061
10	Bernardin_Paul	0.022013991772730276	0.06244128274679393	0.03560178529775292	0.016005465037351927	0.04369689430925726	0.04255453462180008	0.054539679908655464	0.22318615639826928	0.04485804258126307	0.00847124428907236	0.03589428638259031	0.0042400164274696206	0.001541828279313565	0.03882670399516983	0.032647917673920654	0.020390103646140526	0.029541553075120155	0.00490810674951272	0.059505525048100576	0.048307938917626726	0.03723418240158056	0.06710685289517974	0.032277673382530486	0.0014058852041923234	0.03280234895860564
