	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
0	temps	homme	roi	petit	femme	amour	amour	terre	voir	maître	homme	lettre	arriver	chevalier	demander	crime	larme	foutre	point	saint	dieu	jour	femme	père	œil	point	livre	enfant	heure	comte
1	paraître	riche	prince	beau	fille	cœur	beau	arbre	croire	grand	nature	ami	homme	voir	point	malheureux	voir	cul	voir	curé	religion	temps	esprit	fille	voir	voir	ouvrage	point	chambre	chevalier
2	encore	fortune	peuple	bon	servir	aimer	amant	eau	là	homme	loi	écrire	ville	mot	donner	homme	œil	con	jour	mariage	homme	vie	personne	mère	coup	moins	lire	apprendre	sortir	marquise
3	croire	argent	grand	mettre	là	point	plaisir	montagne	chose	petit	vertu	adieu	jour	répondre	jamais	mort	main	fille	grand	paroisse	vérité	heureux	jeune	enfant	cri	homme	auteur	homme	porte	marquis
4	voir	gens	gloire	dame	jamais	sentiment	œil	lieu	bon	manger	peuple	cher	partir	prince	croire	horreur	douleur	décharger	fort	sauveur	fil|fils	bonheur	homme	fil|fils	main	mal	histoire	donner	passer	baron
5	point	grand	ennemi	fort	plaisir	âme	doux	soleil	parler	bon	seul	voir	voir	reprendre	seul	cruel	point	vit	temps	domicile	esprit	toujours	plaisir	sœur	entendre	cœur	grand	toujours	lit	femme
6	assez	maison	sujet	rire	instant	bonheur	fleur	mer	aimer	donner	mal	croire	cheval	paraître	intérêt	malheur	mourir	duc	beau	ban	grand	voir	point	frère	corps	jamais	esprit	voir	entrer	heure
7	laisser	payer	souverain	joli	devenir	passion	cœur	petit	encore	vin	point	recevoir	route	parole	moyen	coupable	bras	mettre	monde	publication	lumière	ami	monde	cher	tomber	vie	temps	chose	nuit	commandeur
8	œil	donner	guerre	tour	saint	seul	berger	île	toujours	mettre	vice	parler	suivre	donner	projet	punir	vie	bouche	beaucoup	point	vrai	encore	beaucoup	voir	voix	encore	goût	jamais	entendre	vicomte
9	peine	pauvre	monarque	coup	voir	vertu	jeune	élever	entendre	voilà	société	lire	passer	duchesse	refuser	affreux	moment	là	roi	fon	raison	plaisir	paraître	bon	porter	sentir	pièce	âge	maison	sœur
10	moins	bon	trône	voir	jeune	jamais	beauté	pied	ami	là	humain	amitié	jeune	parler	obtenir	vie	dieu	petit	personne	eft	sage	cœur	goût	femme	frapper	vivre	lecture	esprit	mettre	baron|baronne
11	apercevoir	livre	patrie	œil	encore	heureux	tendre	rocher	voilà	boire	principe	chère	femme	heure	parti	infortuné	dernier	branler	bon	partie	monde	passer	société	jeune	saisir	mieux	roman	moins	main	joli
12	nouveau	travail	troupe	là	voilà	amant	voir	couvrir	mieux	beau	action	encore	grand	jamais	permettre	vengeance	encore	homme	donner	fa	âme	seul	souvent	mari	bras	raison	genre	objet	arriver	jeune
