	id	Ranked topics
0	Abbes_Voyage	[(0.15686911847824353, 26), (0.08238713662291296, 0), (0.06969190308386221, 22), (0.06967068537835977, 8), (0.053282834614446814, 24), (0.049575661009940764, 7), (0.04618347178363752, 21), (0.045577018684911666, 25), (0.04350758847792489, 1), (0.03990804796971485, 28)]
1	Anonym_Suzon	[(0.10735476062140116, 0), (0.0903219724823215, 28), (0.05958779988519808, 18), (0.05672260361814225, 3), (0.051877115452980266, 14), (0.05149500287174544, 21), (0.04711782650935886, 8), (0.04641149745931787, 1), (0.04465874838963839, 27), (0.042042081162584614, 22)]
2	Anonyme_Etourdi	[(0.12130604566315875, 22), (0.08544826728806917, 5), (0.0844982421853196, 0), (0.06423080833373059, 3), (0.05956170659895095, 14), (0.049633994912926575, 6), (0.04676206053608683, 21), (0.046399505998002334, 16), (0.04617684290678662, 8), (0.04592278319742365, 28)]
3	Anonyme_Zoloe	[(0.14470895419367535, 3), (0.09991299473471876, 24), (0.07078153242717122, 6), (0.04936978004464007, 22), (0.042245089485768016, 4), (0.03996279378787923, 0), (0.03968835833118936, 28), (0.03935733056321766, 15), (0.03765611762453611, 14), (0.037394842211154786, 1)]
4	Arnaud_Epoux	[(0.4455077505936412, 19), (0.08655717674317616, 14), (0.07708550438940437, 16), (0.06681114275682534, 5), (0.04671142633244176, 0), (0.04003789513137055, 15), (0.029537597105731974, 23), (0.02383864759502397, 8), (0.0184135824564904, 21), (0.01838681596961024, 25)]
5	Arnaud_Sentiment	[(0.19094063135179484, 16), (0.16059849022444278, 5), (0.1162842656066277, 15), (0.0679556368321369, 0), (0.049797582496249326, 23), (0.04698529254734902, 22), (0.03908758578174239, 21), (0.03760984036218258, 2), (0.02780691773878773, 14), (0.025292560205317376, 24)]
6	Beauharnais_Lettres	[(0.2275236139781128, 5), (0.09513437729298137, 16), (0.08809234067093093, 21), (0.08274255613803637, 0), (0.07317781416755112, 14), (0.06955285136888198, 11), (0.059279497247657915, 15), (0.05220718171822517, 25), (0.04084347637114654, 8), (0.036541615420634915, 22)]
7	Beaumont_Clarice	[(0.13055353787582888, 23), (0.09317419009044484, 0), (0.0928771227268157, 21), (0.06429340743855126, 14), (0.0585612200626986, 1), (0.0534366092962475, 15), (0.048679857664883065, 19), (0.046096124790289364, 2), (0.04416115487207223, 4), (0.04272946556352402, 7)]
8	Beckford_Vathek	[(0.18474132410704916, 7), (0.14339268591023485, 24), (0.06669643316156236, 28), (0.06340541858285953, 9), (0.053567309504634494, 3), (0.045543310107172996, 8), (0.04476450426793588, 16), (0.0422508210832938, 12), (0.04082882005662858, 6), (0.03803561116516169, 0)]
9	Benoist_Elisabeth3	[(0.12806317860282276, 11), (0.11385045492930848, 5), (0.10539675363740222, 14), (0.09355405965357057, 0), (0.05983073499510684, 18), (0.05575461596950362, 8), (0.048949458721587895, 21), (0.04576718745533563, 22), (0.04005644529208522, 16), (0.03855183829991419, 25)]
10	Benouville_Pensees	[(0.1602006451770118, 8), (0.07625461999976746, 0), (0.07375418488926079, 25), (0.07320434895465322, 22), (0.0699401325465001, 20), (0.06715150877135942, 10), (0.06499336158183536, 5), (0.05873155985784384, 14), (0.046814859815327715, 21), (0.04381889833731916, 27)]
11	Bernardin_Paul	[(0.2269349440073029, 7), (0.07317963482402387, 21), (0.06635717368352922, 26), (0.049357273497414415, 24), (0.047140558143269534, 23), (0.04640709107055902, 1), (0.04143802269545318, 28), (0.04112188450151827, 10), (0.03627713869334213, 8), (0.03407504556273901, 16)]
