	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
fille	0.08094189744183951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007980334991139313	0.0	0.0	0.0	0.0	0.012587244925142523	0.0	0.004331491712707182	0.0050252326299427205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019444225773439346	0.0	0.0	0.0	0.027134406176367372	0.0	0.0	0.0	0.0	0.0	0.0	0.00372219302855141
mère	0.06022684845441788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015011455058873675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032661553115756754	0.0	0.0	0.0	0.0	0.0	0.012130471786142755	0.0
femme	0.04634815186744429	0.0	0.0	0.004711795193968902	0.0	0.0	0.0	0.0274366569842685	0.0	0.0	0.0	0.009258623564373914	0.0	0.007550846425526733	0.0	0.0	0.0	0.010781455439318584	0.04567020674919877	0.0	0.0	0.012102680958913665	0.006979594011401779	0.0	0.0	0.0	0.008452609038656599	0.0	0.0	0.0	0.004711506816095339	0.0	0.0	0.0	0.0	0.0	0.0037940452325534463	0.0	0.007137421606444672	0.0	0.0	0.0	0.0	0.0054600672008270875	0.0	0.006875251211101944	0.0	0.0	0.0	0.0
mariage	0.02746127998146074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jeune	0.02554298147361374	0.0	0.0064398441170780245	0.0	0.0	0.0	0.004462676576097217	0.004371458974432717	0.0	0.010811453011761911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005702884434110476	0.0	0.0	0.005231706466389192	0.0071793915498961055	0.0	0.0	0.0	0.0	0.005925091304685679	0.0	0.0	0.004070603315376488	0.0	0.0	0.009533432392273403	0.0	0.006105942059632058	0.009606199631358725	0.0	0.0056679524521766516	0.004618481112748446	0.0	0.0	0.018248358149095104	0.0	0.0	0.0	0.0	0.011044386843333923	0.0	0.0
mari	0.023457314639578748	0.0	0.0	0.0	0.0	0.0	0.0	0.010526013056857726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061349211336643	0.0	0.0	0.0	0.007965261867973786	0.0	0.0	0.0033430573004279967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
époux	0.01775391706255713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043187536157789225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
épouser	0.017612297709628827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
donner	0.014882906544101553	0.0	0.0	0.0	0.0	0.010215246861505309	0.004462676576097217	0.006470909666101061	0.012580958333887463	0.0	0.0	0.00704204631273355	0.005420962919495906	0.008631713554987212	0.0	0.0045632333767926985	0.0	0.0	0.0069282976182995035	0.0	0.006339848166693587	0.007010486664961518	0.010615909211998509	0.01012109360105024	0.0	0.009560718012052041	0.0	0.010587458232962935	0.0	0.0	0.0	0.007171034769137399	0.0	0.004707280832095096	0.0	0.010546627193909917	0.0049914566711962	0.0	0.0051693825605500015	0.006223867543638956	0.004747991234477721	0.005282338738473223	0.012508146588459418	0.0	0.011072730499842988	0.01136003046265152	0.004880870602697133	0.006166180992706841	0.008377510946135784	0.005605184795936241
père	0.013724202747415447	0.0	0.01348774218512479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005620970749640365	0.0	0.0	0.0	0.0056511729001304115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011113054475493428	0.0	0.0	0.0	0.0	0.0	0.14166290670276233	0.008680106832084087	0.0	0.0	0.012473335984670451	0.0	0.0	0.0
