	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
17	fortune	sembler	maison	tenir	assez	recevoir	camp	amant	honnête	honneur	lecteur	fermer	sultane	façon	encore	bas	pied	plaisir	aimer	petit	passer	grand	oncle	parti	tendre	hôte|hôtesse	laisser	enfant	moment	intérêt	placer	culte	toujours	feu	victime	danse	point	tromper	femme	parole	âme	encore	parler	cher	âge	soin	tuer	donner	hier	aimer
18	famille	toujours	jeune	jamais	déjà	monde	héro|héros	beau	acheter	monseigneur	beau	dormir	sultan	effet	laisser	haut	frapper	chose	jeune	oiseau	barque	ville	pauvre	occasion	voix	garçon	attacher	histoire	suivre	empire	habit	principe	jour	voir	barbare	talent	enfant	conduite	enculer	oser	ordre	cher	embrasser	cependant	propre	arriver	ville	adélaïde	parler	donner
19	parent|parents	souvent	religieuse	mal	joli	agréable	tête	attendre	écu	main	lire|liser	appartement	courtisan	beaucoup	ami	diable	encore	vertu	devenir	rocher	donner	entrer	maman	engager	mot	souper	fortune	détail	seul	roi	trait	seul	aimer	charmant	voir	là	francisque	remords	foi|fois	voix	partie	toujours	tendresse	amitié	soin	remède	cent	gens	encore	assurer
20	maître|maîtresse	plaisir	ange	moins	tour	dîner	chef	demain	franc	conduire	hui	laisser	royaume	aimer	sentir	passer	ciel	encore	grâce	voir	point	passer	nièce	servir	sein	pauvre	oncle	jeune	voir	république	paraître	humain	sentir	jour	supplice	rire	jamais	justice	joli	entrer	comment	craindre	dieu	idée	état	porter	cher	apprendre	donner	engager
21	bonheur	impression	prieur	toujours	mot	partie	combattre	jasmin	mettre	maître	aujourd	donner	monarque	douter	mourir	grand	entendre	agir	toujours	cabane	rivage	donner	mettre	demander	cher	comment	toujours	secret	bientôt	société	fleur	bon	connaître	fleur	rage	encore	infortuné	vérité	homme	silence	voir	oser	frère	vie	seul	passer	mettre	princesse	remettre	aimable
22	personne	livrer	cellule	point	ailleurs	nouveau	paix	songer	travail	colonel	parler	voir	génie	toujours	moins	bout	autour	offrir	moins	chemin	eau	voir	grand	autant	dieu	jour	nom	chose	devenir	terre	rose	divinité	tendre	nouveau	tomber	italien	oncle	repentir	évêque	écrier	grand	puis	larme	laisser	grand	grand	docteur	chère	heure	apprendre
23	aimer	crainte	abbé	comment	près	soir	défendre	pourquoi	gagner	grand	goût	moment	état	craindre	état	gros	vaste	moyen	talent	milieu	persan	là	enfant	attendre	instant	chien	lord	effet	chercher	ville	peindre	sage	nouveau	dieu	sauver	bal	donner	vice	jeune	foi|fois	exister	âme	soin	bonheur	nature	femme	donner	croire	demander	personne
24	heureux	peine	dévot	tant	coup	heure	brave	cependant	travailler	cousin	nom	rester	donner	jamais	larme	tenir	nuit	pourtant	assez	troupeau	matelot	attendre	cœur	assez	pied	apporter	encore	éprouver	lieu	prince	femme	nature	objet	volupté	périr	air	seul	innocence	libertin	donner	objet	sentir	parent|parents	peine	encore	croire	parler	reprendre	chère	bonté
25	vivre	désir	entrer	rire	lecteur	souvent	attaquer	charmant	besoin	saintré	bon	encore	ambassadeur	laisser	perdre	eau	bruit	jouir	souvent	ici	pacha	domestique	mari	nouveau	dernier	fille	parler	ainsi	cependant	nombre	charmant	opinion	digne	grâce	encore	opérer	effet	pardonner	cuisse	ajouter	différent	jour	paternel	jamais	maître	encore	prêtre	conduire	attendre	jenny
26	voir	chercher	messe	puis	lors	toujours	voir	moins	service	lance	talent	attendre	couronne	grand	plaindre	saisir	profond	impossible	gens	ruisseau	aborder	lieue	chose	dessein	mourir	voilà	moment	idée	toujours	guerre	côté	saint	œil	bouche	fer	jeune	docteur	faiblesse	téton	asseoir	donner	passion	voilà	heureux	connaître	sang	espagnol	doute	ici	permettre
27	devenir	devenir	pieux	monde	suite	aimable	bataille	écrier	perdre	répondre	point	petit	régner	combien	rester	donner	couvrir	saint	mérite	pied	gouverneur	descendre	jeune	employer	vie	déjeuner	assez	paraître	croire	humanité	porter	éclairer	cher	regard	arracher	chanson	bon	vertueux	gros	ton	principe	donner	mourir	st	naturel	moment	monseigneur	œil	matin	écrire
28	passer	mouvement	dévotion	vrai	doute	quitter	milieu	laisser	vivre	paraître	français	fenêtre	ordonner	long	infortuné	œil	descendre	permettre	vertu	loin	schah	château	voilà	promettre	mort	appétit	vertu	ailleurs	sortir	liberté	peintre	grand	remplir	point	punir	actrice	bonheur	encore	ange	peine	rapport	tendre	digne	sentiment	ainsi	accident	jamais	prison	demain	main
29	honnête	occuper	religion	raison	honneur	charmant	jeune	jeune	état	suivre	poète	jour	envoyer	sentir	triste	puis	coup	état	personne	campagne	homme	bon	parler	vue	entendre	verre	parent	autant	courir	richesse	jeune	divin	passion	caresse	venger	assemblée	personne	vil	langue	alors	terre	vertu	respectable	grand	éducation	danger	jésuite	malheureux	passer	soin
30	laisser	long	point	beaucoup	galant	moins	donner	maintenant	prix	abbé	science	lendemain	alors	doute	jamais	porter	tour	créature	vanité	travail	voyage	dame	femme	état	arracher	morceau	mot	désirer	vivre	utile	couvrir	juste	jouissance	sein	infortuné	opéra	ignorer	connaître	garçon	sembler	système	parler	vertueux	beaucoup	gens	dernier	pendre	beaucoup	dernier	prier
31	mettre	bonheur	ciel	pourquoi	monseigneur	conversation	homme	répéter	terre	délier	savant	cabinet	porter	cependant	courage	couper	lieu	foi|fois	bon	branche	tenir	auberge	joli	faveur	embrasser	mieux	maitresse	absolument	paraître	chef	fort	mal	goûter	déjà	ciel	son	près	mépris	donner	seul	produire	cruel	appeler	temps	tenir	effet	vivre	amant	soir	recevoir
