	filename	id	author	year	narration
81	Benoist_Elisabeth3_001.txt	Benoist_Elisabeth3	Benoist	1766	
82	Benoist_Elisabeth3_002.txt	Benoist_Elisabeth3	Benoist	1766	
83	Benoist_Elisabeth3_003.txt	Benoist_Elisabeth3	Benoist	1766	
84	Benoist_Elisabeth3_004.txt	Benoist_Elisabeth3	Benoist	1766	
85	Benoist_Elisabeth3_005.txt	Benoist_Elisabeth3	Benoist	1766	
86	Benoist_Elisabeth3_006.txt	Benoist_Elisabeth3	Benoist	1766	
87	Benoist_Elisabeth3_007.txt	Benoist_Elisabeth3	Benoist	1766	
88	Benoist_Elisabeth3_008.txt	Benoist_Elisabeth3	Benoist	1766	
89	Benoist_Elisabeth3_009.txt	Benoist_Elisabeth3	Benoist	1766	
90	Benoist_Elisabeth3_010.txt	Benoist_Elisabeth3	Benoist	1766	
91	Benoist_Elisabeth3_011.txt	Benoist_Elisabeth3	Benoist	1766	
92	Benoist_Elisabeth3_012.txt	Benoist_Elisabeth3	Benoist	1766	
93	Benoist_Elisabeth3_013.txt	Benoist_Elisabeth3	Benoist	1766	
94	Benoist_Elisabeth3_014.txt	Benoist_Elisabeth3	Benoist	1766	
95	Benoist_Elisabeth3_015.txt	Benoist_Elisabeth3	Benoist	1766	
96	Benoist_Elisabeth3_016.txt	Benoist_Elisabeth3	Benoist	1766	
97	Benoist_Elisabeth3_017.txt	Benoist_Elisabeth3	Benoist	1766	
98	Benoist_Elisabeth3_018.txt	Benoist_Elisabeth3	Benoist	1766	
99	Benoist_Elisabeth3_019.txt	Benoist_Elisabeth3	Benoist	1766	
100	Benoist_Elisabeth3_020.txt	Benoist_Elisabeth3	Benoist	1766	
101	Benoist_Elisabeth3_021.txt	Benoist_Elisabeth3	Benoist	1766	
102	Benoist_Elisabeth3_022.txt	Benoist_Elisabeth3	Benoist	1766	
103	Benoist_Elisabeth3_023.txt	Benoist_Elisabeth3	Benoist	1766	
104	Benoist_Elisabeth3_024.txt	Benoist_Elisabeth3	Benoist	1766	
105	Benoist_Elisabeth3_025.txt	Benoist_Elisabeth3	Benoist	1766	
106	Benoist_Elisabeth3_026.txt	Benoist_Elisabeth3	Benoist	1766	
107	Benoist_Elisabeth3_027.txt	Benoist_Elisabeth3	Benoist	1766	
108	Benoist_Elisabeth3_028.txt	Benoist_Elisabeth3	Benoist	1766	
