	id	Ranked topics
0	Abbes_Voyage	[(0.21281829643796749, 8), (0.13598812950466907, 0), (0.11264998631302907, 5), (0.07097457903986394, 12), (0.06726315081247174, 4), (0.04841939645562473, 15), (0.04494769294895312, 16), (0.0440066437653124, 7), (0.037951474026012295, 19), (0.03510802631418871, 6)]
1	Anonym_Suzon	[(0.127006064644391, 5), (0.11900969835724395, 6), (0.105651608545074, 4), (0.0654162412461232, 0), (0.060474086611264, 15), (0.060103908529805634, 16), (0.05296929819643519, 3), (0.045029294475933776, 8), (0.043426572399003736, 14), (0.043098602411846536, 17)]
2	Anonyme_Zoloe	[(0.1787899176992262, 17), (0.08369896374878066, 0), (0.07329621120593481, 5), (0.07253692665151387, 12), (0.0648816240593231, 4), (0.0627839201290074, 13), (0.05844283498057432, 19), (0.054358770379555235, 18), (0.049389014790412473, 1), (0.04704020019499743, 16)]
3	Beauharnais_Lettres	[(0.2666349485880573, 4), (0.22657491053813775, 12), (0.1461866937068072, 1), (0.05032873681514033, 14), (0.043702849905782964, 0), (0.04067442569417977, 19), (0.036079654817895615, 16), (0.03179328171910131, 7), (0.03152768478953656, 2), (0.026941864513281774, 5)]
4	Beaumont_Clarice	[(0.17538228340136872, 14), (0.15046215547590985, 4), (0.1371462304828681, 12), (0.12350653723145227, 16), (0.07481796608061797, 1), (0.04236948358301987, 7), (0.04161712273791685, 6), (0.040645188784886564, 0), (0.03997407119074384, 15), (0.038752553982466235, 5)]
5	Benoist_Elisabeth3	[(0.17425139498397607, 9), (0.16386533739471096, 4), (0.13435014944305188, 1), (0.12818508397471384, 12), (0.0578131508114907, 0), (0.052203193128073415, 7), (0.0429630021266184, 5), (0.0398664107847081, 15), (0.03440090441773741, 14), (0.028918473615558563, 8)]
6	Benouville_Pensees	[(0.205255161118733, 7), (0.151851455481048, 4), (0.08849085129648625, 0), (0.08261916764869306, 1), (0.0813993934179023, 15), (0.07220399607466507, 12), (0.053208575734379794, 8), (0.04925427499096697, 16), (0.03461374320606457, 5), (0.033851091434794416, 19)]
7	Bernardin_Paul	[(0.31596765895414003, 11), (0.07904987716891539, 8), (0.07536152345509199, 7), (0.06588066755734047, 16), (0.06245918867400972, 12), (0.048585354866450714, 14), (0.04665618984298614, 4), (0.04160809725935821, 1), (0.03716133810838778, 6), (0.03583708222904268, 5)]
8	Cazotte_Diable	[(0.13735267355753228, 5), (0.1041905143065848, 4), (0.0926812057157144, 0), (0.08885659791050345, 6), (0.08690708587733659, 12), (0.053832455676296166, 11), (0.05081035922063862, 15), (0.047977692030637585, 17), (0.0469283102771434, 1), (0.045664551517419806, 2)]
9	Constant_Laure1	[(0.1652804250954186, 1), (0.15873319729108626, 4), (0.15576491163532347, 0), (0.08980027761914801, 5), (0.06346668646824202, 7), (0.060565727988411824, 16), (0.05108883728241413, 8), (0.04728229343071834, 11), (0.04255417806776558, 12), (0.03701609715440113, 14)]
10	Constant_Laure2	[(0.1955248267610204, 1), (0.1655321689577463, 0), (0.15552532695959173, 5), (0.09110715631186454, 4), (0.06089964886814706, 14), (0.058287519227783136, 12), (0.04435982532594375, 7), (0.039600573221111664, 6), (0.03146070628384725, 8), (0.031033322748870037, 16)]
11	Cottin_Claire	[(0.28612418562778386, 12), (0.1400348170758931, 4), (0.12282547155745993, 1), (0.07961654181441721, 0), (0.05309595970218682, 7), (0.04801159672794765, 14), (0.04287323844749498, 5), (0.04050157215643395, 15), (0.03821937919810908, 19), (0.02810172997426876, 13)]
12	Diderot_Jacques	[(0.34763746880647955, 10), (0.08629474064132292, 6), (0.07514062754026725, 5), (0.05748601742805898, 14), (0.05560160443594663, 1), (0.053444713926538684, 16), (0.04713620128427685, 0), (0.045318999036382465, 12), (0.033448486649293986, 4), (0.029839095094303027, 7)]
13	Diderot_Neveu	[(0.13896333252364862, 10), (0.11265590982357555, 6), (0.11080544702263656, 8), (0.08763142536295034, 0), (0.08065010879468451, 7), (0.07150720204388895, 15), (0.06790191613396113, 16), (0.047448798172063766, 17), (0.043530557014565, 12), (0.03657384038807476, 1)]
14	Diderot_Religieuse	[(0.3611424152847633, 6), (0.0921151443478737, 1), (0.08772782745643791, 12), (0.06571696113005547, 14), (0.05792275780236334, 4), (0.0460439142829469, 0), (0.04329764694380234, 8), (0.039081268831935266, 7), (0.03787244427739953, 15), (0.036082418353922605, 5)]
15	Doppet_Memoires	[(0.14950956216075956, 12), (0.13602886983429294, 16), (0.1251813764530761, 4), (0.08348044815794993, 5), (0.06985706176912862, 7), (0.06225757906287423, 8), (0.05480247584146162, 0), (0.05051862677902783, 15), (0.04443445782136843, 1), (0.04231518304220799, 14)]
16	Duclos_Acajou	[(0.21267686787633447, 18), (0.15508775938971425, 4), (0.15241978688908414, 0), (0.06876298947740207, 15), (0.05278798836082183, 5), (0.05193223772609072, 2), (0.04483415116878271, 6), (0.039180154446052204, 7), (0.03502560334618034, 11), (0.030575174922820768, 8)]
17	Ducray_Cinquante1	[(0.16344456513545969, 14), (0.11410471117839895, 5), (0.1112195461677168, 12), (0.10637675463283576, 1), (0.10042377984832523, 4), (0.0877622733509571, 0), (0.07307885452870799, 16), (0.035091730979934316, 7), (0.034671189901797, 6), (0.032870770019315626, 15)]
18	Dulaurens_Imirce	[(0.224494033991654, 10), (0.07682887748955693, 14), (0.06722915021554121, 7), (0.05626510770679659, 0), (0.055249320282861884, 5), (0.0530308715363014, 16), (0.05161818396183078, 8), (0.04987675365687448, 6), (0.0465380314791838, 15), (0.04486434142336746, 13)]
19	Duras_Edouard	[(0.21250108121861, 12), (0.13952946797808216, 5), (0.1369359553211343, 4), (0.07287075022447406, 0), (0.05185924395272679, 7), (0.05157695609097815, 1), (0.043509717140070805, 11), (0.04333806428667808, 14), (0.03691972345343798, 6), (0.03396385219326576, 15)]
20	Duras_Ourika	[(0.25283283105060744, 12), (0.13727695194933998, 4), (0.09601607332612948, 0), (0.0713459508754015, 7), (0.06654889829070462, 5), (0.05710818343879071, 15), (0.05307545914688136, 16), (0.04915962960643227, 8), (0.0420013858213245, 1), (0.03746138694850621, 14)]
21	Florian_Estelle	[(0.2517186634702059, 13), (0.16900018681098156, 12), (0.11459841128816214, 18), (0.05895084933807347, 11), (0.05581238321281285, 4), (0.04712467056335443, 2), (0.04498040889047057, 5), (0.04130546957268852, 1), (0.03824783877507345, 8), (0.038187209802964105, 14)]
22	Florian_Galatee	[(0.3115481954953457, 13), (0.1361201133964792, 12), (0.0630681214869757, 4), (0.06282791988428227, 8), (0.05800683461176963, 2), (0.054055924557452166, 5), (0.052755131388595, 1), (0.04464537837440305, 14), (0.04145169530753439, 11), (0.0311874775688565, 16)]
23	Fourqueux_Zely	[(0.2214559857584873, 4), (0.11119919245386667, 1), (0.11104815955390578, 0), (0.09959087589969713, 2), (0.09789068890223457, 7), (0.06729668966613372, 12), (0.06333739010627118, 5), (0.035758154065982733, 15), (0.03285946021986386, 16), (0.02685269931707374, 19)]
24	Gorjy_Voyage	[(0.14224586633458927, 0), (0.1304741249673013, 5), (0.08313003505639989, 4), (0.06889586004297606, 13), (0.06438818467818751, 15), (0.06419334869394472, 10), (0.05765654704305545, 17), (0.05518953421085434, 8), (0.05490088265120057, 1), (0.047785522369869736, 16)]
25	Jacquant_Lettres	[(0.4472989334295165, 4), (0.0897355270471838, 0), (0.06619312372816304, 12), (0.06325845882196983, 5), (0.06154138111560886, 1), (0.04415316603684322, 7), (0.039717389764511016, 16), (0.03344678719069007, 19), (0.029091770110204793, 14), (0.023487072590385936, 15)]
26	Jacquin_Parisiennes2	[(0.2902906548729769, 4), (0.10733680562641852, 0), (0.08054311023989323, 16), (0.07359481587097642, 1), (0.06919611010761315, 8), (0.0670213460887436, 12), (0.06310066679100819, 7), (0.042911339809604696, 5), (0.04027687418087916, 19), (0.03670585555813935, 15)]
27	Kimber_Thompson1	[(0.25277681568464755, 5), (0.08261593078705402, 4), (0.07878472674580461, 0), (0.06926727862204086, 16), (0.06295820947216403, 1), (0.05524255862334889, 10), (0.0549312011386009, 7), (0.05422957464834832, 15), (0.05415475389405177, 14), (0.051574636282822696, 6)]
